id,value
hu,ሀንጋሪኛ
haw,ሃዊያኛ
ha,ሃውሳኛ
ht,ሃይትኛ
smj,"ሉሌ ሳሚ"
lu,"ሉባ ካታንጋ"
lua,ሉባ-ሉሏ
lt,ሉቴንያንኛ
luo,ሉኦ
lb,ሉክዘምበርገርኛ
luy,ሉዪያ
ln,ሊንጋላኛ
la,ላቲንኛ
lv,ላትቪያን
lag,ላንጊ
lkt,ላኮታ
lo,ላውስኛ
sq,ልቤኒኛ
loz,ሎዚኛ
hi,ሒንዱኛ
tzm,"መካከለኛ አትላስ ታማዚግት"
zgh,"መደበኛ የሞሮኮ ታማዚግት"
mua,ሙንዳንግ
ml,ማላያላምኛ
ms,ማላይኛ
mg,ማላጋስኛ
mt,ማልቲስኛ
mr,ማራቲኛ
mas,ማሳይ
mk,ማሴዶንኛ
jmc,ማቻሜኛ
gv,ማንክስኛ
mgh,"ማኩዋ ሜቶ"
kde,ማኮንዴ
mi,ማዮሪኛ
arn,ማፑቼ
mer,ሜሩ
mgo,ሜታ
moh,ሞሃውክ
ro_MD,ሞልዳቫዊና
mfe,ሞሪሲየኛ
mn,ሞንጎላዊኛ
rn,ሩንዲኛ
ru,ራሽኛ
rwk,ርዋ
ro,ሮማኒያን
rm,ሮማንሽ
rof,ሮምቦ
se,"ሰሜናዊ ሳሚ"
nso,"ሰሜናዊ ሶቶ"
nd,"ሰሜን ንዴብሌ"
sr,ሰርቢኛ
so,ሱማልኛ
su,ሱዳንኛ
ii,ሲቹንዪኛ
si,ሲንሃልኛ
sd,ሲንድሂኛ
sid,ሲዳምኛ
saq,ሳምቡሩ
sm,ሳሞአኛ
sa,ሳንስክሪትኛ
sbp,ሳንጉ
sg,ሳንጎኛ
seh,ሴና
sl,ስሎቪኛ
sk,ስሎቫክኛ
sms,"ስኮልት ሳሚ"
sv,ስዊድንኛ
sw,ስዋሂሊኛ
ss,ስዋቲኛ
es,ስፓኒሽ
st,ሶዞኛ
xog,ሶጋ
ksb,ሻምባላ
sn,ሾናኛ
zh_Hans,"ቀለል ያለ ቻይንኛ"
zxx,"ቋንቋዊ ይዘት አይደለም"
bg,ቡልጋሪኛ
my,ቡርማኛ
bi,ቢስላምኛ
zh_Hant,"ባህላዊ ቻይንኛ"
bm,ባምባርኛ
ba,ባስኪርኛ
eu,ባስክኛ
ksf,ባፊያ
be,ቤላራሻኛ
bem,ቤምባ
bez,ቤና
bn,ቤንጋሊኛ
byn,ብሊን
br,ብሬቶንኛ
bs,ቦስኒያንኛ
brx,ቦዶ
vun,ቩንጆ
vi,ቪትናምኛ
vai,ቫይ
ve,ቬንዳ
vo,ቮላፑክኛ
te,ተሉጉኛ
tum,ቱምቡካ
tk,ቱርክመንኛ
tr,ቱርክኛ
bo,ቲቤታንኛ
ty,ታሂታንኛ
ta,ታሚልኛ
twq,ታሳዋቅ
tt,ታታርኛ
shi,ታቼልሂት
dav,ታይታኛ
th,ታይኛ
tg,ታጂኪኛ
tl,ታጋሎገኛ
teo,ቴሶ
tet,ቴተም
tw,ትዊኛ
tig,ትግረ
ti,ትግርኛ
to,ቶንጋኛ
tpi,"ቶክ ፒሲን"
cgg,ቺጋኛ
zh,ቻይንኛ
chr,ቼሮኬኛ
cs,ቼክኛ
nus,ኑዌር
nyn,ኒያንኮልኛ
naq,ናማ
na,ናኡሩ
ne,ኔፓሊኛ
nqo,ንኮ
ny,ንያንጃ
jgo,ንጎባኛ
no,ኖርዌጂያን
am,አማርኛ
hy,አርመናዊ
asa,አሱ
as,አሳሜዛዊ
ab,አብሐዚኛ
ak,አካንኛ
ach,አኮሊኛ
az,አዘርባጃንኛ
ay,አያማርኛ
ga,አይሪሽ
is,አይስላንድኛ
agq,አገም
aa,አፋርኛ
af,አፍሪካንኛ
ur,ኡርዱኛ
ug,ኡዊግሁርኛ
uz,ኡዝቤክኛ
et,ኢስቶኒያንኛ
ebu,ኢቦኛ
smn,"ኢናሪ ሳሚ"
ia,ኢንቴርሊንጓ
id,ኢንዶኔዥኛ
ee,ኢዊ
ig,ኢግቦኛ
eo,ኤስፐራንቶ
efi,ኤፊክ
gd,"እስኮትስ ጌልክኛ"
iu,እኑክቲቱትኛ
ik,እኑፒያቅኛ
ie,እንተርሊንግወ
en,እንግሊዝኛ
or,ኦሪያኛ
om,ኦሮሞኛ
os,ኦሴቲክ
oc,ኦኪታንኛ
ku,ኩርድሽኛ
ky,ኪርጊዝኛ
quc,ኪቼ
rw,ኪንያርዋንድኛ
ki,ኪኩዩ
kln,ካለንጂን
kl,ካላሊሱትኛ
kam,ካምባ
ks,ካሽሚርኛ
kea,ካቡቨርዲያኑ
kab,ካብይል
ca,ካታላንኛ
kn,ካናዳኛ
kk,ካዛክኛ
tlh,ክሊንጎንኛ
km,"ክመርኛ ማእከላዊ"
hr,ክሮሽያንኛ
nmg,ክዋሲዮ
koi,"ኮሚ ፔርምያክ"
ko,ኮሪያኛ
co,ኮርሲካኛ
kw,ኮርኒሽ
swc,"ኮንጎ ስዋሂሊ"
kg,ኮንጎኛ
kok,ኮካኒ
khq,"ኮይራ ቺኒ"
ses,"ኮይራቦሮ ሴኒ"
qu,ኵቿኛ
cy,ወልሽ
wo,ዎሎፍኛ
ar,ዓረብኛ
he,ዕብራስጥ
ar_001,"ዘመናዊ መደበኛ ዓረብኛ"
zu,ዙሉኛ
dje,ዛርማኛ
xh,ዞሳኛ
za,ዡዋንግኛ
es_419,"የላቲን አሜሪካ ስፓኒሽ"
hsb,"የላይኛው ሶርቢያንኛ"
fy,"የምዕራብ ፍሪስኛ"
de_CH,"የስዊዝ ከፍተኛ ጀርመንኛ"
gsw,"የስዊዝ ጀርመን"
fr_CH,"የስዊዝ ፈረንሳይኛ"
ckb,"የሶራኒ ኩርድኛ"
en_GB,"የብሪቲሽ እንግሊዝኛ"
pt_BR,"የብራዚል ፖርቹጋልኛ"
dsb,"የታችኛው ሶርቢያንኛ"
nb,"የኖርዌይ ቦክማል"
nn,"የኖርዌይ ናይኖርስክ"
en_US,"የአሜሪካ እንግሊዝኛ"
es_ES,"የአውሮፓ እስፓንኛ"
pt_PT,"የአውሮፓ ፖርቹጋልኛ"
en_AU,"የአውስትራሊያ እንግሊዝኛ"
de_AT,"የኦስትሪያ ጀርመን"
en_CA,"የካናዳ እንግሊዝኛ"
fr_CA,"የካናዳ ፈረንሳይኛ"
uk,ዩክሬንኛ
und,"ያልታወቀ ቋንቋ"
yi,ይዲሽኛ
yo,ዮሩባዊኛ
sma,"ደቡባዊ ሳሚ"
nl,ደች
dua,ዱዋላኛ
dv,ዲቬህ
da,ዴኒሽ
dz,ድዞንግኻኛ
de,ጀርመን
jv,ጃቫንኛ
ja,ጃፓንኛ
dyo,"ጆላ ፎንያኛ"
ka,ጆርጂያን
guz,ጉስሊኛ
gu,ጉጃርቲኛ
gaa,ጋ
gl,ጋሊሺያ
lg,ጋንዳኛ
gag,ጋጉዝኛ
el,ግሪክኛ
gez,ግዕዝኛ
gn,ጓራኒኛ
it,ጣሊያንኛ
tn,ጽዋናዊኛ
ts,ጾንጋኛ
fr,ፈረንሳይኛ
fil,ፊሊፒንኛ
fi,ፊኒሽ
fj,ፊጂኛ
fo,ፋሮኛ
nl_BE,ፍሌሚሽ
fa,ፐርሺያኛ
pa,ፑንጃብኛ
ps,ፓሽቶኛ
pl,ፖሊሽኛ
pt,ፖርቹጋልኛ
ace,Achinese
ada,Adangme
ady,Adyghe
afh,Afrihili
ain,Ainu
akk,Akkadian
bss,Akoose
akz,Alabama
ale,Aleut
arq,"Algerian Arabic"
ase,"American Sign Language"
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
njo,"Ao Naga"
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
rup,Aromanian
frp,Arpitan
ast,Asturian
cch,Atsam
av,Avaric
ae,Avestan
awa,Awadhi
bfq,Badaga
bfd,Bafut
bqi,Bakhtiari
ban,Balinese
bal,Baluchi
bax,Bamun
bjn,Banjar
bas,Basaa
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bew,Betawi
bho,Bhojpuri
bik,Bikol
bin,Bini
bpy,Bishnupriya
zbl,Blissymbols
brh,Brahui
bra,Braj
bug,Buginese
bum,Bulu
bua,Buriat
cad,Caddo
frc,"Cajun French"
yue,Cantonese
cps,Capiznon
car,Carib
cay,Cayuga
ceb,Cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
chg,Chagatai
ch,Chamorro
ce,Chechen
chy,Cheyenne
chb,Chibcha
qug,"Chimborazo Highland Quichua"
chn,"Chinook Jargon"
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuukese
cv,Chuvash
nwc,"Classical Newari"
syc,"Classical Syriac"
ksh,Colognian
swb,Comorian
cop,Coptic
cr,Cree
mus,Creek
crh,"Crimean Turkish"
dak,Dakota
dar,Dargwa
dzg,Dazaga
del,Delaware
din,Dinka
doi,Dogri
dgr,Dogrib
dyu,Dyula
frs,"Eastern Frisian"
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamite
egl,Emilian
myv,Erzya
ewo,Ewondo
ext,Extremaduran
fan,Fang
fat,Fanti
hif,"Fiji Hindi"
fon,Fon
gur,Frafra
fur,Friulian
ff,Fulah
gan,"Gan Chinese"
gay,Gayo
gba,Gbaya
aln,"Gheg Albanian"
bbj,Ghomala
glk,Gilaki
gil,Gilbertese
gom,"Goan Konkani"
gon,Gondi
gor,Gorontalo
got,Gothic
grb,Grebo
gwi,Gwichʼin
hai,Haida
hak,"Hakka Chinese"
hz,Herero
hil,Hiligaynon
ho,"Hiri Motu"
hit,Hittite
hmn,Hmong
hup,Hupa
iba,Iban
ibb,Ibibio
io,Ido
ilo,Iloko
izh,Ingrian
inh,Ingush
jam,"Jamaican Creole English"
kaj,Jju
jrb,Judeo-Arabic
jpr,Judeo-Persian
jut,Jutish
kbd,Kabardian
kac,Kachin
kgp,Kaingang
kkj,Kako
xal,Kalmyk
kbl,Kanembu
kr,Kanuri
kaa,Kara-Kalpak
krc,Karachay-Balkar
krl,Karelian
csb,Kashubian
kaw,Kawi
ken,Kenyang
kha,Khasi
kho,Khotanese
khw,Khowar
kmb,Kimbundu
krj,Kinaray-a
kiu,Kirmanjki
bkm,Kom
kv,Komi
kfo,Koro
kos,Kosraean
avk,Kotava
kpe,Kpelle
kri,Krio
kj,Kuanyama
kum,Kumyk
kru,Kurukh
kut,Kutenai
lad,Ladino
lah,Lahnda
lam,Lamba
ltg,Latgalian
lzz,Laz
lez,Lezghian
lij,Ligurian
li,Limburgish
lfn,"Lingua Franca Nova"
lzh,"Literary Chinese"
liv,Livonian
jbo,Lojban
lmo,Lombard
nds,"Low German"
sli,"Lower Silesian"
lui,Luiseno
lun,Lunda
mde,Maba
mad,Madurese
maf,Mafa
mag,Magahi
vmf,Main-Franconian
mai,Maithili
mak,Makasar
mnc,Manchu
mdr,Mandar
man,Mandingo
mni,Manipuri
chm,Mari
mh,Marshallese
mwr,Marwari
mzn,Mazanderani
byv,Medumba
men,Mende
mwv,Mentawai
es_MX,"Mexican Spanish"
mic,Micmac
dum,"Middle Dutch"
enm,"Middle English"
frm,"Middle French"
gmh,"Middle High German"
mga,"Middle Irish"
nan,"Min Nan Chinese"
min,Minangkabau
xmf,Mingrelian
mwl,Mirandese
lus,Mizo
mdf,Moksha
lol,Mongo
ary,"Moroccan Arabic"
mos,Mossi
mul,"Multiple Languages"
ttt,"Muslim Tat"
mye,Myene
nv,Navajo
ng,Ndonga
nap,Neapolitan
new,Newari
sba,Ngambay
nnh,Ngiemboon
yrl,Nheengatu
nia,Nias
niu,Niuean
nog,Nogai
frr,"Northern Frisian"
nov,Novial
nym,Nyamwezi
tog,"Nyasa Tonga"
nyo,Nyoro
nzi,Nzima
oj,Ojibwa
ang,"Old English"
fro,"Old French"
goh,"Old High German"
sga,"Old Irish"
non,"Old Norse"
peo,"Old Persian"
pro,"Old Provençal"
osa,Osage
ota,"Ottoman Turkish"
pal,Pahlavi
pfl,"Palatine German"
pau,Palauan
pi,Pali
pam,Pampanga
pag,Pangasinan
pap,Papiamento
pdc,"Pennsylvania German"
phn,Phoenician
pcd,Picard
pms,Piedmontese
pdt,Plautdietsch
pon,Pohnpeian
pnt,Pontic
prg,Prussian
raj,Rajasthani
rap,Rapanui
rar,Rarotongan
rif,Riffian
rgn,Romagnol
rom,Romany
root,Root
rtm,Rotuman
rug,Roviana
rue,Rusyn
ssy,Saho
sah,Sakha
sam,"Samaritan Aramaic"
sgs,Samogitian
sad,Sandawe
sat,Santali
sc,Sardinian
sas,Sasak
sdc,"Sassarese Sardinian"
stq,"Saterland Frisian"
saz,Saurashtra
sco,Scots
sly,Selayar
sel,Selkup
see,Seneca
sh,Serbo-Croatian
srr,Serer
sei,Seri
shn,Shan
scn,Sicilian
bla,Siksika
szl,Silesian
den,Slave
sog,Sogdien
snk,Soninke
azb,"South Azerbaijani"
nr,"South Ndebele"
alt,"Southern Altai"
srn,"Sranan Tongo"
suk,Sukuma
sux,Sumerian
sus,Susu
syr,Syriac
tly,Talysh
tmh,Tamashek
trv,Taroko
ter,Tereno
tem,Timne
tiv,Tiv
tli,Tlingit
tkl,Tokelau
fit,"Tornedalen Finnish"
tkr,Tsakhur
tsd,Tsakonian
tsi,Tsimshian
tcy,Tulu
aeb,"Tunisian Arabic"
tru,Turoyo
tvl,Tuvalu
tyv,Tuvinian
kcg,Tyap
udm,Udmurt
uga,Ugaritic
umb,Umbundu
vec,Venetian
vep,Veps
vro,Võro
vot,Votic
wa,Walloon
wae,Walser
war,Waray
wbp,Warlpiri
was,Washo
guc,Wayuu
vls,"West Flemish"
mrj,"Western Mari"
wal,Wolaytta
wuu,"Wu Chinese"
hsn,"Xiang Chinese"
yav,Yangben
yao,Yao
yap,Yapese
ybb,Yemba
zap,Zapotec
zza,Zaza
zea,Zeelandic
zen,Zenaga
gbz,"Zoroastrian Dari"
zun,Zuni
