ሀንጋሪኛ (hu)
ሃዊያኛ (haw)
ሃውሳኛ (ha)
ሃይትኛ (ht)
ሉሌ ሳሚ (smj)
ሉባ ካታንጋ (lu)
ሉባ-ሉሏ (lua)
ሉቴንያንኛ (lt)
ሉኦ (luo)
ሉክዘምበርገርኛ (lb)
ሉዪያ (luy)
ሊንጋላኛ (ln)
ላቲንኛ (la)
ላትቪያን (lv)
ላንጊ (lag)
ላኮታ (lkt)
ላውስኛ (lo)
ልቤኒኛ (sq)
ሎዚኛ (loz)
ሒንዱኛ (hi)
መካከለኛ አትላስ ታማዚግት (tzm)
መደበኛ የሞሮኮ ታማዚግት (zgh)
ሙንዳንግ (mua)
ማላያላምኛ (ml)
ማላይኛ (ms)
ማላጋስኛ (mg)
ማልቲስኛ (mt)
ማራቲኛ (mr)
ማሳይ (mas)
ማሴዶንኛ (mk)
ማቻሜኛ (jmc)
ማንክስኛ (gv)
ማኩዋ ሜቶ (mgh)
ማኮንዴ (kde)
ማዮሪኛ (mi)
ማፑቼ (arn)
ሜሩ (mer)
ሜታ (mgo)
ሞሃውክ (moh)
ሞልዳቫዊና (ro_MD)
ሞሪሲየኛ (mfe)
ሞንጎላዊኛ (mn)
ሩንዲኛ (rn)
ራሽኛ (ru)
ርዋ (rwk)
ሮማኒያን (ro)
ሮማንሽ (rm)
ሮምቦ (rof)
ሰሜናዊ ሳሚ (se)
ሰሜናዊ ሶቶ (nso)
ሰሜን ንዴብሌ (nd)
ሰርቢኛ (sr)
ሱማልኛ (so)
ሱዳንኛ (su)
ሲቹንዪኛ (ii)
ሲንሃልኛ (si)
ሲንድሂኛ (sd)
ሲዳምኛ (sid)
ሳምቡሩ (saq)
ሳሞአኛ (sm)
ሳንስክሪትኛ (sa)
ሳንጉ (sbp)
ሳንጎኛ (sg)
ሴና (seh)
ስሎቪኛ (sl)
ስሎቫክኛ (sk)
ስኮልት ሳሚ (sms)
ስዊድንኛ (sv)
ስዋሂሊኛ (sw)
ስዋቲኛ (ss)
ስፓኒሽ (es)
ሶዞኛ (st)
ሶጋ (xog)
ሻምባላ (ksb)
ሾናኛ (sn)
ቀለል ያለ ቻይንኛ (zh_Hans)
ቋንቋዊ ይዘት አይደለም (zxx)
ቡልጋሪኛ (bg)
ቡርማኛ (my)
ቢስላምኛ (bi)
ባህላዊ ቻይንኛ (zh_Hant)
ባምባርኛ (bm)
ባስኪርኛ (ba)
ባስክኛ (eu)
ባፊያ (ksf)
ቤላራሻኛ (be)
ቤምባ (bem)
ቤና (bez)
