абхазки (ab)
авади (awa)
аварски (av)
авестски (ae)
австралийски английски (en_AU)
австрийски немски (de_AT)
агем (agq)
адангме (ada)
адиге (ady)
азербайджански (az)
аймара (ay)
айну (ain)
акадски (akk)
акан (ak)
аколи (ach)
албански (sq)
алеутски (ale)
американски английски (en_US)
амхарски (am)
ангика (anp)
английски (en)
арабски (ar)
аравак (arw)
арагонски (an)
арамейски (arc)
арапахо (arp)
арменски (hy)
арумънски (rup)
асамски (as)
астурски (ast)
асу (asa)
атсам (cch)
афар (aa)
африканс (af)
африхили (afh)
ачински (ace)
балинейски (ban)
балучи (bal)
бамбара (bm)
баса (bas)
баски (eu)
бафия (ksf)
башкирски (ba)
без лингвистично съдържание (zxx)
беларуски (be)
бемба (bem)
бена (bez)
бенгалски (bn)
бея (bej)
биколски (bik)
биленски (byn)
бини (bin)
бирмански (my)
бислама (bi)
блис символи (zbl)
бодо (brx)
божпури (bho)
босненски (bs)
брадж (bra)
бретонски (br)
британски английски (en_GB)
бугински (bug)
бурятски (bua)
български (bg)
ваи (vai)
валамо (wal)
валонски (wa)
варай (war)
венда (ve)
виетнамски (vi)
волапюк (vo)
волоф (wo)
вотик (vot)
вунджо (vun)
га (gaa)
гагаузки (gag)
гайо (gay)
галисийски (gl)
ганда (lg)
гбая (gba)
гвичин (gwi)
гииз (gez)
гилбертски (gil)
гонди (gon)
горнолужишки (hsb)
горонтало (gor)
готически (got)
гребо (grb)
гренландски (kl)
грузински (ka)
гръцки (el)
гуарани (gn)
гуджарати (gu)
гусии (guz)
дакотски (dak)
даргва (dar)
датски (da)
делауер (del)
джерма (dje)
дзонха (dz)
дивехи (dv)
динка (din)
диола (dyo)
диула (dyu)
догри (doi)
догриб (dgr)
долнолужишки (dsb)
долносаксонски (nds)
древногръцки (grc)
дуала (dua)
еве (ee)
евондо (ewo)
еврейско-арабски (jrb)
еврейско-персийски (jpr)
египетски (egy)
екажук (eka)
еламитски (elx)
ембу (ebu)
ерзиа (myv)
есперанто (eo)
естонски (et)
ефик (efi)
жаргон чинуук (chn)
жжи (kaj)
заза (zza)
запотек (zap)
зенага (zen)
зуанг (za)
зулуски (zu)
