id,value
oc,অক্সিটান
und,"অজানা ভাষা"
kaj,অজ্জু
ota,"অটোমান তুর্কি"
ada,অদাগ্মে
om,অরোমো
de_AT,"অস্ট্রিয়ান জারমান"
en_AU,"অস্ট্রেলীয় ইংরেজি"
ace,অ্যাচাইনিজ
ain,আইনু
ga,আইরিশ
is,আইসল্যান্ডীয়
awa,আওয়াধি
ak,আকান
ach,আকোলি
akk,আক্কাদিয়ান
anp,আঙ্গিকা
az,আজারবাইজানী
cch,আত্সাম
zgh,"আদর্শ মরক্কোন তামাজিগাত"
ady,আদেগে
ar_001,"আধুনিক আদর্শ আরবী"
aa,আফার
af,আফ্রিকান্স
afh,আফ্রিহিলি
ab,আবখাজিয়ান
ae,আবেস্তীয়
av,আভেরিক
am,আমহারিক
en_US,"আমেরিকার ইংরেজি"
ay,আয়মারা
ar,আরবী
rup,আরমেনিয়ান
arw,আরাওয়াক
arp,আরাপাহো
arc,আরামাইক
an,আর্গোনিজ
hy,আর্মেনিয়
sq,আলবেনীয়
ale,আলেউত
as,আসামি
asa,আসু
ast,আস্তুরিয়
uk,ইউক্রেনীয়
es_ES,"ইউরোপীয় স্প্যানিশ"
pt_PT,"ইউরোপের পর্তুগীজ"
ewo,ইওন্ডো
yo,ইওরুবা
en,ইংরেজি
eka,ইকাজুক
ig,ইগ্‌বো
inh,ইঙ্গুশ
io,ইডো
it,ইতালীয়
smn,"ইনারি সামি"
iu,ইনুক্টিটুট
ik,ইনুপিয়াক
ie,ইন্টারলিঙ্গ
ia,ইন্টারলিঙ্গুয়া
id,ইন্দোনেশীয়
iba,ইবান
yao,ইয়াও
sah,ইয়াকুট
yap,ইয়াপেসে
ilo,ইলোকো
ug,উইঘুর
wo,উওলোফ
uga,উগারিটিক
hsb,"উচ্চ সোর্বিয়ান"
uz,উজবেকীয়
udm,উডমুর্ট
nd,"উত্তর এন্দেবিলি"
frr,"উত্তরাঞ্চলীয় ফ্রিসিয়ান"
se,"উত্তরাঞ্চলীয় সামি"
nso,"উত্তরাঞ্চলীয় সোথো"
umb,উম্বুন্দু
ur,উর্দু
agq,এঘেম
nqo,এন’কো
nzi,এন্.জিমা
ng,এন্দোঙ্গা
efi,এফিক
ebu,এম্বু
ee,এয়ে
myv,এরজিয়া
elx,এলামাইট
et,এস্তোনীয়
eo,এস্পেরান্তো
zh_Hant,"ঐতিহ্যবাহি চীনা"
oj,ওজিবওয়া
or,ওড়িয়া
war,ওয়ারে
wal,ওয়ালামো
wa,ওয়ালুন
was,ওয়াশো
cy,ওয়েলশ
osa,ওসেজ
os,ওসেটিক
kg,কঙ্গো
swc,"কঙ্গো সোয়াহিলি"
cop,কপটিক
koi,কমি-পারমিআক
kw,কর্ণিশ
co,কর্সিকান
kaw,কাউই
kac,কাচিন
kk,কাজাখ
ca,কাতালান
en_CA,"কানাডীয় ইংরেজি"
kr,কানুরি
kn,কান্নাড়ী
kab,কাবাইলে
kbd,কাবার্ডিয়ান
kea,কাবুভারদিয়ানু
kam,কাম্বা
krc,কারচে-বাল্কার
kaa,কারা-কাল্পাক
krl,কারেলিয়ান
kln,কালেনজিন
xal,কাল্মইক
csb,কাশুবিয়ান
ks,কাশ্মীরী
quc,কি‘চে
ki,কিকু্ইয়ু
rw,কিনয়ারোয়ান্ডা
kmb,কিম্বুন্দু
ky,কির্গিজ
kut,কুটেনাই
kum,কুমিক
kru,কুরুখ
ku,কুর্দি
qu,কেচুয়া
kok,কোঙ্কানি
kv,কোমি
khq,"কোয়রা চীনি"
ses,"কোয়রাবেনো সেন্নী"
kj,কোয়ানিয়ামা
nmg,কোয়াসিও
ko,কোরিয়ান
kfo,কোরো
kos,কোস্রাইন
kpe,ক্‌পেল্লে
cad,ক্যাডো
fr_CA,"ক্যানাডিয়ান ফরাসী"
car,ক্যারিব
kl,ক্যালাল্লিসুট
cr,ক্রি
mus,ক্রিক
crh,"ক্রিমিয়ান তুর্কি"
hr,ক্রোয়েশীয়
tlh,ক্লিঙ্গন
km,খমের
kha,খাশি
kho,খোটানিজ
gwi,গওইচ্’ইন
got,গথিক
gaa,গা
gag,গাগাউজ
lg,গান্ডা
gay,গায়ো
gil,গিলবার্টিজ
gez,গীজ
gu,গুজরাটি
gn,গুয়ারানি
guz,গুসী
gon,গোন্ডি
jgo,গোম্বা
gor,গোরোন্তালো
gl,গ্যালিশিয়
el,গ্রিক
grb,গ্রেবো
cho,চকটোও
chg,চাগাতাই
ch,চামোরো
cu,"চার্চ স্লাভিক"
cgg,চিগা
zbl,"চিত্র ভাষা"
chn,"চিনুক জার্গন"
chp,চিপেওয়ান
chb,চিবচা
zh,চীনা
chk,চুকি
cv,চুবাস
cs,চেক
ce,চেচেন
ceb,চেবুয়ানো
chr,চেরোকী
ka,জর্জিয়ান
dyo,জলা-ফনী
zza,জাজা
ja,জাপানি
zap,জাপোটেক
jv,জাভানি
dje,জার্মা
de,জার্মান
jrb,"জুদেও আরবি"
jpr,"জুদেও ফার্সি"
zun,জুনি
zu,জুলু
zen,জেনাগা
dz,জোঙ্গা
xh,জোসা
za,ঝু্য়াঙ
tig,টাইগ্রে
tem,টাইম্নে
kcg,টাইয়াপ
tiv,টিভ
tvl,টুভালু
tyv,টুভিনিয়ান
tpi,"টোক পিসিন"
tkl,টোকেলাউ
to,টোঙ্গান
tw,টোয়াই
dak,ডাকোটা
nl,ডাচ
dyu,ডিউলা
din,ডিংকা
da,ডেনিশ
del,ডেলাওয়ের
doi,ডোগরি
dav,তাইতা
tl,তাগালগ
shi,তাচেলহিত
tg,তাজিক
tt,তাতার
tmh,তামাশেক
ta,তামিল
twq,তাসাওয়াক
ty,তাহিতিয়ান
ti,তিগরিনিয়া
bo,তিব্বতি
tum,তুম্বুকা
tk,তুর্কমেনী
tr,তুর্কী
tet,তেতুম
ter,তেরেনো
te,তেলেগু
teo,তেসো
tli,ত্লিঙ্গিট
th,থাই
nr,"দক্ষিণ এনডেবেলে"
sma,"দক্ষিণাঞ্চলীয় সামি"
alt,"দক্ষিন আলতাই"
st,"দক্ষিন সোথো"
dar,দার্গওয়া
dv,দিবেহি
dua,দুয়ালা
dgr,দোগ্রীব
nb,"নরওয়েজিয়ান বোকমাল"
no,নরওয়েজীয়
nn,"নরওয়েজীয়ান নিনর্স্ক"
na,নাউরু
nv,নাভাজো
naq,নামা
ny,নায়াঞ্জা
tog,"নায়াসা টোঙ্গা"
niu,নিউয়ান
nds,"নিম্ন জার্মানি"
dsb,"নিম্নতর সোর্বিয়ান"
nia,নিয়াস
nus,নুয়ার
new,নেওয়ারি
ne,নেপালী
nap,নেয়াপোলিটান
nog,নোগাই
nyn,ন্যায়াঙ্কোলে
nym,ন্যায়ামওয়েজি
nyo,ন্যোরো
pt,পর্তুগীজ
fy,"পশ্চিম ফ্রিসিয়"
pag,পাঙ্গাসিনান
pa,পাঞ্জাবী
pap,পাপিয়ামেন্টো
pam,পাম্পাঙ্গা
pau,পালায়ুয়ান
pi,পালি
ps,পাশ্তু
pal,পাহ্লাভি
frs,"পূর্ব ফ্রিসিয়"
pl,পোলিশ
pon,পোহ্নপেইয়ান
sga,"প্রাচীন আইরিশ"
ang,"প্রাচীন ইংরেজী"
goh,"প্রাচীন উচ্চ জার্মানি"
grc,"প্রাচীন গ্রীক"
non,"প্রাচীন নর্স"
nwc,"প্রাচীন নেওয়ারী"
pro,"প্রাচীন প্রোভেনসাল"
fro,"প্রাচীন ফরাসি"
peo,"প্রাচীন ফার্সি"
egy,"প্রাচীন মিশরীয়"
syc,"প্রাচীন সিরিও"
fon,ফন
fr,ফরাসি
fat,ফান্তি
fa,ফার্সি
fj,ফিজিও
fi,ফিনিশ
fil,ফিলিপিনো
ff,ফুলাহ্
fo,ফেরাউনি
phn,ফোনিশীয়ান
fan,ফ্যাঙ্গ
fur,ফ্রিউলিয়ান
nl_BE,ফ্লেমিশ
brx,বড়ো
my,বর্মি
bs,বসনীয়ান
mul,"বহুগুণিতক ভাষাসমূহ"
bn,বাংলা
ksf,বাফিয়া
