id,value
ab,abhazijski
ace,ačineski
ada,adangmejski
ady,adigejski
aa,afarski
afh,afrihili
af,afrikanerski
agq,aghem
ain,ainu
ay,ajmara
akk,akadijski
ak,akan
ach,akoli
bss,Akoose
akz,Alabama
sq,albanski
arq,"Algerian Arabic"
ale,aljut
ase,"American Sign Language"
en_US,"američki engleski"
am,amharski
anp,angika
njo,"Ao Naga"
an,aragonežanski
aro,Araona
arp,arapaho
ar,arapski
arn,araukanski
arw,aravak
arc,armajski
rup,aromanijski
frp,Arpitan
as,asemijski
ast,asturijski
asa,asu
cch,atsam
en_AU,"australski engleski"
de_AT,"austrijski njemački"
awa,avadhi
av,avarski
ae,avestanski
az,azerbejdžanski
bfq,Badaga
ksf,bafia
bfd,Bafut
bqi,Bakhtiari
ban,balinezijski
bal,baluči
bm,bambara
bax,Bamun
bjn,Banjar
bas,basa
eu,baskijski
ba,baškirski
bbc,"Batak Toba"
bar,Bavarian
bej,beja
bem,bemba
bez,bena
bn,bengalski
bew,Betawi
zxx,"bez lingvističkog sadržaja"
bik,bikol
bin,bini
bpy,Bishnupriya
bi,bislama
be,bjeloruski
byn,blin
zbl,blisimboli
brx,bodo
bho,bojpuri
bs,bosanski
brh,Brahui
bra,braj
pt_BR,"Brazilian Portuguese"
br,bretonski
en_GB,"britanski engleski"
bg,bugarski
bug,buginežanskii
bum,Bulu
bua,buriat
my,burmanski
frc,"Cajun French"
yue,Cantonese
cps,Capiznon
cay,Cayuga
ceb,cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
qug,"Chimborazo Highland Quichua"
ksh,Colognian
swb,Comorian
cy,cy
chg,čagatai
ch,čamoro
ce,čečenski
chy,čejenski
cs,češki
chb,čibča
cgg,čiga
chn,činukski
chp,čipvijanski
chr,čiroki
cho,čoktavski
chk,čukeski
cv,čuvaški
dak,dakota
da,danski
dar,dargva
dzg,Dazaga
del,delaver
din,dinka
dv,divehijski
doi,dogri
dgr,dogrib
dsb,donjolužičkosrpski
dua,duala
gez,džiz
dz,džonga
dyu,đula
efi,efikski
arz,"Egyptian Arabic"
eka,ekajuk
elx,elamitski
ebu,embu
egl,Emilian
en,engleski
myv,erzija
eo,esperanto
et,estonski
pt_PT,"European Portuguese"
ee,eve
ewo,evondo
es_ES,"evropski španski"
ext,Extremaduran
fan,fang
fat,fanti
fo,farski
phn,feničanski
fj,fidžijski
hif,"Fiji Hindi"
fil,filipinski
fi,finski
nl_BE,flamanski
fon,fon
gur,Frafra
fr,francuski
fur,friulijski
fy,frizijski
ff,fulah
gaa,ga
gag,gagauški
gay,gajo
gl,galski
gan,"Gan Chinese"
lg,ganda
gba,gbaja
aln,"Gheg Albanian"
bbj,Ghomala
glk,Gilaki
gil,gilbertški
