Abchasisch (ab)
Aceh-Sprache (ace)
Acholi-Sprache (ach)
Adangme (ada)
Adygeisch (ady)
Afar (aa)
Afrihili (afh)
Afrikaans (af)
Aghem (agq)
Ägyptisch (egy)
Ägyptisches Arabisch (arz)
Ainu-Sprache (ain)
Akan (ak)
Akkadisch (akk)
Akoose (bss)
Alabama (akz)
Albanisch (sq)
Aleutisch (ale)
Algerisches Arabisch (arq)
Alt-Newari (nwc)
Altenglisch (ang)
Altfranzösisch (fro)
Altgriechisch (grc)
Althochdeutsch (goh)
Altirisch (sga)
Altnordisch (non)
Altpersisch (peo)
Altpreußisch (prg)
Altprovenzalisch (pro)
Altsyrisch (syc)
Amerikanische Gebärdensprache (ase)
Amerikanisches Englisch (en_US)
Amharisch (am)
Angika (anp)
Ao-Naga (njo)
Arabisch (ar)
Aragonesisch (an)
Aramäisch (arc)
Araona (aro)
Arapaho-Sprache (arp)
Araukanisch (arn)
Arawak-Sprache (arw)
Armenisch (hy)
Aromunisch (rup)
Aserbaidschanisch (az)
Assamesisch (as)
Asturianisch (ast)
Atsam (cch)
Australisches Englisch (en_AU)
Avestisch (ae)
Awadhi (awa)
Awarisch (av)
Aymara (ay)
Bachtiarisch (bqi)
Badaga (bfq)
Bafia (ksf)
Bafut (bfd)
Bairisch (bar)
Balinesisch (ban)
Bambara-Sprache (bm)
Bamun (bax)
Banjaresisch (bjn)
Basaa-Sprache (bas)
Baschkirisch (ba)
Baskisch (eu)
Batak Toba (bbc)
Bedauye (bej)
Belutschisch (bal)
Bemba-Sprache (bem)
Bena (bez)
Bengalisch (bn)
Bergmari (mrj)
Betawi (bew)
Bhodschpuri (bho)
Bhutanisch (dz)
Bikol-Sprache (bik)
Bini-Sprache (bin)
Birmanisch (my)
Bishnupriya (bpy)
Bislama (bi)
Blackfoot-Sprache (bla)
Blin (byn)
Bliss-Symbole (zbl)
Bodo (brx)
Bosnisch (bs)
Brahui (brh)
Braj-Bhakha (bra)
Brasilianisches Portugiesisch (pt_BR)
Bretonisch (br)
Britisches Englisch (en_GB)
Buginesisch (bug)
Bulgarisch (bg)
Bulu (bum)
Burjatisch (bua)
Caddo (cad)
Cajun (frc)
Capiznon (cps)
Cayuga (cay)
Cebuano (ceb)
Chamorro-Sprache (ch)
Cherokee (chr)
Cheyenne (chy)
Chibcha-Sprache (chb)
Chimborazo Hochland-Quechua (qug)
Chinesisch (zh)
Chinesisch (traditionell) (zh_Hant)
Chinesisch (vereinfacht) (zh_Hans)
Chinook (chn)
Chipewyan (chp)
Choctaw (cho)
Cree (cr)
Dakota-Sprache (dak)
Dänisch (da)
Darginisch (dar)
Dazaga (dzg)
Delaware-Sprache (del)
Deutsch (de)
Dinka-Sprache (din)
Diola (dyo)
Dogri (doi)
Dogrib (dgr)
Duala (dua)
Dyula-Sprache (dyu)
Efik (efi)
Ekajuk (eka)
Elamisch (elx)
Elliceanisch (tvl)
Embu (ebu)
Emilianisch (egl)
Englisch (en)
Ersja-Mordwinisch (myv)
Esperanto (eo)
Estnisch (et)
Europäisches Portugiesisch (pt_PT)
Europäisches Spanisch (es_ES)
Ewe (ee)
Ewondo (ewo)
Extremadurisch (ext)
Fanti-Sprache (fat)
Farefare (gur)
Färöisch (fo)
Fidschi (fj)
Fidschi-Hindi (hif)
Filipino (fil)
Finnisch (fi)
Flämisch (nl_BE)
Fon-Sprache (fon)
Frankoprovenzalisch (frp)
Französisch (fr)
Friulisch (fur)
Ful (ff)
Ga-Sprache (gaa)
Gabri (gbz)
Gagausisch (gag)
Galizisch (gl)
Gan (gan)
Ganda (lg)
Gayo (gay)
Gbaya-Sprache (gba)
Geez (gez)
Gegisch (aln)
Georgisch (ka)
Ghomala (bbj)
Gilaki (glk)
Gilbertesisch (gil)
Goa-Konkani (gom)
Gondi-Sprache (gon)
Gotisch (got)
Grebo-Sprache (grb)
Griechisch (el)
Grönländisch (kl)
Guarani (gn)
Gujarati (gu)
Gusii (guz)
Haida-Sprache (hai)
Haitianisch (ht)
Hakka (hak)
Hausa (ha)
Hawaiisch (haw)
Hebräisch (he)
Herero-Sprache (hz)
Hethitisch (hit)
Hiligaynon-Sprache (hil)
Hindi (hi)
Hiri-Motu (ho)
Hupa (hup)
Iban (iba)
Ibibio (ibb)
Ido-Sprache (io)
Igbo (ig)
Ilokano-Sprache (ilo)
Inari-Lappisch (smn)
Indonesisch (id)
Inguschisch (inh)
Interlingua (ia)
Interlingue (ie)
Inuktitut (iu)
Inupiak (ik)
Irisch (ga)
Ischorisch (izh)
Isländisch (is)
Italienisch (it)
Jakutisch (sah)
Jamaikanisch-kreolische Sprache (jam)
Japanisch (ja)
Javanisch (jv)
Jiddisch (yi)
Jju (kaj)
Jüdisch-Arabisch (jrb)
Jüdisch-Persisch (jpr)
Jütisch (jut)
K’iche’ (quc)
Kabardinisch (kbd)
Kabuverdianu (kea)
Kabylisch (kab)
Kachin-Sprache (kac)
Kaingang (kgp)
Kako (kkj)
Kalenjin (kln)
Kalmückisch (xal)
Kamba (kam)
Kambodschanisch (km)
Kanadisches Englisch (en_CA)
Kanadisches Französisch (fr_CA)
Kanembu (kbl)
Kannada (kn)
Kantonesisch (yue)
Kanuri-Sprache (kr)
Karakalpakisch (kaa)
Karatschaiisch-Balkarisch (krc)
Karelisch (krl)
Karibisch (car)
Kasachisch (kk)
Kaschmirisch (ks)
Kaschubisch (csb)
Katalanisch (ca)
Kawi (kaw)
Keine Sprachinhalte (zxx)
Kenyang (ken)
Khasi-Sprache (kha)
Khotta (mag)
Khowar (khw)
Kikuyu (ki)
Kimbundu-Sprache (kmb)
Kinaray-a (krj)
Kirchenslawisch (cu)
Kirgisisch (ky)
Kirmanjki (kiu)
Klassisches Chinesisch (lzh)
Klingonisch (tlh)
Kölsch (ksh)
Kom (bkm)
Komi-Permjakisch (koi)
Komi-Sprache (kv)
Komorisch (swb)
Kongo-Suaheli (swc)
Kongolesisch (kg)
Konkani (kok)
Koptisch (cop)
Koreanisch (ko)
Kornisch (kw)
Koro (kfo)
Korsisch (co)
Kosraeanisch (kos)
Kotava (avk)
Koyra Chiini (khq)
Koyra Senni (ses)
Kpelle-Sprache (kpe)
Krimtatarisch (crh)
Krio (kri)
Kroatisch (hr)
Kumükisch (kum)
Kurdisch (ku)
Kutchin-Sprache (gwi)
Kutenai-Sprache (kut)
Kwanyama (kj)
Kwasio (nmg)
Ladino (lad)
Lahnda (lah)
Lakota (lkt)
Lamba-Sprache (lam)
Langi (lag)
Laotisch (lo)
Lasisch (lzz)
Latein (la)
Lateinamerikanisches Spanisch (es_419)
Lesgisch (lez)
Lettgallisch (ltg)
Lettisch (lv)
Ligurisch (lij)
Limburgisch (li)
Lingala (ln)
Lingua Franca Nova (lfn)
Litauisch (lt)
Livisch (liv)
Lojban (jbo)
Lombardisch (lmo)
Luba-Katanga (lu)
Luba-Lulua (lua)
Luhya (luy)
Luiseno-Sprache (lui)
Lule-Lappisch (smj)
Lunda-Sprache (lun)
Luo-Sprache (luo)
Lushai-Sprache (lus)
Luxemburgisch (lb)
Maba (mde)
Machame (jmc)
Madagassisch (mg)
Maduresisch (mad)
Mafa (maf)
Mainfränkisch (vmf)
Maithili (mai)
Makassarisch (mak)
Makhuwa-Meetto (mgh)
Makonde (kde)
Malaiisch (ms)
Malayalam (ml)
Maledivisch (dv)
Maltesisch (mt)
Mandaresisch (mdr)
Manding-Sprache (man)
Mandschurisch (mnc)
Manx (gv)
Maori (mi)
Marathi (mr)
Marokkanisches Arabisch (ary)
Marschallesisch (mh)
Marwari (mwr)
Masanderanisch (mzn)
Massai-Sprache (mas)
Mazedonisch (mk)
Mbundu-Sprache (umb)
Meänkieli (fit)
Medumba (byv)
Mehrsprachig (mul)
Meithei-Sprache (mni)
Mende-Sprache (men)
Mentawai (mwv)
Meru (mer)
Meta’ (mgo)
Mexikanisches Spanisch (es_MX)
Miao-Sprache (hmn)
Micmac-Sprache (mic)
Min Nan (nan)
Minangkabau-Sprache (min)
Mingrelisch (xmf)
Mirandesisch (mwl)
Mittelenglisch (enm)
Mittelfranzösisch (frm)
Mittelhochdeutsch (gmh)
Mittelirisch (mga)
Mittelniederländisch (dum)
