id,value
ab,abhaasi
ada,adangme
ady,adõgee
aa,afari
afh,afrihili
af,afrikaani
agq,aghemi
ay,aimara
ain,ainu
akk,akadi
ak,akani
ach,akoli
bss,akoose
akz,Alabama
nds,alamsaksa
dsb,alamsorbi
sq,albaania
ale,aleuudi
arq,"Algerian Arabic"
alt,altai
kj,ambo
ase,"American Sign Language"
am,amhari
anp,angika
njo,"Ao Naga"
ar,araabia
ar_001,"araabia (tänapäevane)"
an,aragoni
arc,aramea
aro,Araona
arp,arapaho
arn,araukaani
arw,aravaki
hy,armeenia
rup,aromuuni
frp,Arpitan
asa,asa
az,aserbaidžaani
as,assami
ast,astuuria
cch,atsami
ace,atšehi
en_AU,"Australian English"
de_AT,"Austrian German"
av,avaari
awa,avadhi
ae,avesta
bfq,Badaga
ksf,bafia
bfd,bafuti
bqi,Bakhtiari
ban,bali
bm,bambara
bax,bamuni
bjn,Banjar
bas,basa
eu,baski
ba,baškiiri
bbc,"Batak Toba"
bar,Bavarian
bej,bedža
pau,belau
bal,belutši
bem,bemba
bez,bena
bn,bengali
bew,Betawi
bho,bhodžpuri
bik,bikoli
byn,bilini
my,birma
bpy,Bishnupriya
bi,bislama
zbl,blissümbolid
brx,bodo
bs,bosnia
bra,bradži
brh,Brahui
pt_BR,"Brazilian Portuguese"
br,bretooni
bug,bugi
bg,bulgaaria
bum,bulu
bua,burjaadi
frc,"Cajun French"
en_CA,"Canadian English"
fr_CA,"Canadian French"
cps,Capiznon
cay,cayuga
dtp,"Central Dusun"
esu,"Central Yupik"
cgg,chiga
qug,"Chimborazo Highland Quichua"
ksh,cologniani
dar,dargi
dzg,dazaga
del,delavari
din,dinka
dyu,djula
doi,dogri
dgr,dogribi
dz,dzongkha
dua,duala
bin,edo
elx,eelami
et,eesti
efi,efiki
arz,"Egyptian Arabic"
eka,ekadžuki
ebu,embu
egl,Emilian
myv,ersa
eo,esperanto
gez,etioopia
ee,eve
ewo,evondo
ext,Extremaduran
fan,fangi
fat,fanti
fj,fidži
hif,"Fiji Hindi"
fil,filipino
nl_BE,flaami
phn,foiniikia
fon,foni
gur,Frafra
fur,friuuli
ff,fulbe
fo,fääri
gaa,gaa
gd,gaeli
gag,gagauusi
gay,gajo
gl,galeegi
gan,"Gan Chinese"
lg,ganda
gba,gbaja
aln,"Gheg Albanian"
bbj,ghomala
glk,Gilaki
gom,"Goan Konkani"
gon,gondi
got,gooti
gor,gorontalo
grb,grebo
ka,gruusia
kl,grööni
gn,guaranii
gu,gudžarati
guz,gusii
gwi,gvitšini
hai,haida
ht,haiti
hak,"Hakka Chinese"
ha,hausa
haw,havai
he,heebrea
hz,herero
hit,heti
zh,hiina
zh_Hans,"hiina (lihtsustatud)"
zh_Hant,"hiina (traditsiooniline)"
hil,hiligainoni
hi,hindi
es,hispaania
es_ES,"hispaania (Euroopa)"
hmn,hmongi
nl,hollandi
hr,horvaadi
hup,hupa
iba,ibani
ibb,ibibio
ig,ibo
frs,idafriisi
io,ido
ga,iiri
ilo,iloko
smn,"inari saami"
id,indoneesia
en,inglise
en_GB,"inglise (Briti)"
en_US,"inglise (USA)"
izh,Ingrian
inh,inguši
ik,injupiaki
ia,interlingua
ie,interlingue
iu,inuktituti
is,islandi
it,itaalia
bkm,itaŋikomi
ja,jaapani
jv,jaava
sah,jakuudi
jam,"Jamaican Creole English"
yao,jao
yap,japi
yi,jidiši
kaj,jju
dyo,jola-fonyi
yo,joruba
jut,Jutish
jrb,juudiaraabia
jpr,juudipärsia
quc,k’iche’
kaw,kaavi
kbd,kabardi-tšerkessi
kab,kabiili
kea,kabuverdianu
cad,kado
kgp,Kaingang
kkj,kako
kln,kaljenjin
xal,kalmõki
kam,kamba
kbl,kanembu
kn,kannada
yue,kantoni
kr,kanuri
kaa,karakalpaki
krc,karatšai-balkaari
car,kariibi
krl,karjala
kk,kasahhi
ks,kašmiiri
csb,kašuubi
ca,katalaani
kac,katšini
ken,Kenyang
tzm,"Kesk-Maroko tamazighti"
dum,keskhollandi
mga,keskiiri
enm,keskinglise
frm,keskprantsuse
gmh,keskülemsaksa
qu,ketšua
kha,khasi
km,khmeeri
khw,Khowar
ki,kikuju
krj,Kinaray-a
ky,kirgiisi
gil,kiribati
cu,kirikuslaavi
kiu,Kirmanjki
syc,"klassikaline süüria"
tlh,klingoni
sms,koltasaami
kv,komi
swb,komoori
kg,kongo
swc,"Kongo suahiili"
kok,konkani
xh,koosa
cop,kopti
ko,korea
kw,korni
kfo,koro
co,korsika
kos,kosrae
