abhaasi (ab)
adangme (ada)
adyge (ady)
afar (aa)
afrihili (afh)
afrikaans (af)
aghem (agq)
aimara (ay)
ainu (ain)
akan (ak)
akkadi (akk)
alabama (akz)
alasaksa (nds)
alaskanjupik (esu)
alasorbi (dsb)
albania (sq)
aleutti (ale)
algerianarabia (arq)
altai (alt)
amerikanenglanti (en_US)
amerikanespanja (es_419)
amerikkalainen viittomakieli (ase)
amhara (am)
angika (anp)
ao naga (njo)
arabia (ar)
aragonia (an)
araona (aro)
arapaho (arp)
arawak (arw)
armenia (hy)
aromania (rup)
arpitaani (frp)
assami (as)
asturia (ast)
asu (asa)
atsam (cch)
atšeh (ace)
atšoli (ach)
australianenglanti (en_AU)
avaari (av)
avesta (ae)
awadhi (awa)
azeri (az)
badaga (bfq)
bafia (ksf)
bahtiari (bqi)
baijeri (bar)
bali (ban)
bambara (bm)
bamum (bax)
banjar (bjn)
basaa (bas)
baski (eu)
baškiiri (ba)
batak-toba (bbc)
bedža (bej)
belutši (bal)
bemba (bem)
bena (bez)
bengali (bn)
betawi (bew)
bhodžpuri (bho)
bikol (bik)
bilin (byn)
bini (bin)
bislama (bi)
bišnupria (bpy)
blisskieli (zbl)
bodo (brx)
bosnia (bs)
bradž (bra)
brahui (brh)
brasilianportugali (pt_BR)
bretoni (br)
britannianenglanti (en_GB)
bugi (bug)
bulgaria (bg)
bulu (bum)
burjaatti (bua)
burma (my)
caddo (cad)
cajun (frc)
capiznon (cps)
cayuga (cay)
cebuano (ceb)
cherokee (chr)
cheyenne (chy)
chimborazonylänköketšua (qug)
chinook-jargon (chn)
chipewyan (chp)
choctaw (cho)
chuuk (chk)
cree (cr)
creek (mus)
dakota (dak)
dargi (dar)
dazaga (dzg)
delaware (del)
dinka (din)
divehi (dv)
djerma (dje)
djula (dyu)
dogri (doi)
dogrib (dgr)
duala (dua)
dusun (dtp)
dzongkha (dz)
efik (efi)
egyptinarabia (arz)
ei kielellistä sisältöä (zxx)
ekajuk (eka)
elami (elx)
embu (ebu)
emilia (egl)
englanti (en)
ersä (myv)
espanja (es)
espanjanespanja (es_ES)
esperanto (eo)
etelä-ndebele (nr)
eteläazeri (azb)
eteläsaame (sma)
eteläsotho (st)
ewe (ee)
ewondo (ewo)
extremadura (ext)
fang (fan)
fanti (fat)
farsi (fa)
fidži (fj)
fidžinhindi (hif)
filipino (fil)
flaami (nl_BE)
foinikia (phn)
fon (fon)
frafra (gur)
friuli (fur)
fulani (ff)
fut (bfd)
fääri (fo)
ga (gaa)
gaeli (gd)
gagauzi (gag)
gajo (gay)
galicia (gl)
gan-kiina (gan)
ganda (lg)
gbaja (gba)
ge’ez (gez)
geg (aln)
georgia (ka)
ghomala (bbj)
gilaki (glk)
goankonkani (gom)
gondi (gon)
gootti (got)
gorontalo (gor)
grebo (grb)
guarani (gn)
gudžarati (gu)
gusii (guz)
gwitšin (gwi)
haida (hai)
haiti (ht)
hakka-kiina (hak)
hausa (ha)
havaiji (haw)
heetti (hit)
heprea (he)
