id,value
ab,Abchazysk
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
af,Afrikaansk
agq,Aghem
ain,Ainu
ak,Akan
akk,Akkadysk
ach,Akoli
bss,Akoose
akz,Alabama
sq,Albaneesk
egy,Aldegyptysk
fro,Aldfrânsk
grc,Aldgryks
ang,âldingelsk
non,Aldnoarsk
peo,Aldperzysk
pro,Aldprovençaals
sga,Aldyrsk
ale,Aleut
arq,"Algerian Arabic"
goh,Alsheechdútsk
ase,"American Sign Language"
en_US,"Amerikaansk Ingelsk"
am,Amhaarsk
anp,Angika
njo,"Ao Naga"
ar,Arabysk
an,Aragoneesk
arc,Arameesk
aro,Araona
arp,Arapaho
arn,Araukaansk
arw,Arawak
hy,Armeensk
rup,Aromaniaansk
frp,Arpitan
as,Assameesk
ast,Asturysk
asa,Asu
ace,Atjeesk
cch,Atsam
en_AU,"Australysk Ingelsk"
av,Avarysk
ae,Avestysk
awa,Awadhi
ay,Aymara
az,Azerbeidzjaansk
bfq,Badaga
ksf,Bafia
bfd,Bafut
bqi,Bakhtiari
ban,Balineesk
bal,Baloetsjysk
bm,Bambara
bax,Bamoun
bjn,Banjar
bas,Basa
ba,Basjkiersk
eu,Baskysk
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bem,Bemba
bez,Bena
bn,Bengaalsk
bew,Betawi
bho,Bhojpuri
bik,Bikol
bin,Bini
my,Birmees
bpy,Bishnupriya
bi,Bislama
byn,Blin
zbl,Blissymbolen
brx,Bodo
bs,Bosnysk
brh,Brahui
bra,Braj
pt_BR,"Brazyljaansk Portugees"
br,Bretonsk
en_GB,"Britsk Ingelsk"
bug,Bugineesk
bg,Bulgaarsk
bum,Bulu
bua,Buriat
frc,"Cajun French"
cps,Capiznon
cay,Cayuga
ceb,Cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
chg,Chagatai
ch,Chamorro
chr,Cherokee
chy,Cheyenne
chb,Chibcha
cgg,Chiga
qug,"Chimborazo Highland Quichua"
chn,Chinook-jargon
chp,Chipewyan
cho,Choctaw
chk,Chuukeesk
swc,"Congo Swahili"
kw,Cornish
cr,Cree
mus,Creek
dak,Dakota
dar,Dargwa
dzg,Dazaga
da,Deensk
del,Delaware
din,Dinka
dv,Divehi
doi,Dogri
dgr,Dogrib
dua,Duala
de,Dútsk
dyu,Dyula
dz,Dzongkha
frs,East-Frysk
de_AT,"Eastenryks Dútsk"
efi,Efik
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamitysk
ebu,Embu
egl,Emilian
myv,Erzja
eo,Esperanto
et,Estlânsk
pt_PT,"Europees Portugees"
es_ES,"Europeesk Spaansk"
ee,Ewe
ewo,Ewondo
ext,Extremaduran
fo,Faeröersk
fan,Fang
fat,Fanti
zh_Hans,"Ferienfâldich Sineesk"
hif,"Fiji Hindi"
fj,Fijysk
fil,Filipynsk
fi,Finsk
phn,Foenisysk
fon,Fon
gur,Frafra
fr,Frânsk
fur,Friulysk
ff,Fulah
gaa,Ga
gag,Gagauz
gl,Galisysk
gan,"Gan Chinese"
lg,Ganda
gay,Gayo
gba,Gbaya
gez,Geez
ka,Georgysk
aln,"Gheg Albanian"
bbj,Ghomala’
glk,Gilaki
gil,Gilberteesk
zxx,"Gjin linguïstyske ynhâld"
gom,"Goan Konkani"
gon,Gondi
gor,Gorontalo
got,Gothysk
grb,Grebo
kl,Grienlâns
el,Gryks
gn,Guaraní
gu,Gujarati
guz,Gusii
gwi,Gwichʼin
hai,Haida
ht,Haïtiaansk
hak,"Hakka Chinese"
ha,Hausa
haw,Hawaïaansk
he,Hebreeuwsk
hz,Herero
hit,Hettitysk
hil,Hiligaynon
hi,Hindi
ho,"Hiri Motu"
hmn,Hmong
hu,Hongaarsk
hup,Hupa
iba,Iban
ibb,Ibibio
io,Ido
ga,Iersk
ig,Igbo
ilo,Iloko
smn,"Inari Sami"
en,Ingelsk
inh,Ingoesj
izh,Ingrian
ia,Interlingua
ie,Interlingue
iu,Inuktitut
ik,Inupiaq
it,Italiaansk
sah,Jakoets
jam,"Jamaican Creole English"
ja,Japans
jv,Javaansk
yi,Jiddysk
kaj,Jju
dyo,Jola-Fonyi
jrb,Judeo-Arabysk
jpr,Judeo-Perzysk
jut,Jutish
kea,"Kaapverdysk Creools"
kbd,Kabardysk
kab,Kabyle
kac,Kachin
cad,Kaddo
kgp,Kaingang
kkj,Kako
kln,Kalenjin
xal,Kalmyk
kam,Kamba
fr_CA,"Kanadeesk Frânsk"
en_CA,"Kanadeesk Ingelsk"
kbl,Kanembu
kn,Kannada
yue,Kantoneesk
kr,Kanuri
krc,Karachay-Balkar
kaa,Karakalpaks
krl,Karelysk
car,Karibysk
ks,Kasjmiri
csb,Kasjoebysk
ca,Katalaansk
kaw,Kawi
kk,Kazachs
ken,Kenyang
cu,Kerkslavysk
kha,Khasi
