id,value
ab,abhaski
ace,achinese
ach,acoli
ada,adangme
ady,adigejski
aa,afarski
afh,afrihili
af,afrikaans
agq,aghem
ain,ainu
ak,akanski
akk,akkadian
bss,akoose
akz,Alabama
sq,albanski
ale,aleutski
arq,"Algerian Arabic"
ase,"American Sign Language"
en_US,"američki engleski"
am,amharski
anp,angika
njo,"Ao Naga"
an,aragonski
arc,aramejski
aro,Araona
arp,arapaho
ar,arapski
arn,araukanski
arw,arawak
hy,armenski
rup,aromunski
frp,Arpitan
as,asamski
ast,asturijski
asa,asu
cch,atsam
en_AU,"australski engleski"
de_AT,"austrijski njemački"
av,avarski
ae,avestan
awa,awadhi
ay,aymara
az,azerbajdžanski
bfq,Badaga
ksf,bafia
bfd,bafut
bqi,Bakhtiari
ban,balinezijski
bal,baluchi
bm,bambara
bax,bamunski
bjn,Banjar
bas,basa
eu,baskijski
ba,baškirski
bbc,"Batak Toba"
bar,Bavarian
bej,beja
bem,bemba
bez,bena
bn,bengalski
bew,Betawi
zxx,"bez jezičnog sadržaja"
bho,bhojpuri
bik,bikol
bin,bini
bpy,Bishnupriya
bi,bislama
be,bjeloruski
byn,blin
zbl,blissymbols
brx,bodo
bs,bosanski
brh,Brahui
bra,braj
pt_BR,"brazilski portugalski"
br,bretonski
en_GB,"britanski engleski"
bg,bugarski
bug,buginski
bum,bulu
bua,buriat
my,burmanski
cad,caddo
frc,"Cajun French"
cps,Capiznon
cay,cayuga
ceb,cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
chg,chagatai
ch,chamorro
chb,chibcha
cgg,chiga
qug,"Chimborazo Highland Quichua"
chn,"chinook žargon"
chp,chipewyan
cho,choctaw
chk,chuukese
cv,chuvash
cr,cree
mus,creek
cu,crkvenoslavenski
tn,cvana
shu,"čadski arapski"
ce,čečenski
chy,čejenski
chr,čeroki
cs,češki
dak,"dakota jezik"
da,danski
dar,dargwa
dzg,dazaga
del,delavarski
din,dinka
dv,divehi
doi,dogri
dgr,dogrib
nds,donjonjemački
dua,duala
dyu,dyula
dz,dzongkha
efi,efik
arz,"Egyptian Arabic"
eka,ekajuk
elx,elamitski
ebu,embu
egl,Emilian
en,engleski
enm,"engleski, srednji"
eo,esperanto
et,estonski
pt_PT,"europski portugalski"
es_ES,"europski španjolski"
ee,ewe
ewo,ewondo
ext,Extremaduran
fan,fang
fat,fanti
phn,fenički
fo,ferojski
fj,fidžijski
hif,"Fiji Hindi"
fil,filipino
fi,finski
nl_BE,flamanski
fon,fon
gur,Frafra
fr,francuski
frm,"francuski, srednji"
fur,friulski
ff,fulah
gaa,ga
gag,gagauski
gl,galicijski
gan,"Gan Chinese"
lg,ganda
gay,gayo
gba,gbaya
aln,"Gheg Albanian"
bbj,ghomala
glk,Gilaki
gil,gilbertski
gom,"Goan Konkani"
gon,gondi
hsb,gornjolužički
de_CH,"gornjonjemački (švicarski)"
gor,gorontalo
got,gothic
el,grčki
grb,grebo
ka,gruzijski
gn,guarani
gu,gudžaratski
guz,gusii
gwi,gwich’in
hai,haidi
hak,"Hakka Chinese"
ha,hausa
haw,havajski
he,hebrejski
hz,herero
hit,hetitski
hil,hiligaynon
hi,hindski
ho,"hiri motu"
hmn,hmong
hr,hrvatski
hup,hupa
iba,iban
ibb,ibibio
io,ido
ig,igbo
ilo,iloko
smn,"inari sami"
id,indonezijski
izh,Ingrian
inh,ingušetski
ie,interligua
ia,interlingua
iu,inuktitut
ik,inupiaq
ga,irski
mga,"irski, srednji"
is,islandski
frs,istočnofrizijski
sah,jakutski
jam,"Jamaican Creole English"
ja,japanski
yap,japski
jv,javanski
yi,jidiš
dyo,jola-fonyi
yo,joruba
jrb,judejsko-arapski
jpr,judejsko-perzijski
jut,Jutish
alt,"južni altai"
nr,"južni ndebele"
se,"južni sami"
kbd,kabardian
kab,kabilski
kac,kachin
kgp,Kaingang
kaj,kaje
kkj,kako
kl,kalaallisut
kln,kalenjin
xal,kalmyk
kam,kamba
en_CA,"kanadski engleski"
fr_CA,"kanadski francuski"
kbl,kanembu
kn,kannadski
yue,kantonski
kr,kanuri
kaa,kara-kalpak
krc,karachay-balkar
krl,karelijski
car,karipski
ks,kašmirski
csb,kašupski
ca,katalonski
kaw,kawi
kk,kazaški
qu,kečua
ksh,kelnski
ken,Kenyang
kha,khasi
kho,khotanese
khw,Khowar
quc,kiče
ki,kikuyu
kmb,kimbundu
krj,Kinaray-a
zh,kineski
zh_Hans,"kineski (pojednostavljeni)"
zh_Hant,"kineski (tradicionalni)"
rw,kinyarwanda
ky,kirgiški
kiu,Kirmanjki
nwc,"klasični newari"
syc,"klasični sirski"
tlh,klingonski
km,kmerski
nb,"književni norveški"
bkm,kom
kv,komi
swb,komorski
koi,"komski ili permski"
kg,kongo
swc,"kongoanski swahili"
kok,konkani
