Austrian German (de_AT)
Bavarian (bar)
Brazilian Portuguese (pt_BR)
Canadian French (fr_CA)
Latin American Spanish (es_419)
Mexican Spanish (es_MX)
Novial (nov)
Swiss French (fr_CH)
Warlpiri (wbp)
アイスランド語 (is)
アイヌ語 (ain)
アイマラ語 (ay)
アイルランド語 (ga)
アヴァル語 (av)
アヴェスタ語 (ae)
アオ・ナガ語 (njo)
アカン語 (ak)
アゲム語 (agq)
アコース語 (bss)
アストゥリアス語 (ast)
アス語 (asa)
アゼルバイジャン語 (az)
アタパスカ語 (hup)
アダングメ語 (ada)
アチェ語 (ace)
アチョリ語 (ach)
アッカド語 (akk)
アッサム語 (as)
アディゲ語 (ady)
アファル語 (aa)
アブハズ語 (ab)
アフリカーンス語 (af)
アフリヒリ語 (afh)
アムハラ語 (am)
アメリカ英語 (en_US)
アメリカ手話 (ase)
アラウカン語 (arn)
アラオナ語 (aro)
アラゴン語 (an)
アラパホー語 (arp)
アラバマ語 (akz)
アラビア語 (ar)
アラム語 (arc)
アラワク語 (arw)
アルーマニア語 (rup)
アルジェリア・アラビア語 (arq)
アルバニア語 (sq)
アルピタン語 (frp)
アルメニア語 (hy)
アレウト語 (ale)
アワディー語 (awa)
アンギカ語 (anp)
イエンバ語 (ybb)
イギリス英語 (en_GB)
イタリア語 (it)
イディッシュ語 (yi)
イド語 (io)
イナリ・サーミ語 (smn)
イヌクウティトット語 (iu)
イヌピアック語 (ik)
イバン語 (iba)
イビビオ語 (ibb)
イボ語 (ig)
イロカノ語 (ilo)
イングーシ語 (inh)
イングリア語 (izh)
インターリング (ie)
インターリングア (ia)
インドネシア語 (id)
ヴァイ語 (vai)
ヴァリス語 (wae)
ウイグル語 (ug)
ウェールズ語 (cy)
ヴェネト語 (vec)
ヴェプス語 (vep)
ヴォート語 (vot)
ウォライタ語 (wal)
ヴォラピュク語 (vo)
ウォロフ語 (wo)
ヴォロ語 (vro)
ウガリト語 (uga)
ウクライナ語 (uk)
ウズベク語 (uz)
ウドムルト語 (udm)
ウルドゥー語 (ur)
ヴンジョ語 (vun)
エウェ語 (ee)
エウォンド語 (ewo)
エカジュク語 (eka)
エジプト・アラビア語 (arz)
エストニア語 (et)
エストレマドゥーラ語 (ext)
エスペラント語 (eo)
エフィク語 (efi)
エミリア語 (egl)
エラム語 (elx)
エルジャ語 (myv)
エンブ語 (ebu)
オーストラリア英語 (en_AU)
オジブウェー語 (oj)
オスマントルコ語 (ota)
オセージ語 (osa)
オセット語 (os)
オック語 (oc)
オランダ語 (nl)
オリヤー語 (or)
オロモ語 (om)
カーボベルデ・クレオール語 (kea)
カインガング語 (kgp)
カウィ語 (kaw)
ガガウズ語 (gag)
カコ語 (kkj)
カザフ語 (kk)
カジェ語 (kaj)
カシミール語 (ks)
カシューブ語 (csb)
カシ語 (kha)
カタブ語 (kcg)
カタロニア語 (ca)
カチン語 (kac)
カドー語 (cad)
カナダ英語 (en_CA)
カヌリ語 (kr)
カネンブ語 (kbl)
カバルド語 (kbd)
カピス語 (cps)
カビル語 (kab)
カユーガ語 (cay)
ガヨ語 (gay)
カラカルパク語 (kaa)
カラチャイ語 (krc)
ガリシア語 (gl)
カリブ語 (car)
カルムイク語 (xal)
カレリア語 (krl)
カレンジン語 (kln)
ガンダ語 (lg)
カンナダ語 (kn)
カンバ語 (kam)
ガ語 (gaa)
キクユ語 (ki)
キチェ語 (quc)
キナライア語 (krj)
ギラキ語 (glk)
ギリシャ語 (el)
キリバス語 (gil)
キルギス語 (ky)
キルマンジュキ語 (kiu)
キンブンド語 (kmb)
グアラニー語 (gn)
グウィッチン語 (gwi)
グシイ語 (guz)
グジャラート語 (gu)
クテナイ語 (kut)
クペレ語 (kpe)
クムク語 (kum)
クメール語 (km)
クリーク語 (mus)
グリーンランド語 (kl)
クリー語 (cr)
クリオ語 (kri)
クリミア・タタール語 (crh)
クリンゴン語 (tlh)
クルク語 (kru)
グルジア語 (ka)
クルド語 (ku)
クルド語(ソラニー) (ckb)
グレボ語 (grb)
クロアチア語 (hr)
クワシオ語 (nmg)
クワニャマ語 (kj)
ケイジャン・フランス語 (frc)
ゲエズ語 (gez)
ゲグ・アルバニア語 (aln)
ケチュア語 (qu)
ケルン語 (ksh)
ゴア・コンカニ語 (gom)
コイラ・チーニ語 (khq)
コイラボロ・センニ語 (ses)
コータン語 (kho)
ゴート語 (got)
ゴーマラ語 (bbj)
コーンウォール語 (kw)
ゴーンディー語 (gon)
コサ語 (xh)
コスラエ語 (kos)
コタヴァ (avk)
コプト語 (cop)
コミ・ペルミャク語 (koi)
コミ語 (kv)
コム語 (bkm)
コモロ語 (swb)
コルシカ語 (co)
ゴロンタロ語 (gor)
コロ語 (kfo)
コワール語 (khw)
コンカニ語 (kok)
コンゴ・スワヒリ語 (swc)
コンゴ語 (kg)
ザーターフリジア語 (stq)
サウラーシュトラ語 (saz)
ササク語 (sas)
ザザ語 (zza)
サッサリ・サルデーニャ語 (sdc)
サポテカ語 (zap)
サホ語 (ssy)
サマリア・アラム語 (sam)
サモア語 (sm)
サモギティア語) (sgs)
サルデーニャ語 (sc)
ザルマ語 (dje)
サング語 (sbp)
サンゴ語 (sg)
サンスクリット語 (sa)
サンターリー語 (sat)
サンダウェ語 (sad)
サンバー語 (ksb)
サンブル語 (saq)
シクシカ語 (bla)
シダモ語 (sid)
シチリア語 (scn)
シャイアン語 (chy)
ジャマイカ・クレオール語 (jam)
ジャワ語 (jv)
シャン語 (shn)
シュメール語 (sux)
ジュラ語 (dyu)
ショナ語 (sn)
ジョラ＝フォニィ語 (dyo)
シリア語 (syr)
シレジア語 (szl)
シンド語 (sd)
シンハラ語 (si)
スイスドイツ語 (gsw)
スウェーデン語 (sv)
ズールー語 (zu)
スクマ語 (suk)
スコットランド・ゲール語 (gd)
スコットランド語 (sco)
スコルト・サーミ語 (sms)
スス語 (sus)
ズニ語 (zun)
スペイン語 (es)
スペイン語(イベリア半島) (es_ES)
スラヤール語 (sly)
スリナム語 (srn)
スレイビー語 (den)
スロバキア語 (sk)
スロベニア語 (sl)
スワジ語 (ss)
スワヒリ語 (sw)
スンダ語 (su)
ゼーラント語 (zea)
ゼナガ語 (zen)
セナ語 (seh)
セネカ語 (see)
セブアノ語 (ceb)
セリクプ語 (sel)
セリ語 (sei)
セルビア語 (sr)
セルボ・クロアチア語 (sh)
セレル語 (srr)
ソガ語 (xog)
ソグド語 (sog)
ソニンケ語 (snk)
ソマリ語 (so)
ゾンカ語 (dz)
タイタ語 (dav)
タイ語 (th)
タガログ語 (tl)
ダコタ語 (dak)
ダザガ語 (dzg)
タサワク語 (twq)
タジク語 (tg)
タシルハイト語 (shi)
タタール語 (tt)
タヒチ語 (ty)
タマージク語(モロッコ公用語) (zgh)
タマシェク語 (tmh)
タミル語 (ta)
ダリー語(ゾロアスター教) (gbz)
タリシュ語 (tly)
ダルガン語 (dar)
タロコ語 (trv)
チェコ語 (cs)
チェチェン語 (ce)
チェロキー語 (chr)
チガ語 (cgg)
チヌーク混成語 (chn)
チブチャ語 (chb)
チベット語 (bo)
チペワイアン語 (chp)
チムシュ語 (tsi)
チャガタイ語 (chg)
チャド・アラビア語 (shu)
チャモロ語 (ch)
チャワイ語 (cch)
チュヴァシ語 (cv)
チューク語 (chk)
チュニジア・アラビア語 (aeb)
チョクトー語 (cho)
チワン語 (za)
チンボラソ高地ケチュア語 (qug)
ツァコン語 (tsd)
ツァフル語 (tkr)
ツォンガ語 (ts)
ツバル語 (tvl)
ツワナ語 (tn)
ティグリニア語 (ti)
ティグレ語 (tig)
ティブ語 (tiv)
ディベヒ語 (dv)
ディンカ語 (din)
テソ語 (teo)
テトゥン語 (tet)
テムネ語 (tem)
デラウェア語 (del)
テルグ語 (te)
テレーノ語 (ter)
デンマーク語 (da)
ドイツ語 (de)
ドゥアラ語 (dua)
トウィ語 (tw)
トゥヴァ語 (tyv)
トゥル語 (tcy)
トゥロヨ語 (tru)
トゥンブカ語 (tum)
ドーグリー語 (doi)
トク・ピシン語 (tpi)
ドグリブ語 (dgr)
トケラウ語 (tkl)
トバ・バタク語 (bbc)
トリンギット語 (tli)
トルクメン語 (tk)
トルコ語 (tr)
トルネダール・フィンランド語 (fit)
トンガ語 (to)
トンガ語(ニアサ) (tog)
ナウル語 (na)
ナバホ語 (nv)
ナポリ語 (nap)
ナマ語 (naq)
ニアス語 (nia)
ニウーエイ語 (niu)
ニェエンガトゥ語 (yrl)
ニャムウェジ語 (nym)
ニャンコレ語 (nyn)
ニャンジャ語 (ny)
ニャン語 (ken)
ニョロ語 (nyo)
ヌエル語 (nus)
ネパール語 (ne)
ネワール語 (new)
ノガイ語 (nog)
ノルウェー語 (no)
ノルウェー語(ニーノシュク) (nn)
ノルウェー語(ブークモール) (nb)
パーリ語 (pi)
ハイダ語 (hai)
ハイチ語 (ht)
ハウサ語 (ha)
バサ語 (bas)
バシキール語 (ba)
パシュトゥー語 (ps)
バスク語 (eu)
バダガ語 (bfq)
パピアメント語 (pap)
バフィア語 (ksf)
バフット語 (bfd)
バフティヤーリー語 (bqi)
パフラヴィー語 (pal)
バムン語 (bax)
バヤ語 (gba)
パラオ語 (pau)
バリ語 (ban)
バルーチー語 (bal)
ハワイ語 (haw)
パンガシナン語 (pag)
ハンガリー語 (hu)
パンジャブ語 (pa)
バンジャル語 (bjn)
バンバラ語 (bm)
パンパンガ語 (pam)
ピエモンテ語 (pms)
ピカルディ語 (pcd)
ビコル語 (bik)
ビシュヌプリヤ・マニプリ語 (bpy)
ビスラマ語 (bi)
ヒッタイト語 (hit)
ビニ語 (bin)
ヒリガイノン語 (hil)
ヒリモツ語 (ho)
ビリン語 (byn)
ビルマ語 (my)
ヒンディー語 (hi)
ファング語 (fan)
ファンティー語 (fat)
フィジー・ヒンディー語 (hif)
フィジー語 (fj)
フィリピノ語 (fil)
フィンランド語 (fi)
フェニキア語 (phn)
フェロー語 (fo)
フォン語 (fon)
ブギ語 (bug)
プファルツ語 (pfl)
フモン語 (hmn)
ブラジ語 (bra)
フラニ語 (ff)
ブラフイ語 (brh)
フラフラ語 (gur)
フランス語 (fr)
フリウリ語 (fur)
ブリスシンボル (zbl)
ブリヤート語 (bua)
ブルガリア語 (bg)
ブルトン語 (br)
ブル語 (bum)
フレミッシュ語 (nl_BE)
プロシア語 (prg)
ベジャ語 (bej)
ベタウィ語 (bew)
ベトナム語 (vi)
ベナ語 (bez)
ヘブライ語 (he)
ベラルーシ語 (be)
ペルシア語 (fa)
ヘレロ語 (hz)
ベンガル語 (bn)
ペンシルベニア・ドイツ語 (pdc)
ベンダ語 (ve)
ベンバ語 (bem)
ボージュプリー語 (bho)
ポーランド語 (pl)
ボスニア語 (bs)
ボド語 (brx)
ポルトガル語 (pt)
ポルトガル語(イベリア半島) (pt_PT)
ポントス・ギリシャ語 (pnt)
ポンペイ語 (pon)
マーザンダラーン語 (mzn)
マーシャル語 (mh)
マールワーリー語 (mwr)
マイティリー語 (mai)
マインフランク語 (vmf)
マオリ語 (mi)
マカッサル語 (mak)
マガヒー語 (mag)
マクア・ミート語 (mgh)
マケドニア語 (mk)
マコンデ語 (kde)
マサイ語 (mas)
マダガスカル語 (mg)
マチャメ語 (jmc)
マドゥラ語 (mad)
マニプリ語 (mni)
マバ語 (mde)
マファ語 (maf)
マラーティー語 (mr)
マラヤーラム語 (ml)
マリ語 (chm)
マルタ語 (mt)
マレー語 (ms)
マンダル語 (mdr)
マンディンゴ語 (man)
マン島語 (gv)
ミエネ語 (mye)
ミクマク語 (mic)
ミナンカバウ語 (min)
ミランダ語 (mwl)
ムスリム・タタール語 (ttt)
ムブンドゥ語 (umb)
ムンダン語 (mua)
メグレル語 (xmf)
メタ語 (mgo)
メドゥンバ語 (byv)
メノナイト低地ドイツ語 (pdt)
メル語 (mer)
メンタワイ語 (mwv)
メンデ語 (men)
モーホーク語 (moh)
モーリシャス・クレオール語 (mfe)
モクシャ語 (mdf)
モシ語 (mos)
モルダビア語 (ro_MD)
モロッコ・アラビア語 (ary)
モンゴル語 (mn)
モンゴ語 (lol)
ヤオ語 (yao)
ヤクート語 (sah)
ヤップ語 (yap)
ヤンベン語 (yav)
ユダヤ・アラビア語 (jrb)
ユダヤ・ペルシア語 (jpr)
ユトランド語 (jut)
ヨルバ語 (yo)
ラージャスターン語 (raj)
ラオ語 (lo)
ラコタ語 (lkt)
ラズ語 (lzz)
ラディノ語 (lad)
ラテン語 (la)
ラトガリア語 (ltg)
ラトビア語 (lv)
ラパヌイ語 (rap)
ラフンダー語 (lah)
ラロトンガ語 (rar)
ランギ語 (lag)
ランバ語 (lam)
リーフ語 (rif)
リヴォニア語 (liv)
リグリア語 (lij)
リトアニア語 (lt)
リンガラ語 (ln)
リングア・フランカ・ノバ (lfn)
リンブルフ語 (li)
ルイセーニョ語 (lui)
ルート (root)
ルーマニア語 (ro)
ルオ語 (luo)
ルクセンブルク語 (lb)
ルシャイ語 (lus)
ルシン語 (rue)
ルバ・カタンガ語 (lu)
ルバ・ルルア語 (lua)
ルヒヤ語 (luy)
ルレ・サーミ語 (smj)
ルワンダ語 (rw)
ルワ語 (rwk)
ルンダ語 (lun)
ルンディ語 (rn)
レズギ語 (lez)
ロヴィアナ語 (rug)
ロシア語 (ru)
ロジバン語 (jbo)
ロジ語 (loz)
ロツマ語 (rtm)
ロマーニー語 (rom)
ロマーニャ語 (rgn)
ロマンシュ語 (rm)
ロンバルド語 (lmo)
ロンボ語 (rof)
ワショ語 (was)
ワユ語 (guc)
ワライ語 (war)
ワロン語 (wa)
ンガムバイ語 (sba)
ンゴンバ語 (jgo)
ンコ語 (nqo)
ンジエムブーン語 (nnh)
ンゼマ語 (nzi)
ンドンガ語 (ng)
英語 (en)
漢文 (lzh)
簡体中国語 (zh_Hans)
韓国語 (ko)
客家語 (hak)
教会スラブ語 (cu)
現代標準アラビア語 (ar_001)
言語的内容なし (zxx)
言語不明 (und)
古ノルド語 (non)
古フランス語 (fro)
古英語 (ang)
古期アイルランド語 (sga)
古期プロバンス語 (pro)
古高ドイツ語 (goh)
古代エジプト語 (egy)
古代ギリシャ語 (grc)
古代ペルシア語 (peo)
古典シリア語 (syc)
古典ネワール語 (nwc)
呉語 (wuu)
広東語 (yue)
山地マリ語 (mrj)
四川イ語 (ii)
湘語 (hsn)
上ソルビア語 (hsb)
西フラマン語 (vls)
西フリジア語 (fy)
中英語 (enm)
中央アトラス・タマジクト語 (tzm)
中央アラスカ・ユピック語 (esu)
中央ドゥスン語 (dtp)
中期アイルランド語 (mga)
中期フランス語 (frm)
中高ドイツ語 (gmh)
中国語 (zh)
中世オランダ語 (dum)
低シレジア語 (sli)
低ソルビア語 (dsb)
低地ドイツ語 (nds)
東フリジア語 (frs)
南アゼルバイジャン語 (azb)
南アルタイ語 (alt)
南サーミ語 (sma)
南ンデベレ語 (nr)
南部ソト語 (st)
日本語 (ja)
繁体中国語 (zh_Hant)
標準ドイツ語(スイス) (de_CH)
複数言語 (mul)
北サーミ語 (se)
北フリジア語 (frr)
北ンデベレ語 (nd)
北部ソト語 (nso)
満州語 (mnc)
贛語 (gan)
閩南語 (nan)
