ადანგმე (ada)
ადიღეური (ady)
ავადი (awa)
ავესტური (ae)
ავსტრალიური ინგლისური (en_AU)
ავსტრიული გერმანული (de_AT)
აზერბაიჯანული (az)
აიმარა (ay)
აინუური (ain)
აკანი (ak)
ალბანური (sq)
ალეუტური (ale)
ამერიკული ინგლისური (en_US)
ამჰარული (am)
ანგიკა (anp)
არაბული (ar)
არაგონული (an)
არავაკი (arw)
არამეული (arc)
არაპაჰო (arp)
ასამური (as)
ასტურიული (ast)
ასუ (asa)
აფარი (aa)
აფრიკაანსი (af)
აფხაზური (ab)
აქადური (akk)
აღემი (agq)
აღმოსავლეთფრიზიული (frs)
აჩეხური (ace)
აჩოლი (ach)
ბალინური (ban)
ბამბარა (bm)
ბამუნი (bax)
ბასა (bas)
ბასკური (eu)
ბაფია (ksf)
ბაშკირული (ba)
ბელორუსული (be)
ბელუჯი (bal)
ბემბა (bem)
ბენა (bez)
ბენგალური (bn)
ბერძნული (el)
ბეჯა (bej)
ბილინი (byn)
ბირმული (my)
ბლისსიმბოლოები (zbl)
ბოდო (brx)
ბოსნიური (bs)
ბოშური (rom)
ბოჯპური (bho)
ბრაზილიური პორტუგალიური (pt_BR)
ბრაჯი (bra)
ბრეტონული (br)
ბრიტანული ინგლისური (en_GB)
ბულგარული (bg)
ბურიატული (bua)
გაგაუზური (gag)
გალისიური (gl)
გამარტივებული ჩინური (zh_Hans)
განდა (lg)
გბაია (gba)
გეეზი (gez)
გერმანული (de)
გოთური (got)
გონდი (gon)
გუარანი (gn)
გუსიი (guz)
გუჯარათი (gu)
დაკოტა (dak)
დანიური (da)
დარგუული (dar)
დასავლეთ გრენლანდიური (kl)
დასავლეთფრიზიული (fy)
დელავარული (del)
დივეჰი (dv)
დინკა (din)
დიოლა (dyo)
დიულა (dyu)
დოგრი (doi)
დოგრიბი (dgr)
დუალა (dua)
ებრაული (he)
ევე (ee)
ევონდო (ewo)
ევროპული ესპანური (es_ES)
ევროპული პორტუგალიური (pt_PT)
ემბუ (ebu)
ერზია (myv)
ესპანური (es)
ესპერანტო (eo)
ესტონური (et)
ეფიკი (efi)
ვაი (vai)
ველაითა (wal)
ვიეტნამური (vi)
ვოლოფური (wo)
ვუნჯო (vun)
ზაზაკი (zza)
ზარმა (dje)
ზემოსორბული (hsb)
ზენაგა (zen)
ზულუ (zu)
თათრული (tt)
თანამედროვე სტანდარტული არაბული (ar_001)
თიგრე (tig)
თიგრინია (ti)
თუი (tw)
თურქმენული (tk)
თურქული (tr)
იავური (jv)
იაკუტური (sah)
იაპონური (ja)
იბანი (iba)
იბიბიო (ibb)
იგბო (ig)
იდიში (yi)
იდო (io)
ინარი-საამური (smn)
ინგლისური (en)
ინგუშური (inh)
ინდონეზიური (id)
ინტერლინგი (ie)
ინტერლინგუალური (ia)
ინუკტიტუტი (iu)
იორუბა (yo)
ირლანდიური (ga)
ისლანდიური (is)
იტალიური (it)
იუდეო-არაბული (jrb)
იუდეო-სპარსული (jpr)
კაბილური (kab)
კაბუვერდიანუ (kea)
კაიუგა (cay)
კალენჯინი (kln)
კამბა (kam)
კანადა (kn)
კანადური ინგლისური (en_CA)
კანადური ფრანგული (fr_CA)
კანტონური (yue)
კანური (kr)
კარელიური (krl)
კატალანური (ca)
კაშუბური (csb)
კაჩინი (kac)
კეჩუა (qu)
კვასიო (nmg)
კიკუიუ (ki)
კიმაშამი (jmc)
კიმბუნდუ (kmb)
კინიარუანდა (rw)
კიჩე (quc)
კლასიკური ნევარული (nwc)
კლასიკური სირიული (syc)
კლინგონი (tlh)
