កន្នដ (kn)
កាតាឡាន (ca)
កាស្មៀរ (ks)
កាហ្សាក់ស្តង់់ (kk)
កូរ៉េ (ko)
កេទជួអា (qu)
ក្រិច (el)
ក្រូអាត (hr)
ខ្មែរ (km)
គៀរហ្គីស្តង់ (ky)
គ្មាន​ទិន្នន័យ​ភាសា (zxx)
ឃសា (xh)
ឃឺដ (ku)
ចិន (zh)
ចិន​អក្សរ​កាត់ (zh_Hans)
ចិន​អក្សរ​ពេញ (zh_Hant)
ឆេក (cs)
ឆេរូគី (chr)
ជប៉ុន (ja)
ជ្វា (jv)
ដាណឺម៉ាក (da)
តាដហ្សីគីស្តង់ (tg)
តាតារ (tt)
តាមីល (ta)
តុងហ្គោ (to)
តេលុគុ (te)
ថៃ (th)
ទីបេ (bo)
ទីរិនយា (ti)
ទួគមេនីស្តង់ (tk)
ទួរគី (tr)
ន័រវែស នីនូស (nn)
ន័រវែស បុកម៉ាល់ (nb)
នេប៉ាល់ (ne)
បង់ក្លាដែស (bn)
បាម្បារា (bm)
បារាំង (fr)
បាស្កេ (eu)
បាស្តូ (ps)
បឹនជាពិ (pa)
ប៊ុលហ្ការី (bg)
បូស្នី (bs)
ប៉ូឡូញ (pl)
បេឡារុស្ស (be)
បែស្កឺ (ba)
ប្រីស្តុន (br)
ផ្លាមីស (nl_BE)
ព័រទុយហ្កាល់ (pt)
ព័រទុយហ្គាល់ ប្រេស៊ីល (pt_BR)
ព័រទុយហ្គាល់ អឺរ៉ុប (pt_PT)
ភាសាចួង (za)
ភាសាន័រវែស (no)
ភាសាប៊ូតាន (dz)
ភាសាម៉ុលដាវី (ro_MD)
ភាសាយីឌីហ្ស (yi)
ភាសាសាមូអា (sm)
ភាសាហ្កែលិគ (gd) (gd)
ភាសាអារ៉ាហ្គោន (an)
ភាសាអាវែស្តង់ (ae)
ភាសាអាហ្វារ (aa)
ភាសាអីម៉ារ៉ា (ay)
ភឺសៀន (fa)
ភូមា (my)
មរាធិ (mr)
មលយាល័ម (ml)
ម៉ារ៉ុក (zgh)
ម៉ាល់តា (mt)
ម៉ាសេដូនី (mk)
ម៉ាឡាហ្គាស៊ី (mg)
ម៉ាឡេស៊ី (ms)
មិន​ស្គាល់​ភាសា (und)
ម៉ុងហ្គោលី (mn)
ម៉ោរី (mi)
យរូបា (yo)
រុស្ស៊ី (ru)
រូន្ឌី (rn)
រ៉ូម៉ង់ (rm)
រូម៉ានី (ro)
លីទុយអានី (lt)
លីនកាឡា (ln)
លុចហ្សំបួរ (lb)
វូឡុហ្វ (wo)
វៀតណាម (vi)
វេល (cy)
​​ស៊ីន្តី (sd)
ស៊ុយអែដ (sv)
សុរ៉ានី (ckb)
ស៊ូដង់ (su)
សូម៉ាលី (so)
សូលូ (zu)
សើប (sr)
សំស្ក្រឹត (sa)
ស្រីលង្កា (si)
ស្លូវ៉ាគី (sk)
ស្លូវ៉ានី (sl)
ស្វាហ៊ីលី (sw)
ហាវៃ (haw)
ហិណ្ឌូ (hi)
ហុងគ្រី (hu)
ហុល្លង់ (nl)
ហូសា (ha)
ហៃទី (ht)
ហ្កុយ៉ារាទី (gu)
ហ្គាលីស្យាន (gl)
ហ្គូរ៉ានី (gn)
ហ្វារូស (fo)
ហ៊្វីជី (fj)
ហ្វីលីពីន (fil)
ហ្វាំងឡង់ (fi)
ហ្វ្រីស៊ានខាងលិច (fy)
ហ្សក​ហ្ស៊ី (ka)
ឡាតវីយ៉ា (lv)
ឡាតំាង (la)
ឡាវ (lo)
អង់គ្លេស (en)
អង់គ្លេស កាណាដា (en_CA)
អង់គ្លេស ចក្រភព​អង់គ្លេស (en_GB)
អង់គ្លេស អាមេរិក (en_US)
អង់គ្លេស អូស្ត្រាលី (en_AU)
អាប់ខាហ៊្សាន (ab)
អាមហារីច (am)
អារមេនី (hy)
អារ៉ាប់ (ar)
អារ៉ាប់​ស្តង់ដារ​ទំនើប (ar_001)
អាល់បានី (sq)
អាល្លឺម៉ង់ (de)
អាល្លឺម៉ង ស្វីស (gsw)
អាល្លឺម៉ង់ ស្វីស (de_CH)
អាល្លឺម៉ង់ អូទ្រីស (de_AT)
អាសាមីស (as)
អាហ្វ្រីកាអាន (af)
អាហ៊្សែរបែហ្សង់ (az)
ឥណ្ឌូណេស៊ី (id)
អ៊ីកបូ (ig)
អ៊ីតាលី (it)
អ៊ីស្រាអែល (he)
អ៊ីស្លង់ (is)
អ៊ុយក្រែន (uk)
អ៊ុយហ្គឺរ (ug)
អ៊ូរឌូ (ur)
អូរីយ៉ា (or)
អ៊ូហ្សបេគីស្តង់ (uz)
អៀរឡង់ (ga)
អេស្តូនី (et)
អេស្ប៉ាញ (es)
