id,value
ab,Abkhazian
ace,Achinese
ach,Acoli
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
af,Afrikaans
agq,Aghem
ain,Ainu
ak,Akan
akk,Akkadian
bss,Akoose
akz,Alabama
sq,Albanian
de,Alemanina
ale,Aleut
arq,"Algerian Arabic"
en_US,"American English"
ase,"American Sign Language"
am,Amharika
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
en,Anglisy
njo,"Ao Naga"
ar,Arabo
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
hy,Armenian
rup,Aromanian
frp,Arpitan
as,Assamese
ast,Asturian
asa,Asu
cch,Atsam
en_AU,"Australian English"
de_AT,"Austrian German"
av,Avaric
ae,Avestan
awa,Awadhi
ay,Aymara
az,Azerbaijani
bfq,Badaga
ksf,Bafia
bfd,Bafut
bqi,Bakhtiari
ban,Balinese
bal,Baluchi
bm,Bambara
bax,Bamun
bjn,Banjar
bas,Basaa
ba,Bashkir
eu,Basque
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bem,Bemba
bez,Bena
bn,Bengali
bew,Betawi
bho,Bhojpuri
be,Bielorosy
bik,Bikol
bin,Bini
bg,Biolgara
my,Birmana
bpy,Bishnupriya
bi,Bislama
byn,Blin
zbl,Blissymbols
brx,Bodo
bs,Bosnian
brh,Brahui
bra,Braj
pt_BR,"Brazilian Portuguese"
br,Breton
en_GB,"British English"
bug,Buginese
bum,Bulu
bua,Buriat
cad,Caddo
frc,"Cajun French"
en_CA,"Canadian English"
fr_CA,"Canadian French"
yue,Cantonese
cps,Capiznon
car,Carib
ca,Catalan
cay,Cayuga
ceb,Cebuano
tzm,"Central Atlas Tamazight"
dtp,"Central Dusun"
ckb,"Central Kurdish"
esu,"Central Yupik"
shu,"Chadian Arabic"
chg,Chagatai
ch,Chamorro
ce,Chechen
chr,Cherokee
chy,Cheyenne
chb,Chibcha
cgg,Chiga
qug,"Chimborazo Highland Quichua"
chn,"Chinook Jargon"
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuukese
cv,Chuvash
nwc,"Classical Newari"
syc,"Classical Syriac"
ksh,Colognian
swb,Comorian
swc,"Congo Swahili"
cop,Coptic
kw,Cornish
co,Corsican
cr,Cree
mus,Creek
crh,"Crimean Turkish"
hr,Croatian
dak,Dakota
da,Danish
dar,Dargwa
dzg,Dazaga
del,Delaware
din,Dinka
dv,Divehi
doi,Dogri
dgr,Dogrib
dua,Duala
dyu,Dyula
dz,Dzongkha
frs,"Eastern Frisian"
efi,Efik
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamite
ebu,Embu
egl,Emilian
myv,Erzya
es,Espaniola
eo,Esperanto
et,Estonian
pt_PT,"European Portuguese"
es_ES,"European Spanish"
ee,Ewe
ewo,Ewondo
ext,Extremaduran
fan,Fang
fat,Fanti
fo,Faroese
hif,"Fiji Hindi"
fj,Fijian
fil,Filipino
fi,Finnish
nl_BE,Flemish
fon,Fon
gur,Frafra
fr,Frantsay
fur,Friulian
ff,Fulah
gaa,Ga
gag,Gagauz
gl,Galician
gan,"Gan Chinese"
