авади (awa)
аварски (av)
авестански (ae)
агемски (agq)
адангме (ada)
адигејски (ady)
азербејџански (az)
ајмарски (ay)
ајну (ain)
акадски (akk)
акански (ak)
аколи (ach)
акосе (bss)
алабамски (akz)
албански (sq)
алеутски (ale)
алжирски арапски (arq)
американски англиски (en_US)
американски знаковен јазик (ase)
амхарски (am)
ангика (anp)
англиски (en)
ао (njo)
апхаски (ab)
аравачки (arw)
арагонски (an)
арамејски (arc)
араона (aro)
арапахо (arp)
арапски (ar)
асамски (as)
астурски (ast)
асу (asa)
афарски (aa)
африканс (af)
африхили (afh)
ацам (cch)
ачешки (ace)
баварски (bar)
бадага (bfq)
балиски (ban)
бамбара (bm)
бамунски (bax)
банџарски (bjn)
баса (bas)
баскиски (eu)
бафија (ksf)
бафут (bfd)
бахтијарски (bqi)
башкирски (ba)
без лингвистичка содржина (zxx)
белоруски (be)
белуџиски (bal)
бемба (bem)
бена (bez)
бенгалски (bn)
бетавски (bew)
беџа (bej)
биколски (bik)
биленски (byn)
бини (bin)
бислама (bi)
бишнуприја (bpy)
блиссимболи (zbl)
бодо (brx)
босански (bs)
боџпури (bho)
брај (bra)
брахујски (brh)
бретонски (br)
британски англиски (en_GB)
бугарски (bg)
бугиски (bug)
булу (bum)
бурјатски (bua)
бурмански (my)
вај (vai)
валонски (wa)
валсер (wae)
варајски (war)
вашо (was)
велшки (cy)
венда (ve)
венетски (vec)
вепшки (vep)
виетнамски (vi)
виру (vro)
влашки (rup)
воламо (wal)
волапик (vo)
волофски (wo)
вотски (vot)
ву (wuu)
вунџо (vun)
га (gaa)
гагауски (gag)
гајо (gay)
галициски (gl)
ган (gan)
ганда (lg)
гбаја (gba)
гварански (gn)
гвахиро (guc)
гвичински (gwi)
германски (de)
гешки албански (aln)
гиз (gez)
гилански (glk)
гилбертански (gil)
гоански конкани (gom)
гомала (bbj)
гонди (gon)
горнолужички (hsb)
горонтало (gor)
готски (got)
гребо (grb)
грузиски (ka)
грчки (el)
гуси (guz)
гуџарати (gu)
дазага (dzg)
дакота (dak)
дански (da)
даргва (dar)
делавер (del)
дивехи (dv)
динка (din)
догри (doi)
догрипски (dgr)
долногермански (nds)
долнолужички (dsb)
долношлезиски (sli)
дуала (dua)
дусунски (dtp)
еве (ee)
евондо (ewo)
еврејскоарапски (jrb)
еврејскоперсиски (jpr)
египетски арапски (arz)
екаџук (eka)
екстремадурски (ext)
еламски (elx)
ембу (ebu)
емилијански (egl)
ерзјански (myv)
ерменски (hy)
есперанто (eo)
естонски (et)
ефик (efi)
заза (zza)
зазаки (kiu)
западномариски (mrj)
западнофламански (vls)
западнофризиски (fy)
запотечки (zap)
зарма (dje)
затерландски фризиски (stq)
зеландски (zea)
зенага (zen)
зогдијански (sog)
зороастриски дари (gbz)
зулу (zu)
зуни (zun)
ѕонгка (dz)
ибан (iba)
ибибио (ibb)
игбо (ig)
идо (io)
ижорски (izh)
илокански (ilo)
инарски лапонски (smn)
ингушки (inh)
индонезиски (id)
интерлингва (ia)
инуктитут (iu)
инупијачки (ik)
ирски (ga)
исландски (is)
источнофризиски (frs)
италијански (it)
јавански (jv)
јакутски (sah)
јамајски креолски (jam)
јао (yao)
јапонски (ja)
јапски (yap)
јемба (ybb)
јенгбен (yav)
јидиш (yi)
јитски (jut)
јола-фоњи (dyo)
јорупски (yo)
јужен ндебеле (nr)
јужноазербејџански (azb)
јужноалтајски (alt)
јужнолапонски (sma)
јужномински (nan)
кабардински (kbd)
кабилски (kab)
кабувердиану (kea)
кави (kaw)
кадо (cad)
казакстански (kk)
каинганшки (kgp)
кајуга (cay)
како (kkj)
калалисут (kl)
каленџин (kln)
калмички (xal)
камба (kam)
канембу (kbl)
каннада (kn)
кантонски (yue)
канури (kr)
капизнон (cps)
каракалпачки (kaa)
карачаевско-балкарски (krc)
карелски (krl)
карипски (car)
каси (kha)
каталонски (ca)
качински (kac)
каџе (kaj)
каџунски француски (frc)
кашмирски (ks)
кашупски (csb)
квазио (nmg)
квањама (kj)
кењанг (ken)
кечуански (qu)
кикују (ki)
кимбунду (kmb)
кинарајски (krj)
кинески (zh)
киргиски (ky)
кичвански (qug)
киче (quc)
класичен неварски (nwc)
класичен сириски (syc)
