id,value
ab,абхаз
en_AU,"австрали англи"
de_AT,"австри герман"
agq,агем
az,азербайжан
ak,акан
sq,албани
en_US,"америкийн англи"
am,амхар
en,англи
ar,араб
hy,армен
as,ассам
asa,асу
af,африк
ne,балба
bm,бамбара
fy,"баруун фризын"
eu,баск
ksf,бафиа
ba,башкир
be,беларусь
bem,бемба
bez,бена
bn,бенгал
my,бирм
brx,бодо
bg,болгар
bs,босни
br,бретон
en_GB,"британийн англи"
vai,вай
wo,волоф
vun,вунжо
vi,вьетнам
gag,гагуз
ht,гаити
gl,галик
lg,ганда
de,герман
nl,голланд
el,грек
gn,гуарани
gu,гужарати
guz,гузы
ka,гүрж
da,дани
dua,дуала
hsb,"дээд сорби"
he,еврей
es_ES,"европын испани"
pt_PT,"европын португал"
yo,ёруба
dyo,жола-фони
dz,жонха
dje,зарма
zu,зулу
ig,игбо
yi,иддиш
smn,"инари сами"
id,индонези
ia,интерлингво
iu,инуктитут
ga,ирланд
is,исланд
es,испани
it,итали
kab,кабиле
kea,кабүвердиану
kl,калалисут
kln,каленжин
kam,камба
km,камбож
en_CA,"канад англи"
fr_CA,"канад франц"
kn,каннада
ca,каталан
ks,кашмир
nmg,квазио
ses,"кёраборо сени"
qu,кечуа
ki,кикуюү
rw,кинярванда
ky,киргиз
quc,киче
khq,"койра чини"
koi,коми-пермяк
swc,"конго свахили"
kok,конкани
kw,корны
co,корсик
ku,күрд
lkt,лакота
lag,ланги
lo,лаос
lv,латви
la,латин
es_419,"латин америкийн испани"
ln,лингала
lt,литва
dsb,ловер-сорби
lu,луба-катанга
luo,луо
luy,луяа
lb,люксембург
smj,"люле сами"
mk,македон
kde,маконде
mgh,макува-мито
mg,малагаси
ms,малай
ml,малайлам
mt,малти
gv,манкс
mi,маори
arn,мапүчи
mr,марати
mas,масай
jmc,мачамэ
es_MX,"мексикийн испани"
mer,меру
mgo,мета
ro_MD,молдав
mn,монгол
mfe,морисен
moh,мохаук
mua,мунданг
naq,нама
jgo,нгомба
nqo,нко
no,норвеги
nb,"норвегийн букмол"
nn,"норвегийн нинорск"
nus,нуер
ie,"нэгдмэл хэл"
nyn,нянколе
or,ория
om,оромо
ru,орос
sma,"өмнөд сами"
pa,панжаб
ps,пашто
fa,перс
pl,польш
pt,португал
pt_BR,"португал (бразил)"
rwk,рва
rm,романш
rof,ромбо
ro,румын
rn,рунди
saq,самбүрү
sg,санго
sbp,сангү
sa,санскрит
sw,свахили
seh,сена
sr,серб
sd,синдхи
si,синхала
sms,"сколт сами"
sk,словак
sl,словен
xog,сога
ko,солонгос
so,сомали
ckb,"сорани күрд"
ar_001,"стандарт араб"
su,сундан
tg,тажик
th,тай
dav,тайта
zgh,тамазит
ta,тамил
twq,тасавак
tt,татар
shi,тачелхит
tw,тви
ti,тигрина
und,"тодорхойгүй хэл"
to,тонга
tzm,"төв атласын тамазайт"
bo,төвд
tr,турк
tk,туркмен
te,тэлүгү
teo,тэсо
uz,узбек
ug,уйгар
uk,украйн
zh_Hant,"уламжлалт хятад"
hu,унгар
ur,урду
cy,уэлс
fo,фарер
fj,фижи
fil,филиппин
fi,финлянд
nl_BE,фламанд
fr,франц
oc,"францын окситан"
haw,хавай
kk,хасаг
ha,хауса
hi,хинди
nd,"хойд ндебеле"
se,"хойд сами"
hr,хорват
xh,хоса
zxx,"хэл зүйн агуулга байхгүй"
zh_Hans,"хялбаршуулсан хятад"
zh,хятад
cs,чех
cgg,чига
chr,чироки
ksb,шамбала
sv,швед
gsw,"швейцари герман"
de_CH,"швейцари дээр герман"
fr_CH,"швейцари франц"
ii,"шичуан еи"
sn,шона
gd,"шотланд келт"
ee,эвэ
ebu,эмбу
eo,эсперанто
et,эстони
jv,ява
ja,япон
ace,Achinese
ach,Acoli
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
ain,Ainu
akk,Akkadian
bss,Akoose
akz,Alabama
ale,Aleut
arq,"Algerian Arabic"
ase,"American Sign Language"
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
njo,"Ao Naga"
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
rup,Aromanian
frp,Arpitan
ast,Asturian
cch,Atsam
av,Avaric
ae,Avestan
awa,Awadhi
ay,Aymara
bfq,Badaga
bfd,Bafut
bqi,Bakhtiari
ban,Balinese
bal,Baluchi
bax,Bamun
bjn,Banjar
bas,Basaa
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bew,Betawi
bho,Bhojpuri
bik,Bikol
bin,Bini
bpy,Bishnupriya
bi,Bislama
byn,Blin
zbl,Blissymbols
brh,Brahui
bra,Braj
bug,Buginese
bum,Bulu
bua,Buriat
cad,Caddo
frc,"Cajun French"
yue,Cantonese
cps,Capiznon
car,Carib
cay,Cayuga
ceb,Cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
chg,Chagatai
ch,Chamorro
ce,Chechen
chy,Cheyenne
chb,Chibcha
qug,"Chimborazo Highland Quichua"
chn,"Chinook Jargon"
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuukese
cv,Chuvash
nwc,"Classical Newari"
syc,"Classical Syriac"
ksh,Colognian
swb,Comorian
cop,Coptic
cr,Cree
mus,Creek
crh,"Crimean Turkish"
dak,Dakota
dar,Dargwa
dzg,Dazaga
del,Delaware
din,Dinka
dv,Divehi
doi,Dogri
dgr,Dogrib
dyu,Dyula
frs,"Eastern Frisian"
efi,Efik
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamite
egl,Emilian
myv,Erzya
ewo,Ewondo
ext,Extremaduran
fan,Fang
fat,Fanti
hif,"Fiji Hindi"
fon,Fon
gur,Frafra
fur,Friulian
ff,Fulah
gaa,Ga
gan,"Gan Chinese"
gay,Gayo
gba,Gbaya
gez,Geez
aln,"Gheg Albanian"
bbj,Ghomala
glk,Gilaki
gil,Gilbertese
gom,"Goan Konkani"
gon,Gondi
gor,Gorontalo
got,Gothic
grb,Grebo
gwi,Gwichʼin
hai,Haida
hak,"Hakka Chinese"
hz,Herero
hil,Hiligaynon
ho,"Hiri Motu"
hit,Hittite
hmn,Hmong
hup,Hupa
iba,Iban
ibb,Ibibio
io,Ido
ilo,Iloko
izh,Ingrian
inh,Ingush
ik,Inupiaq
jam,"Jamaican Creole English"
kaj,Jju
jrb,Judeo-Arabic
jpr,Judeo-Persian
jut,Jutish
kbd,Kabardian
kac,Kachin
kgp,Kaingang
kkj,Kako
xal,Kalmyk
kbl,Kanembu
kr,Kanuri
kaa,Kara-Kalpak
krc,Karachay-Balkar
krl,Karelian
csb,Kashubian
kaw,Kawi
ken,Kenyang
kha,Khasi
kho,Khotanese
khw,Khowar
kmb,Kimbundu
krj,Kinaray-a
kiu,Kirmanjki
tlh,Klingon
bkm,Kom
kv,Komi
kg,Kongo
kfo,Koro
kos,Kosraean
avk,Kotava
kpe,Kpelle
kri,Krio
kj,Kuanyama
kum,Kumyk
kru,Kurukh
kut,Kutenai
lad,Ladino
lah,Lahnda
lam,Lamba
ltg,Latgalian
lzz,Laz
lez,Lezghian
lij,Ligurian
li,Limburgish
lfn,"Lingua Franca Nova"
lzh,"Literary Chinese"
liv,Livonian
jbo,Lojban
lmo,Lombard
nds,"Low German"
sli,"Lower Silesian"
loz,Lozi
lua,Luba-Lulua
lui,Luiseno
lun,Lunda
mde,Maba
mad,Madurese
maf,Mafa
mag,Magahi
vmf,Main-Franconian
mai,Maithili
mak,Makasar
mnc,Manchu
mdr,Mandar
man,Mandingo
mni,Manipuri
chm,Mari
mh,Marshallese
mwr,Marwari
mzn,Mazanderani
byv,Medumba
men,Mende
mwv,Mentawai
mic,Micmac
dum,"Middle Dutch"
enm,"Middle English"
frm,"Middle French"
gmh,"Middle High German"
mga,"Middle Irish"
nan,"Min Nan Chinese"
min,Minangkabau
xmf,Mingrelian
mwl,Mirandese
lus,Mizo
mdf,Moksha
lol,Mongo
ary,"Moroccan Arabic"
mos,Mossi
mul,"Multiple Languages"
ttt,"Muslim Tat"
mye,Myene
na,Nauru
nv,Navajo
ng,Ndonga
nap,Neapolitan
new,Newari
sba,Ngambay
nnh,Ngiemboon
yrl,Nheengatu
nia,Nias
niu,Niuean
nog,Nogai
frr,"Northern Frisian"
nso,"Northern Sotho"
nov,Novial
nym,Nyamwezi
ny,Nyanja
tog,"Nyasa Tonga"
nyo,Nyoro
nzi,Nzima
oj,Ojibwa
ang,"Old English"
fro,"Old French"
goh,"Old High German"
sga,"Old Irish"
non,"Old Norse"
peo,"Old Persian"
pro,"Old Provençal"
osa,Osage
os,Ossetic
ota,"Ottoman Turkish"
pal,Pahlavi
pfl,"Palatine German"
pau,Palauan
pi,Pali
pam,Pampanga
pag,Pangasinan
pap,Papiamento
pdc,"Pennsylvania German"
phn,Phoenician
pcd,Picard
pms,Piedmontese
pdt,Plautdietsch
pon,Pohnpeian
pnt,Pontic
prg,Prussian
raj,Rajasthani
rap,Rapanui
rar,Rarotongan
rif,Riffian
rgn,Romagnol
rom,Romany
root,Root
rtm,Rotuman
rug,Roviana
rue,Rusyn
ssy,Saho
sah,Sakha
sam,"Samaritan Aramaic"
sm,Samoan
sgs,Samogitian
sad,Sandawe
sat,Santali
sc,Sardinian
sas,Sasak
sdc,"Sassarese Sardinian"
stq,"Saterland Frisian"
saz,Saurashtra
sco,Scots
sly,Selayar
sel,Selkup
see,Seneca
sh,Serbo-Croatian
srr,Serer
sei,Seri
shn,Shan
scn,Sicilian
sid,Sidamo
bla,Siksika
szl,Silesian
den,Slave
sog,Sogdien
snk,Soninke
azb,"South Azerbaijani"
nr,"South Ndebele"
alt,"Southern Altai"
st,"Southern Sotho"
srn,"Sranan Tongo"
suk,Sukuma
sux,Sumerian
sus,Susu
ss,Swati
syr,Syriac
tl,Tagalog
ty,Tahitian
tly,Talysh
tmh,Tamashek
trv,Taroko
ter,Tereno
tet,Tetum
tig,Tigre
tem,Timne
tiv,Tiv
tli,Tlingit
tpi,"Tok Pisin"
tkl,Tokelau
fit,"Tornedalen Finnish"
tkr,Tsakhur
tsd,Tsakonian
tsi,Tsimshian
ts,Tsonga
tn,Tswana
tcy,Tulu
tum,Tumbuka
aeb,"Tunisian Arabic"
tru,Turoyo
tvl,Tuvalu
tyv,Tuvinian
kcg,Tyap
udm,Udmurt
uga,Ugaritic
umb,Umbundu
ve,Venda
vec,Venetian
vep,Veps
vo,Volapük
vro,Võro
vot,Votic
wa,Walloon
wae,Walser
war,Waray
wbp,Warlpiri
was,Washo
guc,Wayuu
vls,"West Flemish"
mrj,"Western Mari"
wal,Wolaytta
wuu,"Wu Chinese"
hsn,"Xiang Chinese"
yav,Yangben
yao,Yao
yap,Yapese
ybb,Yemba
zap,Zapotec
zza,Zaza
zea,Zeelandic
zen,Zenaga
za,Zhuang
gbz,"Zoroastrian Dari"
zun,Zuni
