id,value
kac,ကချင်
fr_CA,"ကနေဒါ ပြင်သစ်"
en_CA,"ကနေဒါ အင်္ဂလိပ်"
ca,ကာတာလန်
koi,ကိုမီ-ပါမြက်
ko,ကိုးရီးယား
ks,ကက်ရှ်မီရီ
rw,ကင်ရာဝန်ဒါ
ku,ကဒ်
kn,ကန္နာဒါ
kok,ကွန်ကနီ
kg,ကွန်ဂို
kea,ခဘူဗာဒီအာနူ
kab,ခဘိုင်လ်
km,ခမာ
cr,ခရီး
ky,ခရူဂစ်
hr,ခရိုအေရှန်
kl,ခလာအ်လီဆပ်
kha,ခါစီ
kk,ခါဇါခ်
kln,ခါလိမ်ဂျင်
ki,ခီခူယူ
quc,ခီခ်အီချီ
co,ခိုစီကန်
kw,ခိုနီရှ်
khq,"ခိုရာ ချီအီနီ"
ses,"ခိုရာဘိုရို ဆမ်နီ"
qu,ခက်ချ်ဝါ
kam,ခမ်ဘာ
sms,"ခိုလ် ဆာမိ"
chr,ချာရိုကီ
cgg,ချီဂါ
ce,ချေချင်း
cs,ချက်
swc,"ခွန်ဂို စွာဟီလီ"
el,ဂရိ
gag,ဂါဂါဇ်
gl,ဂါလာစီယံ
gu,ဂူဂျာရသီ
guz,ဂူစီး
gn,ဂူအာရာနီ
lg,ဂန်ဒီ
ja,ဂျပန်
jv,ဂျာဗားနီးစ်
de,ဂျာမန်
jpr,ဂျူဒီယို-ပါရှန်
jrb,ဂျူဒီယို-အာရေဗျ
ka,ဂျော်ဂျီယန်
dyo,ဂျိုလာ-ဖွန်ရီ
jgo,ဂွမ်ဘာ
sco,စကော့
es,စပိန်
es_ES,စပိန်(ဥရောပ)
sl,စလိုဗေးနီးယမ်း
sk,စလိုဗက်
ii,"စီချွမ် ရီ"
seh,စီနာ
sd,စင်ဒီ
sr,ဆားဗီးယန်း
su,ဆူဒန်
xog,ဆိုဂါ
so,ဆိုမာလီ
ckb,"ဆိုရာနီ ကူဒစ်ရှ်"
si,ဆင်ဟာလ
sbp,ဆန်ဂု
saq,ဆန်ဘူရု
sg,ဆမ်ဂို
sw,ဆြာဟီလီ
sv,ဆွီဒင်
gsw,"ဆွစ် ဂျာမန်"
fr_CH,"ဆွစ် ပြင်သစ်"
de_CH,"ဆွစ် အမြင့် ဂျာမန်"
dje,ဇာမာ
zu,ဇူလူ
xh,ဇိုစာ
tt,တတာ
ta,တမီးလ်
zh,တရုတ်
tr,တာကစ်
shi,တာချယ်လ်ဟစ်
tg,တာဂွီခ်
twq,တာဆာဝါခ်
bo,တိဘက်
teo,တီဆို
te,တီလီဂု
ti,တီဂ်ရင်ရာ
tk,တခ္မင်
se,တောင်ဆာမိ
nd,တောင်ဒီဘီလီ
sma,"တောင်ပိုင်း ဆာမိ"
dav,တိုင်တာ
to,တွန်ဂါ
th,ထိုင်း
dak,ဒါကိုတာ
del,ဒီလာဝဲ
dua,ဒူအလာ
nl,ဒတ်ချ်
da,ဒိန်းမတ်
dz,ဒွန်ကာ
nqo,နကို
naq,နာမာ
ne,နီပါလီ
nus,နူအာ
no,နော်ဝေး
nn,"နော်ဝေး နီးနော်စ်ခ်"
fa,ပါရှန်
peo,"ပါရှန် အဟောင်း"
ps,ပါရှ်တို
pi,ပါဠိ
pt,ပေါ်တူဂီ
pl,ပိုလန်
pa,ပန်ချာပီ
fr,ပြင်သစ်
fro,ပြင်သစ်ဟောင်း
nl_BE,ဖလီမစ်ရှ်
fo,ဖာရိုအိစ်
fil,ဖိလစ်ပီနို
fj,ဖီဂျီ
fi,ဖင်နစ်ရှ်
my,ဗမာ
vi,ဗီယက်နမ်
brx,ဗိုဒို
vai,ဗိုင်
vun,ဗန်ဂျို
en_GB,"ဗြိတိသျှ အင်္ဂလိပ်"
pt_BR,"ဘရာဇီး ပေါ်တူဂီ"
br,ဘရီတွန်
bas,ဘာဆာ
ksf,ဘာဖီအာ
ban,ဘာလီ
zxx,"ဘာသာစကား နှင့် ပတ်သက် သောအရာမရှိ"
bez,ဘီနာ
be,ဘီလာရု
bg,ဘူဂေးရီးယား
bs,ဘော့စ်နီးယား
ba,ဘက်ရှ်ကီအာ
bn,ဘင်္ဂါလီ
eu,ဘစ်က္ကီ
bm,ဘန်ဘာရာ
bem,ဘိန်ဘာ
nb,ဘွတ်မော်လ်
jmc,မချာမီ
ms,မလေး
ml,မလေးရာလမ်
und,"မသိ သို့မဟုတ် မရှိ သော ဘာသာစကား"
mgh,မာခူဝါ-မီအီတို
kde,မာခွန်ဒီ
mk,မာစီဒိုနီယံ
mas,မာဆိုင်
arn,မာပုချီ
mr,မာရသီ
mgo,မီတာ
mer,မီရု
root,မူလရင်းမြစ်
zgh,"မိုရိုကန် တွမ်မဇိုတ် စံ"
mfe,မိုရှီစ်ယန်း
moh,မိုဟော့ခ်
mi,"မောင်းရီ (နယူးဇီလန်ကျွန်းရှိ ပင်ရင်းတိုင်းရင်းသားလူမျိုး)"
mnc,မန်ချူး
mua,မန်ဒန်း
gv,မန်းဇ်
mt,မောလ္တီစ်
frr,"မြောက်ပိုင်း ဖရီစီရန်"
mn,မွန်ဂိုလီးယန်း
uk,ယူကရိန်း
nyn,ယန်ကိုလီ
ru,ရုရှ
rm,ရောမ
ro,ရိုမေနီယား
yo,ရိုရုဘာ
zh_Hans,"ရိုးရှင်းသော တရုတ်"
rn,ရွန်ဒီ
rof,ရွမ်ဘို
sn,ရှိနာ
zh_Hant,"ရှေးရိုးစဉ်လာ တရုတ်"
grc,"ရှေးဟောင်း ဂရိ"
egy,"ရှေးဟောင်း အီဂျစ်"
ksb,ရှန်ဘာလာ
shn,ရှမ်း
lkt,လာကိုတာ
lo,လာအို
lb,လူဇင်ဘတ်က်
lu,လူဘာ-ခါတန်ဂါ
luy,လူရီအာ
smj,"လူလီ ဆာမိ"
luo,လူအို
la,လက်တင်
es_419,"လက်တင်အမေရိက စပိန်"
lv,လက္ဘီအံ
ln,လင်ဂါလာ
lt,လစ္သူအာနီယံ
lag,လန်ဂီ
rwk,ဝါ
nmg,ဝါဆီအို
ee,ဝီ
ug,ဝီဂါ
wo,ဝူလိုဖ်
cy,ဝေလ
sa,သင်္သကရိုက်
haw,ဟာဝေယံ
ht,ဟာအီတီအန်
ha,ဟာဥစာ
he,ဟီးဘရူး
hu,ဟန်ဂေရီ
hi,ဟိန္ဒီ
mul,"အကြိမ်များစွာ ဘာသာစကားများ"
fy,"အနောက်ပိုင်း ဖရီစီရန်"
nds,"အနိမ့် ဂျာမန်"
