id,value
ab,Abkhazian
ach,Acoli
ada,Adangme
ady,Adyghe
sq,"Afaan Albaniyaa"
ga,"Afaan Ayirishii"
az,"Afaan Azerbaijani"
bn,"Afaan Baangladeshi"
eu,"Afaan Baskuu"
be,"Afaan Belarusia"
bs,"Afaan Bosniyaa"
bg,"Afaan Bulgariya"
hr,"Afaan Croatian"
cs,"Afaan Czech"
nl,"Afaan Dachii"
da,"Afaan Deenmaark"
eo,"Afaan Esperantoo"
fr,"Afaan Faransaayii"
fo,"Afaan Faroese"
fi,"Afaan Fiilaandi"
fil,"Afaan Filippinii"
fy,"Afaan Firisiyaani"
gl,"Afaan Galishii"
ka,"Afaan Georgian"
el,"Afaan Giriiki"
gn,"Afaan Guarani"
gu,"Afaan Gujarati"
hu,"Afaan Hangaari"
he,"Afaan Hebrew"
hi,"Afaan Hindii"
id,"Afaan Indoneziya"
sl,"Afaan Islovaniyaa"
es,"Afaan Ispeen"
et,"Afaan Istooniya"
ja,"Afaan Japanii"
de,"Afaan Jarmanii"
jv,"Afaan Java"
kn,"Afaan Kannada"
ca,"Afaan Katalaa"
tlh,"Afaan Kilingon"
ko,"Afaan Korea"
la,"Afaan Laatini"
lv,"Afaan Lativiyaa"
lt,"Afaan Liituniyaa"
mk,"Afaan Macedooniyaa"
mt,"Afaan Maltesii"
mr,"Afaan Maratii"
ne,"Afaan Nepalii"
nn,"Afaan Norwegian"
no,"Afaan Norweyii"
oc,"Afaan Occit"
fa,"Afaan Persia"
pl,"Afaan Polandii"
pt_BR,"Afaan Portugali (Braazil)"
pt,"Afaan Porchugaal"
pt_PT,"Afaan Protuguese"
pa,"Afaan Punjabii"
ro,"Afaan Romaniyaa"
ru,"Afaan Rushiyaa"
sr,"Afaan Serbiya"
am,"Afaan Sidaamaa"
si,"Afaan Sinhalese"
sk,"Afaan Slovak"
su,"Afaan Sudaanii"
sv,"Afaan Suwidiin"
ta,"Afaan Tamilii"
th,"Afaan Tayii"
te,"Afaan Telugu"
ti,"Afaan Tigiree"
tr,"Afaan Turkii"
uk,"Afaan Ukreenii"
ur,"Afaan Urdu"
uz,"Afaan Uzbek"
vi,"Afaan Veetinam"
it,"Afaan Xaaliyaani"
xh,"Afaan Xhosa"
zu,"Afaan Zuulu"
aa,Afar
afh,Afrihili
af,Afrikoota
agq,Aghem
ain,Ainu
ak,Akan
akk,Akkadian
bss,Akoose
akz,Alabama
ale,Aleut
arq,"Algerian Arabic"
en_US,"American English"
ase,"American Sign Language"
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
njo,"Ao Naga"
ar,Arabiffaa
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
hy,Armenian
rup,Aromanian
frp,Arpitan
as,Assamese
ast,Asturian
asa,Asu
cch,Atsam
en_AU,"Australian English"
de_AT,"Austrian German"
av,Avaric
ae,Avestan
awa,Awadhi
is,Ayiislandiffaa
ay,Aymara
ace,Achinese
bfq,Badaga
ksf,Bafia
bfd,Bafut
ban,Balinese
bal,Baluchi
bm,Bambara
bax,Bamun
bjn,Banjar
bas,Basaa
bbc,"Batak Toba"
bar,Bavarian
