id,value
anp,ଅଁଗୀକା
ak,ଅକନ୍
und,"ଅଜଣା ଏବଂ ଅବୈଧ ଭାଷା"
ady,ଅଦ୍ୟଘେ
aa,ଅଫାର୍
ae,ଅବେସ୍ତନ
de_AT,"ଅଷ୍ଟ୍ରିଆନ୍ ଜର୍ମାନ"
en_AU,"ଅଷ୍ଟ୍ରେଲିଆନ୍ ଇଁରାଜୀ"
ain,ଆଇନୁ
is,ଆଇସଲାଣ୍ଡିକ୍
akk,ଆକାଡିଆନ୍
ach,ଆକୋଲି
ace,ଆଚାଇନୀଜ୍
az,ଆଜେରବାଇଜାନି
cch,ଆତ୍ସମ୍
ada,ଆଦାଙ୍ଗେମ୍
af,ଆଫ୍ରିକାନସ୍
afh,ଆଫ୍ରିହିଲି
ab,ଆବ୍ଖାଜିଆନ୍
av,ଆଭାରିକ୍
am,ଆମହାରକି
ay,ଆୟମାରା
ar,ଆରବିକ୍
arw,ଆରୱକ
arn,ଆରାଉକାନିଆନ୍
arp,ଆରାପାହୋ
arc,ଆରାମାଇକ୍
rup,ଆରୋମାନିଆନ୍
an,ଆର୍ଗୋନୀ
hy,ଆର୍ମେନିଆନ୍
sq,ଆଲବାନିଆନ୍
ale,ଆଲେଇଟୁ
awa,ଆୱାଧି
ast,ଆଷ୍ଟୁରିଆନ୍
as,ଆସାମୀ
inh,ଇଁଙ୍ଗୁଶ୍
en,ଇଂରାଜୀ
ig,ଇଗ୍ବୋ
it,ଇଟାଲିଆନ୍
io,ଇଡୋ
id,ଇଣ୍ଡୋନେସିଆନ୍
iu,ଇନକୀଟୁତ୍
smn,"ଇନାରୀ ସାମି"
ik,ଇନୁପିୟାକ୍
iba,ଇବାନ୍
ga,ଇରିସ୍
ie,ଇର୍ଣ୍ଟରଲିଙ୍ଗୁଇ
ia,ଇର୍ଣ୍ଟଲିଙ୍ଗୁଆ
ilo,ଇଲୋକୋ
ee,ଇୱେ
ewo,ଇୱୋଣ୍ଡୋ
uz,ଉଜବେକ୍
nd,"ଉତ୍ତର ନେଡବେଲେ"
frr,"ଉତ୍ତର ଫ୍ରିସିୟାନ୍"
se,"ଉତ୍ତର ସାମି"
nso,"ଉତ୍ତରୀ ସୋଥୋ"
udm,ଉଦମୂର୍ତ୍ତ
hsb,"ଉପର ସର୍ବିଆନ୍"
umb,ଉମ୍ବୁଣ୍ଡୁ
ur,ଉର୍ଦ୍ଦୁ
eka,ଏକାଜୁକ୍
nqo,ଏନ୍କୋ
efi,ଏଫିକ୍
myv,ଏର୍ଜୟା
elx,ଏଲାମାଇଟ୍
et,ଏସ୍ତୋନିଆନ୍
eo,ଏସ୍ପାରେଣ୍ଟୋ
oj,ଓଜିୱା
ota,"ଓଟ୍ଟୋମନ୍ ତୁର୍କିସ୍"
or,ଓଡ଼ିଆ
om,ଓରୋମୋ
oc,ଓସିଟାନ୍
os,ଓସେଟିକ୍
kg,କଙ୍ଗୋ
kac,କଚିନ୍
kr,କନୁରୀ
kn,କନ୍ନଡ
cop,କପ୍ଟିକ୍
