id,value
ab,Abkhazian
ace,Achinese
ach,Acoli
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
af,"Afrikaans Simi"
agq,Aghem
ain,Ainu
ak,Akan
akk,Akkadian
bss,Akoose
akz,Alabama
sq,"Albanes Simi"
de,"Aleman Simi"
ale,Aleut
arq,"Algerian Arabic"
gsw,"Alsaciano Simi"
hsb,"Alto Sorbio Simi"
am,"Amarico Simi"
en_US,"American English"
ase,"American Sign Language"
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
njo,"Ao Naga"
ar,"Arabe Simi"
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
hy,"Armenio Simi"
rup,Aromanian
frp,Arpitan
as,"Asames Simi"
ast,Asturian
asa,Asu
cch,Atsam
en_AU,"Australian English"
de_AT,"Austrian German"
av,Avaric
ae,Avestan
awa,Awadhi
ay,Aymara
az,"Azerbaiyano Simi"
bfq,Badaga
ksf,Bafia
bfd,Bafut
dsb,"Bajo Sorbio Simi"
bqi,Bakhtiari
ban,Balinese
bal,Baluchi
bm,Bambara
bax,Bamun
bn,"Bangla Simi"
bjn,Banjar
bas,Basaa
ba,"Baskir Simi"
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bem,Bemba
bez,Bena
bew,Betawi
bho,Bhojpuri
be,"Bielorruso Simi"
bik,Bikol
bin,Bini
bpy,Bishnupriya
bi,Bislama
byn,Blin
zbl,Blissymbols
brx,Bodo
bs,"Bosnio Simi"
brh,Brahui
bra,Braj
pt_BR,"Brazilian Portuguese"
br,"Breton Simi"
en_GB,"British English"
bug,Buginese
bg,"Bulgaro Simi"
bum,Bulu
bua,Buriat
my,Burmese
cad,Caddo
frc,"Cajun French"
en_CA,"Canadian English"
fr_CA,"Canadian French"
yue,Cantonese
cps,Capiznon
car,Carib
ca,"Catalan Simi"
cay,Cayuga
ceb,Cebuano
tzm,"Central Atlas Tamazight"
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
chg,Chagatai
ch,Chamorro
ckb,"Chawpi Kurdo Simi"
ce,Chechen
cs,"Checo Simi"
chr,"Cheroqui Simi"
chy,Cheyenne
chb,Chibcha
cgg,Chiga
qug,"Chimborazo Highland Quichua"
se,"Chincha Sami Simi"
zh,"Chino Simi"
chn,"Chinook Jargon"
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuukese
cv,Chuvash
si,"Cingales Simi"
nwc,"Classical Newari"
syc,"Classical Syriac"
ksh,Colognian
swb,Comorian
swc,"Congo Swahili"
cop,Coptic
ko,"Coreano Simi"
kw,Cornish
co,"Corso Simi"
cr,Cree
mus,Creek
crh,"Crimean Turkish"
hr,"Croata Simi"
dak,Dakota
da,"Danes Simi"
dar,Dargwa
dzg,Dazaga
del,Delaware
din,Dinka
dv,"Divehi Simi"
doi,Dogri
dgr,Dogrib
dua,Duala
dyu,Dyula
dz,Dzongkha
frs,"Eastern Frisian"
efi,Efik
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamite
ebu,Embu
egl,Emilian
myv,Erzya
sk,"Eslovaco Simi"
