id,value
ab,abhază
ace,aceh
ach,acoli
ada,adangme
ady,adyghe
aa,afar
afh,afrihili
af,afrikaans
agq,aghem
ain,ainu
ak,akan
akk,akkadiană
bss,akoose
akz,Alabama
sq,albaneză
ale,aleută
arq,"Algerian Arabic"
alt,"altaică meridională"
ase,"American Sign Language"
am,amharică
anp,angika
njo,"Ao Naga"
ar,arabă
shu,"arabă ciadiană"
ar_001,"arabă standard modernă"
an,aragoneză
arc,aramaică
sam,"aramaică samariteană"
aro,Araona
arp,arapaho
arn,araucaniană
arw,arawak
hy,armeană
rup,aromână
frp,Arpitan
as,asameză
ast,asturiană
asa,asu
cch,atsam
av,avară
ae,avestană
awa,awadhi
ay,aymara
az,azeră
bfq,Badaga
ksf,bafia
bfd,bafut
bqi,Bakhtiari
ban,balineză
bal,baluchi
bm,bambara
bax,bamun
bjn,Banjar
bas,basaa
eu,bască
ba,bașkiră
bbc,"Batak Toba"
bar,Bavarian
bej,beja
bem,bemba
bez,bena
bn,bengaleză
bew,Betawi
bho,bhojpuri
be,bielorusă
bik,bikol
bin,bini
my,birmaneză
bpy,Bishnupriya
bi,bislama
byn,blin
brx,bodo
bs,bosniacă
brh,Brahui
bra,braj
br,bretonă
bug,bugineză
bg,bulgară
bum,bulu
bua,buriat
cad,caddo
frc,"Cajun French"
xal,calmucă
yue,cantoneză
cps,Capiznon
car,carib
ks,cașmiră
csb,cașubiană
ca,catalană
cay,cayuga
ceb,cebuano
ce,cecenă
cs,cehă
dtp,"Central Dusun"
esu,"Central Yupik"
chg,chagatai
ch,chamorro
chr,cherokee
chy,cheyenne
chb,chibcha
cgg,chiga
qug,"Chimborazo Highland Quichua"
zh,chineză
zh_Hans,"chineză simplificată"
zh_Hant,"chineză tradițională"
chp,chipewyan
cho,choctaw
chk,chuukese
cv,ciuvașă
swb,comoreză
kg,congoleză
cop,coptă
ko,coreeană
kw,cornică
co,corsicană
cr,cree
mus,creek
hr,croată
dak,dakota
da,daneză
dar,dargwa
dzg,dazaga
del,delaware
din,dinka
dv,divehi
doi,dogri
dgr,dogrib
dua,duala
dyu,dyula
dz,dzongkha
he,ebraică
efi,efik
egy,"egipteană veche"
arz,"Egyptian Arabic"
eka,ekajuk
elx,elamită
ebu,embu
egl,Emilian
en,engleză
en_US,"engleză americană"
en_AU,"engleză australiană"
en_GB,"engleză britanică"
en_CA,"engleză canadiană"
enm,"engleză mijlocie"
ang,"engleză veche"
myv,erzya
eo,esperanto
et,estoniană
ee,ewe
ewo,ewondo
ext,Extremaduran
fan,fang
fat,fanti
zxx,"fară conținut lingvistic"
fo,faroeză
phn,feniciană
hif,"Fiji Hindi"
fj,fijiană
fil,filipineză
fi,finlandeză
nl_BE,flamandă
fon,fon
gur,Frafra
fr,franceză
fr_CA,"franceză canadiană"
fr_CH,"franceză elvețiană"
frm,"franceză mijlocie"
fro,"franceză veche"
fur,friulană
frr,"frizonă nordică"
fy,"frizonă occidentală"
frs,"frizonă orientală"
ff,fulah
gaa,ga
gd,"gaelică scoțiană"
cy,galeză
gl,galiciană
gan,"Gan Chinese"
lg,ganda
gay,gayo
gag,găgăuză
gba,gbaya
gez,geez
ka,georgiană
nds,"germana de jos"
de,germană
de_AT,"germană austriacă"
gsw,"germană elvețiană"
gmh,"germană mijlocie înaltă"
de_CH,"germană standard elvețiană"
goh,"germană veche înaltă"
aln,"Gheg Albanian"
bbj,ghomala
glk,Gilaki
gil,gilbertină
gom,"Goan Konkani"
gon,gondi
gor,gorontalo
got,gotică
el,greacă
grc,"greacă veche"
grb,grebo
gn,guarani
gu,gujarati
guz,gusii
gwi,gwichʼin
hai,haida
ht,haitiană
hak,"Hakka Chinese"
ha,hausa
haw,hawaiiană
hz,herero
hil,hiligaynon
hi,hindi
ho,"hiri motu"
hit,hitită
hmn,hmong
hup,hupa
iba,iban
ibb,ibibio
yi,idiș
io,ido
ig,igbo
ilo,iloko
smn,"inari sami"
id,indoneziană
izh,Ingrian
inh,ingușă
ia,interlingua
ie,interlingue
iu,inuktitut
ik,inupiak
ga,irlandeză
mga,"irlandeză mijlocie"
sga,"irlandeză veche"
is,islandeză
it,italiană
jrb,iudeo-arabă
jpr,iudeo-persană
jam,"Jamaican Creole English"
ja,japoneză
chn,"jargon chinook"
jv,javaneză
kaj,jju
dyo,jola-fonyi
jut,Jutish
kbd,kabardian
kea,kabuverdianu
kab,kabyle
kac,kachin
kgp,Kaingang
kkj,kako
kl,kalaallisut
kln,kalenjin
kam,kamba
kbl,kanembu
kn,kannada
kr,kanuri
krc,karaceai-balkar
kaa,karakalpak
krl,kareliană
kaw,kawi
kk,kazahă
ky,kârgâză
ken,Kenyang
kha,khasi
km,khmeră
khw,Khowar
ki,kikuyu
kmb,kimbundu
krj,Kinaray-a
