абхазский (ab)
авадхи (awa)
аварский (av)
авестийский (ae)
австралийский английский (en_AU)
австрийский немецкий (de_AT)
агхем (agq)
адангме (ada)
адыгейский (ady)
азербайджанский (az)
аймара (ay)
айну (ain)
акан (ak)
аккадский (akk)
акоосе (bss)
албанский (sq)
алеутский (ale)
американский английский (en_US)
амхарский (am)
ангика (anp)
английский (en)
арабский (ar)
арабский литературный (ar_001)
аравакский (arw)
арагонский (an)
арамейский (arc)
арапахо (arp)
арауканский (arn)
армянский (hy)
арумынский (rup)
аса (asa)
ассамский (as)
астурийский (ast)
атсам (cch)
афар (aa)
африкаанс (af)
африхили (afh)
ачехский (ace)
ачоли (ach)
балийский (ban)
бамбарийский (bm)
бамум (bax)
баса (bas)
баскский (eu)
бафия (ksf)
бафут (bfd)
башкирский (ba)
беджа (bej)
без языкового содержания (zxx)
белорусский (be)
белуджский (bal)
бемба (bem)
бена (bez)
бенгальский (bn)
бикольский (bik)
билин (блин) (byn)
бини (bin)
бирманский (my)
бислама (bi)
блиссимволика (zbl)
бодо (brx)
болгарский (bg)
боснийский (bs)
бразильский португальский (pt_BR)
брауи (bra)
бретонский (br)
британский английский (en_GB)
бугийский (bug)
булу (bum)
бурятский (bua)
бходжпури (bho)
ваи (vai)
валисский (wae)
валлийский (cy)
валлонский (wa)
варай (war)
вашо (was)
венгерский (hu)
венда (ve)
верхнелужицкий (hsb)
водский (vot)
воламо (wal)
волапюк (vo)
волоф (wo)
восточный фризский (frs)
вунджо (vun)
вьетнамский (vi)
га (gaa)
гавайский (haw)
гагаузский (gag)
гаитянский (ht)
гайо (gay)
галисийский (gl)
ганда (lg)
гбая (gba)
гвичин (gwi)
гереро (hz)
геэз (gez)
гильбертский (gil)
голландский (nl)
гонди (gon)
горонтало (gor)
готский (got)
гребо (grb)
гренландский (kl)
греческий (el)
грузинский (ka)
гуарани (gn)
гуджарати (gu)
гусии (guz)
гхомала (bbj)
гэльский (gd)
дазагский (dzg)
дакота (dak)
даргва (dar)
датский (da)
делаварский (del)
дзонг-кэ (dz)
динка (din)
диула (дьюла) (dyu)
догри (doi)
догриб (dgr)
древневерхненемецкий (goh)
древнегреческий (grc)
древнеегипетский (egy)
дуала (dua)
дьола-фоньи (dyo)
еврейско-арабский (jrb)
еврейско-персидский (jpr)
европейский испанский (es_ES)
европейский португальский (pt_PT)
заза (zza)
западно-фризский (fy)
зарма (dje)
зенагский (zen)
зулу (zu)
зуньи (zun)
ибанский (iba)
ибибио (ibb)
иврит (he)
игбо (ig)
идиш (yi)
идо (io)
илоко (ilo)
инари-саамский (smn)
ингушский (inh)
индонезийский (id)
интерлингва (ia)
интерлингве (ie)
инуктитут (iu)
инупиак (ik)
ирландский (ga)
исландский (is)
испанский (es)
итальянский (it)
йемба (ybb)
йоруба (yo)
кабардинский (kbd)
кабильский (kab)
кабувердьяну (kea)
кави (kaw)
каддо (cad)
каджи (kaj)
казахский (kk)
кайюга (cay)
како (kkj)
календжин (kln)
калмыцкий (xal)
камба (kam)
канадский английский (en_CA)
канадский французский (fr_CA)
канембу (kbl)
каннада (kn)
кантонский (yue)
канури (kr)
каракалпакский (kaa)
карачаево-балкарский (krc)
карельский (krl)
кариб (car)
каталанский (ca)
качинский (kac)
кашмири (ks)
кашубианский (csb)
квасио (nmg)
кебуано (ceb)
кёльш (ksh)
кечуа (qu)
кикуйю (ki)
кимбундийский (kmb)
киньяруанда (rw)
киргизский (ky)
китайский (zh)
киче (quc)
классический сирийский (syc)
клингонский (tlh)
койра чиини (khq)
койраборо сенни (ses)
ком (bkm)
коми (kv)
коми-пермяцкий (koi)
коморский (swb)
конго (kg)
конголезский суахили (swc)
конкани (kok)
коптский (cop)
корейский (ko)
корневой язык (root)
корнийский (kw)
коро (kfo)
корсиканский (co)
коса (xh)
косраенский (kos)
кпелле (kpe)
криийский (cr)
крик (mus)
крымско-татарский (crh)
кумыкский (kum)
кунама (kj)
курдский (ku)
курух (kru)
кутенаи (kut)
кхаси (kha)
кхмерский (km)
ладино (lad)
лакота (lkt)
ламба (lam)
ланги (lag)
лаосский (lo)
латиноамериканский испанский (es_419)
латинский (la)
латышский (lv)
лахнда (lah)
лезгинский (lez)
лимбургский (li)
лингала (ln)
литовский (lt)
ложбан (jbo)
лози (loz)
луба-катанга (lu)
луба-лулуа (lua)
луисеньо (lui)
луле-саамский (smj)
лунда (lun)
луо (Кения и Танзания) (luo)
лухья (luy)
лушай (lus)
люксембургский (lb)
мабанский (mde)
маврикийский креольский (mfe)
магахи (mag)
мадурский (mad)
майтхили (mai)
макассарский (mak)
македонский (mk)
маконде (kde)
макуа-меетто (mgh)
малагасийский (mg)
малайский (ms)
малаялам (ml)
мальдивский (dv)
мальтийский (mt)
мандарский (mdr)
мандинго (man)
манипурский (mni)
маньчжурский (mnc)
маори (mi)
маратхи (mr)
марвари (mwr)
марийский (черемисский) (chm)
маршалльский (mh)
масаи (mas)
мафа (maf)
мачаме (jmc)
медумба (byv)
менде (men)
меру (mer)
мета (mgo)
миене (mye)
микмак (mic)
минангкабау (min)
мирандийский (mwl)
мокшанский (mdf)
молдавский (ro_MD)
монго (lol)
монгольский (mn)
моси (mos)
мохаук (moh)
мунданг (mua)
мэнский (gv)
навахо (nv)
нама (naq)
науру (na)
нгамбайский (sba)
нгиембунд (nnh)
нгомба (jgo)
ндебели южный (nr)
ндонга (ng)
неаполитанский (nap)
невари (классический) (nwc)
неварский (new)
неизвестный язык (und)
немецкий (de)
непальский (ne)
несколько языков (mul)
нзима (nzi)
ниас (nia)
нижнегерманский (nds)
нижнелужицкий (dsb)
ниуэ (niu)
нко (nqo)
ногайский (nog)
норвежский (no)
норвежский букмол (nb)
норвежский нюнорск (nn)
нуэр (nus)
ньоро (nyo)
ньямвези (nym)
ньянджа (ny)
