id,value
ab,abhaščina
ace,ačejščina
ach,ačolijščina
ada,adangmejščina
ady,adigejščina
aa,afarščina
afh,afrihili
af,afrikanščina
agq,aghemščina
ain,ainujščina
ay,ajmarščina
akk,akadščina
ak,akanščina
bss,Akoose
akz,Alabama
sq,albanščina
ale,aleutščina
arq,"Algerian Arabic"
ase,"American Sign Language"
am,amharščina
oj,anašinabščina
anp,angikaščina
en,angleščina
en_GB,"angleščina (VB)"
en_US,"angleščina (ZDA)"
njo,"Ao Naga"
ar,arabščina
an,aragonščina
arc,aramejščina
aro,Araona
arp,arapaščina
arw,aravaščina
arn,aravkanščina
hy,armenščina
rup,aromunščina
frp,Arpitan
as,asamščina
ast,asturijščina
asa,asujščina
cch,Atsam
awa,avadščina
av,avarščina
ae,avestijščina
en_AU,"avstralska angleščina"
de_AT,"avstrijska nemščina"
az,azerbajdžanščina
bfq,Badaga
ksf,bafia
bfd,Bafut
bqi,Bakhtiari
ban,balijščina
bm,bambarščina
bax,Bamun
bjn,Banjar
bas,basa
eu,baskovščina
ba,baškirščina
bbc,"Batak Toba"
bar,Bavarian
bej,bedža
be,beloruščina
bal,beludžijščina
bem,bemba
bez,benajščina
bn,bengalščina
bew,Betawi
bik,"bikolski jezik"
bpy,Bishnupriya
bi,bislamščina
byn,blinščina
brx,bodojščina
bho,bodžpuri
bg,bolgarščina
bs,bosanščina
bra,bradžbakanščina
brh,Brahui
pt_BR,"brazilska portugalščina"
br,bretonščina
zxx,"brez jezikoslovne vsebine"
bug,buginščina
bum,Bulu
bua,burjatščina
my,burmanščina
frc,"Cajun French"
cps,Capiznon
cay,Cayuga
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
qug,"Chimborazo Highland Quichua"
ksh,Colognian
mus,Creek
tn,cvanščina
chg,čagatajščina
ch,čamorščina
ce,čečenščina
chy,čejenščina
chr,čerokeščina
cs,češčina
chb,čibčevščina
cgg,čigajščina
chn,"činuški žargon"
chp,čipevščina
cho,čoktavščina
cv,čuvaščina
dak,dakotščina
da,danščina
dar,darginščina
dzg,Dazaga
del,delavarščina
din,dinka
dyu,diula
dv,diveščina
doi,dogri
dgr,dogrib
dsb,"dolnja lužiška srbščina"
dua,duala
dz,dzonka
bin,edo
efi,efiščina
arz,"Egyptian Arabic"
eka,ekajuk
elx,elamščina
ebu,embujščina
egl,Emilian
myv,erzjanščina
eo,esperanto
et,estonščina
gez,etiopščina
ee,evenščina
ewo,evondovščina
ext,Extremaduran
fan,fangijščina
fat,fantijščina
phn,feničanščina
fo,ferščina
fj,fidžijščina
hif,"Fiji Hindi"
fil,filipinščina
fi,finščina
nl_BE,flamščina
fon,fonščina
