id,value
ab,abkazisht
ace,Achinese
ach,Acoli
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
af,afrikanisht
agq,agemisht
ain,Ainu
ak,akanisht
akk,Akkadian
bss,Akoose
akz,Alabama
ale,Aleut
arq,"Algerian Arabic"
am,amarike
ase,"American Sign Language"
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
en,anglisht
en_US,"anglishte amerikane"
en_AU,"anglishte australiane"
en_GB,"anglishte britanike"
en_CA,"anglishte kanadeze"
njo,"Ao Naga"
ar,arabisht
ar_001,"arabishte standarde moderne"
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
hy,armenisht
rup,Aromanian
frp,Arpitan
as,asamezisht
ast,Asturian
asa,asuisht
cch,Atsam
av,Avaric
ae,Avestan
awa,Awadhi
ay,Aymara
az,azere
bfq,Badaga
ksf,bafianisht
bfd,Bafut
bqi,Bakhtiari
ban,Balinese
bal,Baluchi
bm,bambara
bax,Bamun
bjn,Banjar
bas,Basaa
eu,baskisht
ba,bashkirisht
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bem,bemba
bez,bena
bn,bengalisht
bew,Betawi
bho,Bhojpuri
bik,Bikol
bin,Bini
my,birmanisht
bi,Bislama
bpy,Bishnupriya
be,bjellorusisht
byn,Blin
zbl,Blissymbols
brx,bodo
nb,"bokmalishte norvegjeze"
bs,boshnjakisht
brh,Brahui
bra,Braj
br,bretone
bug,Buginese
bum,Bulu
bg,bullgarisht
bua,Buriat
cad,Caddo
frc,"Cajun French"
yue,Cantonese
cps,Capiznon
car,Carib
cay,Cayuga
ceb,Cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
chg,Chagatai
ch,Chamorro
ce,Chechen
chy,Cheyenne
chb,Chibcha
qug,"Chimborazo Highland Quichua"
chn,"Chinook Jargon"
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuukese
cv,Chuvash
nwc,"Classical Newari"
syc,"Classical Syriac"
ksh,Colognian
swb,Comorian
cop,Coptic
cr,Cree
mus,Creek
crh,"Crimean Turkish"
cs,çekisht
chr,çeroki
cgg,çigisht
dak,Dakota
da,danisht
dar,Dargwa
dzg,Dazaga
del,Delaware
din,Dinka
dv,Divehi
doi,Dogri
dgr,Dogrib
dua,dualisht
dyu,Dyula
und,"e panjohur"
frs,"Eastern Frisian"
efi,Efik
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamite
ebu,embuisht
egl,Emilian
myv,Erzya
eo,esperanto
et,estonisht
ewo,Ewondo
ext,Extremaduran
fan,Fang
fat,Fanti
fo,faroisht
hif,"Fiji Hindi"
fil,filipinase
fi,finlandisht
fj,fixhiane
nl_BE,flamande
fon,Fon
gur,Frafra
fr,frëngjisht
fr_CA,"frëngjishte kanadeze"
fr_CH,"frëngjishte zvicerane"
fur,Friulian
fy,frizianisht
ff,Fulah
gaa,Ga
gag,gagauzisht
gl,galike
gan,"Gan Chinese"
lg,gandisht
gay,Gayo
gba,Gbaya
gez,Geez
aln,"Gheg Albanian"
bbj,Ghomala
glk,Gilaki
gil,Gilbertese
gom,"Goan Konkani"
gon,Gondi
gor,Gorontalo
got,Gothic
grb,Grebo
el,greqisht
gn,guaranisht
guz,gusisht
gu,guxharatisht
gwi,Gwichʼin
