абхаски (ab)
Авадхи (awa)
Аварски (av)
Авестански (ae)
агем (agq)
Адангмејски (ada)
Адигејски (ady)
азербејџански (az)
Аину (ain)
Ајмара (ay)
Акадијски (akk)
акан (ak)
Аколи (ach)
албански (sq)
Аљут (ale)
амхарски (am)
Ангика (anp)
Аравак (arw)
Арагонежански (an)
Арапахо (arp)
арапски (ar)
Армајски (arc)
Ароманијски (rup)
асамски (as)
Астуријски (ast)
асу (asa)
Атсамски (cch)
Афарски (aa)
африканс (af)
Африхили (afh)
Ачинески (ace)
Балинезијски (ban)
Балучи (bal)
бамбара (bm)
Баса (bas)
баскијски (eu)
бафија (ksf)
башкирски (ba)
без лингвистичког садржаја (zxx)
Беја (bej)
белоруски (be)
бемба (bem)
бена (bez)
бенгалски (bn)
Бикол (bik)
Бини (bin)
Бислама (bi)
Блин (byn)
Блисимболи (zbl)
бодо (brx)
Бојпури (bho)
босански (bs)
Бразилски португалски (pt_BR)
Брај (bra)
бретонски (br)
бугарски (bg)
Бугинежански (bug)
Буриат (bua)
бурмански (my)
ваи (vai)
Валамо (wal)
Валун (wa)
Варај (war)
Вашо (was)
велшки (cy)
Венда (ve)
вијетнамски (vi)
Више језика (mul)
Волапук (vo)
волоф (wo)
Вотски (vot)
вунџо (vun)
Га (gaa)
гагауз (gag)
Гајо (gay)
галицијски (gl)
ганда (lg)
Гбаја (gba)
гварани (gn)
Гвич’ин (gwi)
Гилбертшки (gil)
Гонди (gon)
горњи лужичкосрпски (hsb)
Горонтало (gor)
Готски (got)
Гребо (grb)
грузијски (ka)
грчки (el)
гуси (guz)
гуџарати (gu)
Дакота (dak)
дански (da)
Даргва (dar)
Делавер (del)
Дивехијски (dv)
Динка (din)
Догри (doi)
Догриб (dgr)
доњи лужичкосрпски (dsb)
дуала (dua)
Ђу (kaj)
Ђула (dyu)
еве (ee)
Евондо (ewo)
Екајук (eka)
Еламитски (elx)
ембу (ebu)
енглески (en)
Ерзија (myv)
есперанто (eo)
естонски (et)
Ефикски (efi)
Жуанг (za)
Заза (zza)
западни фризијски (fy)
Запотечки (zap)
зарма (dje)
зеленортски креолски (kea)
Зенага (zen)
зулу (zu)
Зуни (zun)
Ибан (iba)
Иберијски португалски (pt_PT)
игбо (ig)
Идо (io)
Илоко (ilo)
инари сами (smn)
Ингвишки (inh)
индонежански (id)
Интерлингва (ia)
инуктитут (iu)
ирски (ga)
исландски (is)
Источни фризијски (frs)
италијански (it)
јавански (jv)
Јакут (sah)
Јао (yao)
јапански (ja)
Јапешки (yap)
јерменски (hy)
Јидиш (yi)
јоруба (yo)
Јудео-арапски (jrb)
Јудео-персијски (jpr)
Јужни алтаи (alt)
Јужни ндебеле (nr)
јужни сами (sma)
к’иче (quc)
Кабардијски (kbd)
кабиле (kab)
Кави (kaw)
