id,value
gba,กบายา
bkm,กม
el,กรีก
grc,กรีกโบราณ
kl,กรีนแลนด์
kj,กวนยามา
yue,กวางตุ้ง
nmg,กวาซิโอ
gn,กวารานี
gwi,กวิชอิน
kaw,กวี
kok,กอนกานี
gom,กอนกานีของกัว
gon,กอนดิ
gor,กอรอนทาโล
kac,กะฉิ่น
kn,กันนาดา
sba,กัมเบ
ks,กัศมีร์
gaa,กา
gag,กากาอุซ
ca,กาตาลัง
kab,กาไบล
cps,กาปิซนอน
kpe,กาแปล
gay,กาโย
kaa,การา-กาลพาก
gl,กาลิเซีย
kha,กาสี
krj,กินารายอา
gil,กิลเบอร์ต
glk,กิลากี
ki,กีกูยู
quc,กีเช
gez,กีซ
guz,กุซซี
kru,กุรุข
aln,เกกแอลเบเนีย
grb,เกรโบ
ko,เกาหลี
ken,เกินยาง
krl,แกรเลียน
got,โกธิก
kv,โกมิ
km,เขมร
kaj,คจู
kri,คริโอ
cr,ครี
mus,ครีก
tlh,คลิงกอน
qu,ควิชัว
qug,ควิชัวไฮแลนด์ชิมโบราโซ
kg,คองโก
cop,คอปติก
co,คอร์ซิกา
kw,คอร์นิช
xh,คะห์โอซา
cad,คัดโด
kam,คัมบา
xal,คัลมืยค์
kkj,คาโก
kk,คาซัค
csb,คาซูเบียน
kr,คานูรี
kbl,คาเนมบู
kea,คาบูเวอร์เดียนู
cay,คายูกา
kbd,คาร์บาเดีย
krc,คาราไช-บัลคาร์
car,คาริบ
kln,คาเลนจิน
kmb,คิมบุนดู
cgg,คีกา
ky,คีร์กีซ
gu,คุชราต
kut,คูเทไน
kum,คูมืยค์
kos,คูสไร
kgp,เคนก่าง
kiu,เคอร์มานิกิ
ku,เคิร์ด
ckb,เคิร์ดโซรานี
kho,โคตัน
avk,โคตาวา
bbj,โคมาลา
koi,โคมิ-เปียร์เมียค
swb,โคเมอเรียน
khq,โคย์ราชีนี
ses,โคย์ราโบโรเซนนี
hr,โครเอเชีย
kfo,โคโร
ksh,โคโลญ
khw,โควาร์
za,จ้วง
ka,จอร์เจีย
jut,จัท
zh,จีน
gan,จีนกาน
lzh,จีนคลาสสิก
hak,จีนแคะ
hsn,จีนเซียง
zh_Hant,จีนตัวเต็ม
zh_Hans,จีนตัวย่อ
nan,จีนมินหนาน
wuu,จีนอู๋
nnh,จีมบูน
dyo,โจลา-ฟอนยี
jv,ชวา
cho,ช็อกทอว์
chg,ชะกะไต
ksb,ชัมบาลา
ch,ชามอร์โร
chn,ชินุกจาร์กอน
chb,ชิบชา
chp,ชิพิวยัน
chk,ชูก
cv,ชูวัช
cs,เช็ก
ce,เชเชน
chy,เชเยนเน
cu,เชอร์ชสลาวิก
chr,เชอโรกี
sn,โชนา
sog,ซอกดีน
dz,ซองคา
hsb,ซอร์บส์ตอนบน
dsb,ซอร์บส์ตอนล่าง
sad,ซันดาเว
tsd,ซาโคเนีย
sas,ซาซัก
zza,ซาซา
zap,ซาโปเตก
sm,ซามัว
sma,ซามิใต้
smj,ซามิลูเล
sms,ซามิสคอลต์
se,ซามิเหนือ
smn,ซามิอีนารี
sgs,ซาโมจิเตียน
sdc,ซาร์ดิเนียซาสซารี
sc,ซาร์เดญา
dje,ซาร์มา
sah,ซาฮา
ssy,ซาโฮ
scn,ซิซิลี
sid,ซิดาโม
tsi,ซิมชีแอน
ts,ซิิตซองกา
syr,ซีเรีย
syc,ซีเรียแบบดั้งเดิม
su,ซุนดา
suk,ซูคูมา
sus,ซูซู
zun,ซูนิ
sux,ซูเมอ
srn,ซูรินาเม
zu,ซูลู
seh,เซนา
zen,เซนากา
see,เซนิกา
ceb,เซบู
sei,เซรี
srr,เซแรร์
sel,เซลคุป
sly,เซลายาร์
zea,เซแลนด์
sr,เซอร์เบีย
sh,เซอร์โบ-โครเอเชีย
tkr,แซคเซอร์
sbp,แซงกู
sg,แซงโก
