กบายา (gba)
กม (bkm)
กรีก (el)
กรีกโบราณ (grc)
กรีนแลนด์ (kl)
กวนยามา (kj)
กวางตุ้ง (yue)
กวาซิโอ (nmg)
กวารานี (gn)
กวิชอิน (gwi)
กวี (kaw)
กอนกานี (kok)
กอนกานีของกัว (gom)
กอนดิ (gon)
กอรอนทาโล (gor)
กะฉิ่น (kac)
กันนาดา (kn)
กัมเบ (sba)
กัศมีร์ (ks)
กา (gaa)
กากาอุซ (gag)
กาตาลัง (ca)
กาไบล (kab)
กาปิซนอน (cps)
กาแปล (kpe)
กาโย (gay)
การา-กาลพาก (kaa)
กาลิเซีย (gl)
กาสี (kha)
กินารายอา (krj)
กิลเบอร์ต (gil)
กิลากี (glk)
กีกูยู (ki)
กีเช (quc)
กีซ (gez)
กุซซี (guz)
กุรุข (kru)
เกกแอลเบเนีย (aln)
เกรโบ (grb)
เกาหลี (ko)
เกินยาง (ken)
แกรเลียน (krl)
โกธิก (got)
โกมิ (kv)
เขมร (km)
คจู (kaj)
คริโอ (kri)
ครี (cr)
ครีก (mus)
คลิงกอน (tlh)
ควิชัว (qu)
ควิชัวไฮแลนด์ชิมโบราโซ (qug)
คองโก (kg)
คอปติก (cop)
คอร์ซิกา (co)
คอร์นิช (kw)
คะห์โอซา (xh)
คัดโด (cad)
คัมบา (kam)
คัลมืยค์ (xal)
คาโก (kkj)
คาซัค (kk)
คาซูเบียน (csb)
คานูรี (kr)
คาเนมบู (kbl)
คาบูเวอร์เดียนู (kea)
คายูกา (cay)
คาร์บาเดีย (kbd)
คาราไช-บัลคาร์ (krc)
คาริบ (car)
คาเลนจิน (kln)
คิมบุนดู (kmb)
คีกา (cgg)
คีร์กีซ (ky)
คุชราต (gu)
คูเทไน (kut)
คูมืยค์ (kum)
คูสไร (kos)
เคนก่าง (kgp)
เคอร์มานิกิ (kiu)
เคิร์ด (ku)
เคิร์ดโซรานี (ckb)
โคตัน (kho)
โคตาวา (avk)
โคมาลา (bbj)
โคมิ-เปียร์เมียค (koi)
โคเมอเรียน (swb)
โคย์ราชีนี (khq)
โคย์ราโบโรเซนนี (ses)
โครเอเชีย (hr)
โคโร (kfo)
โคโลญ (ksh)
โควาร์ (khw)
จ้วง (za)
จอร์เจีย (ka)
จัท (jut)
จีน (zh)
จีนกาน (gan)
จีนคลาสสิก (lzh)
จีนแคะ (hak)
จีนเซียง (hsn)
จีนตัวเต็ม (zh_Hant)
จีนตัวย่อ (zh_Hans)
จีนมินหนาน (nan)
จีนอู๋ (wuu)
จีมบูน (nnh)
โจลา-ฟอนยี (dyo)
ชวา (jv)
ช็อกทอว์ (cho)
ชะกะไต (chg)
ชัมบาลา (ksb)
ชามอร์โร (ch)
ชินุกจาร์กอน (chn)
ชิบชา (chb)
ชิพิวยัน (chp)
ชูก (chk)
ชูวัช (cv)
เช็ก (cs)
เชเชน (ce)
เชเยนเน (chy)
เชอร์ชสลาวิก (cu)
เชอโรกี (chr)
โชนา (sn)
ซอกดีน (sog)
ซองคา (dz)
ซอร์บส์ตอนบน (hsb)
ซอร์บส์ตอนล่าง (dsb)
ซันดาเว (sad)
ซาโคเนีย (tsd)
ซาซัก (sas)
ซาซา (zza)
ซาโปเตก (zap)
ซามัว (sm)
ซามิใต้ (sma)
ซามิลูเล (smj)
ซามิสคอลต์ (sms)
ซามิเหนือ (se)
ซามิอีนารี (smn)
ซาโมจิเตียน (sgs)
ซาร์ดิเนียซาสซารี (sdc)
ซาร์เดญา (sc)
ซาร์มา (dje)
ซาฮา (sah)
ซาโฮ (ssy)
ซิซิลี (scn)
ซิดาโม (sid)
ซิมชีแอน (tsi)
ซิิตซองกา (ts)
ซีเรีย (syr)
ซีเรียแบบดั้งเดิม (syc)
ซุนดา (su)
ซูคูมา (suk)
ซูซู (sus)
ซูนิ (zun)
ซูเมอ (sux)
ซูรินาเม (srn)
ซูลู (zu)
เซนา (seh)
เซนากา (zen)
เซนิกา (see)
เซบู (ceb)
เซรี (sei)
เซแรร์ (srr)
เซลคุป (sel)
เซลายาร์ (sly)
เซแลนด์ (zea)
เซอร์เบีย (sr)
เซอร์โบ-โครเอเชีย (sh)
แซคเซอร์ (tkr)
แซงกู (sbp)
แซงโก (sg)
แซมบูรู (saq)
โซกา (xog)
โซโทใต้ (st)
โซโทเหนือ (nso)
โซนีนเก (snk)
โซมาลี (so)
ไซลีเซีย (szl)
ไซลีเซียตอนล่าง (sli)
ญี่ปุ่น (ja)
โฑครี (doi)
ดองกา (ng)
ดัตช์ (nl)
ดัตช์กลาง (dum)
ดัวลา (dua)
ดาโกทา (dak)
ดาซากา (dzg)
ดาร์กิน (dar)
ดารีโซโรอัสเตอร์ (gbz)
ดิงกา (din)
ดิวลา (dyu)
ดูซุนกลาง (dtp)
เดนมาร์ก (da)
เดลาแวร์ (del)
โดกริบ (dgr)
ตองกา (to)
ตัตมุสลิม (ttt)
ตัสซาวัค (twq)
ตากาล็อก (tl)
ตาตาร์ (tt)
ตาฮิตี (ty)
ติกริญญา (ti)
ตีเกร (tig)
ตุรกี (tr)
ตุรกีไครเมีย (crh)
ตุรกีออตโตมัน (ota)
ตูโรโย (tru)
ตูลู (tcy)
ตูวา (tyv)
ตูวาลู (tvl)
เตโซ (teo)
เตตุม (tet)
เตลูกู (te)
เติร์กเมนิสถาน (tk)
โตเกเลา (tkl)
ทมิฬ (ta)
ทลิงกิต (tli)
ทวิ (tw)
ท็อกพิซิน (tpi)
ทาจิก (tg)
ทาเชลีห์ท (shi)
ทามาเชก (tmh)
ทามาไซต์โมร็อกโกมาตรฐาน (zgh)
ทามาไซต์แอตลาสกลาง (tzm)
ทาโรโก (trv)
ทาลิช (tly)
ทิเบต (bo)
ทิฟ (tiv)
ทิมเน (tem)
ทีแยป (kcg)
ทุมบูกา (tum)
เทเรโน (ter)
ไททา (dav)
ไทย (th)
ไทใหญ่ (shn)
ธิเวหิ (dv)
นซิมา (nzi)
นอร์เวย์ (no)
นอร์เวย์นีนอสก์ (nn)
นอร์เวย์บุคมอล (nb)
นอร์สโบราณ (non)
นาโปลี (nap)
นามา (naq)
นาวาโฮ (nv)
นาอูรู (na)
นิโอโร (nyo)
นีอัส (nia)
นีอู (niu)
เนปาล (ne)
เนวาร์ (new)
เนวาร์ดั้งเดิม (nwc)
เนียนโกเล (nyn)
เนียนจา (ny)
เนียมเวซี (nym)
เนือร์ (nus)
โนไก (nog)
โนเวียล (nov)
ไนอะซาตองกา (tog)
บราฮุย (brh)
บลิน (byn)
บลิสซิมโบลส์ (zbl)
บอตสวานา (tn)
บอสเนีย (bs)
บักติยารี (bqi)
บัชคีร์ (ba)
บันจาร์ (bjn)
บัมบารา (bm)
บัลแกเรีย (bg)
บัสเก (eu)
บาตักโทบา (bbc)
บาฟัต (bfd)
บาเฟีย (ksf)
บามัน (bax)
บาลี (pi)
บาลูชิ (bal)
บาวาเรีย (bar)
บาสา (bas)
บาหลี (ban)
บิกอล (bik)
บินี (bin)
บิสลามา (bi)
บุรุนดี (rn)
บูกิส (bug)
บูเรียต (bua)
บูลู (bum)
เบงกาลี (bn)
เบจา (bej)
เบตาวี (bew)
เบนา (bez)
เบมบา (bem)
เบรตัน (br)
เบลารุส (be)
ปรัสเซีย (prg)
ปะห์ลาวี (pal)
ปัญจาบ (pa)
ปัมปางา (pam)
ปางาซีนัน (pag)
ปาเปียเมนโต (pap)
ปาเลา (pau)
ปิการ์ (pcd)
เปอร์เซีย (fa)
เปอร์เซียโบราณ (peo)
โปรตุเกส (pt)
โปรตุเกส - บราซิล (pt_BR)
โปรตุเกส - ยุโรป (pt_PT)
โปรวองซาลโบราณ (pro)
โปแลนด์ (pl)
