абхазька (ab)
авадхі (awa)
аварська (av)
авестійська (ae)
агем (agq)
адангме (ada)
адигейська (ady)
азербайджанська (az)
аймара (ay)
айнська (ain)
акан (ak)
аккадська (akk)
акус (bss)
албанська (sq)
алеутська (ale)
амхарська (am)
ангіка (anp)
англійська (en)
англійська британська (en_GB)
арабська (ar)
аравакська (arw)
арагонська (an)
арамейська (arc)
арапахо (arp)
арауканська (arn)
арумунська (rup)
ассамська (as)
астурська (ast)
асу (asa)
атсам (cch)
афарська (aa)
африкаанс (af)
африхілі (afh)
ачехська (ace)
ачолі (ach)
балійська (ban)
балучі (bal)
бамбара (bm)
бамум (bax)
баса (bas)
баскська (eu)
бафіа (ksf)
бафут (bfd)
башкирська (ba)
беджа (bej)
бемба (bem)
бена (bez)
бенгальська (bn)
бікольська (bik)
білоруська (be)
біні (bin)
бірманська (my)
біслама (bi)
блін (byn)
блісса мова (zbl)
бодо (brx)
болгарська (bg)
боснійська (bs)
брадж (bra)
бретонська (br)
бугійська (bug)
букмол (Норвегія) (nb)
булу (bum)
бурятська (bua)
бходжпурі (bho)
ваї (vai)
валамо (wal)
Валзерська (wae)
валлійська (cy)
валлонська (wa)
варай (war)
вашо (was)
венда (ve)
верхньолужицька (hsb)
верхньонімецька (Швейцарія) (de_CH)
вірменська (hy)
водська (vot)
волап’юк (vo)
волоф (wo)
вуньо (vun)
вʼєтнамська (vi)
га (gaa)
гавайська (haw)
гагаузька (gag)
гаельська (gd)
гаїтянська (ht)
гайо (gay)
галісійська (gl)
ганда (lg)
гбайя (gba)
гереро (hz)
гєез (gez)
гільбертська (gil)
гінді (hi)
голландська (nl)
гомала (bbj)
гонді (gon)
горонтало (gor)
готська (got)
гребо (grb)
грецька (el)
грузинська (ka)
гуарані (gn)
гуджараті (gu)
гусії (guz)
давньоанглійська (ang)
давньоверхньонімецька (goh)
давньогрецька (grc)
давньоєгипетська (egy)
давньоірландська (sga)
давньонорвезька (non)
давньоперська (peo)
давньопровансальська (pro)
давньофранцузька (fro)
дазага (dzg)
дакота (dak)
данська (da)
даргінська (dar)
декілька мов (mul)
делаварська (del)
джерма (dje)
дзонг-ке (dz)
дівехі (dv)
дінка (din)
діула (dyu)
догрибська (dgr)
догрі (doi)
дуала (dua)
дьола-фоні (dyo)
еве (ee)
евондо (ewo)
екаджук (eka)
еламська (elx)
ембу (ebu)
ерзя (myv)
есперанто (eo)
естонська (et)
ефік (efi)
ємба (ybb)
зазакі (zza)
західно-фризька (fy)
зенага (zen)
зулуська (zu)
зуньї (zun)
ібанська (iba)
ібібіо (ibb)
іврит (he)
ігбо (ig)
ідиш (yi)
ідо (io)
ілоканська (ilo)
інгуська (inh)
індонезійська (id)
інтерлінгва (ia)
інтерлінгве (ie)
інуктітут (iu)
інупіак (ik)
ірландська (ga)
ісландська (is)
іспанська (es)
іспанська (Європа) (es_ES)
італійська (it)
іудео-арабська (jrb)
іудео-перська (jpr)
йоруба (yo)
йю (kaj)
кабардинська (kbd)
кабільська (kab)
кабувердіану (kea)
каві (kaw)
каддо (cad)
казахська (kk)
кайюга (cay)
како (kkj)
калааллісут (kl)
календжин (kln)
калмицька (xal)
камба (kam)
канембу (kbl)
каннада (kn)
кантонська (yue)
канурі (kr)
каракалпацька (kaa)
карачаєво-балкарська (krc)
карельська (krl)
карібська (car)
каталонська (ca)
качін (kac)
кашмірська (ks)
кашубська (csb)
квазіо (nmg)
кечуа (qu)
киргизька (ky)
китайська (zh)
кіга (cgg)
кікуйю (ki)
кімбунду (kmb)
кіньяруанда (rw)
кіче (quc)
клінгон (tlh)
койра чіїні (khq)
койраборо сені (ses)
колоніан (ksh)
ком (bkm)
комі (kv)
комі-перм’яцька (koi)
коморська (swb)
конгійське суахілі (swc)
конґолезька (kg)
конкані (kok)
коптська (cop)
корейська (ko)
корінь (root)
корнійська (kw)
коро (kfo)
корсиканська (co)
косрае (kos)
кпеллє (kpe)
кримськотатарська (crh)
крі (cr)
крік (mus)
