id,value
ace,Achinese
ach,Acoli
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
agq,ag‘emcha
ain,Ainu
ak,akancha
akk,Akkadian
bss,Akoose
akz,Alabama
ale,Aleut
arq,"Algerian Arabic"
en_US,"American English"
ase,"American Sign Language"
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
zh_Hant,"anʼanaviy xitoycha"
njo,"Ao Naga"
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
rup,Aromanian
frp,Arpitan
ast,Asturian
asa,asucha
cch,Atsam
av,Avaric
ae,Avestan
en_AU,"Avstraliya inglizchasi"
de_AT,"Avstriya olmonchasi"
awa,Awadhi
ay,Aymara
bfq,Badaga
ksf,bafiycha
bfd,Bafut
bqi,Bakhtiari
ban,Balinese
bal,Baluchi
bm,bambarcha
bax,Bamun
bjn,Banjar
bas,Basaa
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bem,bembacha
bez,benacha
bew,Betawi
bho,Bhojpuri
bik,Bikol
bin,Bini
bpy,Bishnupriya
bi,Bislama
byn,Blin
zbl,Blissymbols
brx,bodocha
ba,boshqircha
brh,Brahui
bra,Braj
pt_BR,"Braziliya portugalchasi"
br,bretoncha
en_GB,"Britaniya inglizchasi"
bug,Buginese
bum,Bulu
bua,Buriat
cad,Caddo
frc,"Cajun French"
yue,Cantonese
cps,Capiznon
car,Carib
cay,Cayuga
ceb,Cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
chg,Chagatai
ch,Chamorro
ce,Chechen
chr,cherokcha
chy,Cheyenne
chb,Chibcha
cgg,chigcha
qug,"Chimborazo Highland Quichua"
chn,"Chinook Jargon"
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuukese
cv,Chuvash
nwc,"Classical Newari"
syc,"Classical Syriac"
ksh,Colognian
swb,Comorian
cop,Coptic
cr,Cree
mus,Creek
crh,"Crimean Turkish"
dak,Dakota
dar,Dargwa
dzg,Dazaga
del,Delaware
din,Dinka
dv,Divehi
doi,Dogri
dgr,Dogrib
dua,dualcha
dyu,Dyula
frs,"Eastern Frisian"
efi,Efik
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamite
ebu,embucha
egl,Emilian
myv,Erzya
ewo,Ewondo
ext,Extremaduran
fan,Fang
fat,Fanti
hif,"Fiji Hindi"
fon,Fon
gur,Frafra
fur,Friulian
ff,Fulah
gaa,Ga
gag,gagozcha
gan,"Gan Chinese"
lg,gandcha
gay,Gayo
gba,Gbaya
gez,Geez
aln,"Gheg Albanian"
bbj,Ghomala
glk,Gilaki
gil,Gilbertese
gom,"Goan Konkani"
gon,Gondi
gor,Gorontalo
got,Gothic
grb,Grebo
guz,guzcha
gwi,Gwichʼin
hai,Haida
hak,"Hakka Chinese"
hz,Herero
hil,Hiligaynon
ho,"Hiri Motu"
hit,Hittite
hmn,Hmong
hup,Hupa
iba,Iban
ibb,Ibibio
io,Ido
ilo,Iloko
smn,"inari semiycha"
izh,Ingrian
inh,Ingush
ia,Interlingua
ie,Interlingue
iu,inuktitutcha
ik,Inupiaq
ee,ivicha
jam,"Jamaican Creole English"
sma,"janubiy semiycha"
kaj,Jju
jrb,Judeo-Arabic
jpr,Judeo-Persian
jut,Jutish
kbd,Kabardian
kea,kabuverdiancha
kac,Kachin
kgp,Kaingang
kkj,Kako
kl,kalallisutcha
kln,kalenjincha
xal,Kalmyk
kam,kambcha
fr_CA,"Kanada fransuzchasi"
en_CA,"Kanada inglizchasi"
kbl,Kanembu
kr,Kanuri
kaa,Kara-Kalpak
krc,Karachay-Balkar
krl,Karelian
csb,Kashubian
kaw,Kawi
ken,Kenyang
kha,Khasi
kho,Khotanese
khw,Khowar
ki,kikuycha
kmb,Kimbundu
krj,Kinaray-a
rw,kinyarvandcha
kiu,Kirmanjki
tlh,Klingon
bkm,Kom
kv,Komi
koi,komi-permyakcha
kg,Kongo
swc,"kongo svahiliycha"
kok,konkancha
kw,kornishcha
kfo,Koro
co,korsiancha
ses,"koryaboro senniycha"
kos,Kosraean
avk,Kotava
kpe,Kpelle
kri,Krio
kj,Kuanyama
kum,Kumyk
kru,Kurukh
kut,Kutenai
nmg,kvaziycha
lad,Ladino
lah,Lahnda
lkt,lakotcha
lam,Lamba
lag,langcha
ltg,Latgalian
lzz,Laz
lez,Lezghian
lij,Ligurian
li,Limburgish
ln,lingalcha
lfn,"Lingua Franca Nova"
lzh,"Literary Chinese"
liv,Livonian
jbo,Lojban
lmo,Lombard
nds,"Low German"
sli,"Lower Silesian"
loz,Lozi
lu,luba-katangcha
lua,Luba-Lulua
lui,Luiseno
smj,"luli semiycha"
lun,Lunda
luo,luocha
luy,luycha
mde,Maba
jmc,machamcha
mad,Madurese
maf,Mafa
mag,Magahi
vmf,Main-Franconian
mai,Maithili
mak,Makasar
mgh,makuva-mittocha
mnc,Manchu
mdr,Mandar
man,Mandingo
