אוזבעקיש (uz)
אומבאַוואוסטע שפּראַך (und)
אונגעריש (hu)
אונטער שלעזיש (sli)
אונטער־סארביש (dsb)
אוקראַאיניש (uk)
אוראַלט־גריכיש (grc)
אורדו (ur)
אַזערביידזשאַניש (az)
אייבער־סארביש (hsb)
אידא (io)
איטאַליעניש (it)
אינדאנעזיש (id)
איסלאַנדיש (is)
איריש (ga)
אַלבאַניש (sq)
אַלט ענגליש (ang)
אַלט פּערסיש (peo)
אַלט־ הויכדויטש (goh)
אַלט־איריש (sga)
אַלט־פֿראַנצויזיש (fro)
אַמהאַריש (am)
אַסאַמיש (as)
אסעטיש (os)
אַפֿאַר (aa)
אַפֿריקאַנס (af)
אַקאַדיש (akk)
אקסיטאַניש (oc)
אַראַביש (ar)
אַראַגאניש (an)
אַראַמיש (arc)
אַרמעניש (hy)
באַלינעזיש (ban)
באסניש (bs)
באַסקיש (eu)
בולגאַריש (bg)
בײַעריש (bar)
בירמאַניש (my)
בעלאַרוסיש (be)
בענגאַליש (bn)
ברעטאניש (br)
גאטיש (got)
גאַלישיש (gl)
גרוזיניש (ka)
גריכיש (el)
דײַטש (de)
דעניש (da)
דרום אַזערביידזשאַניש (azb)
דרום־פֿריזיש (frr)
האַוסאַ (ha)
האלענדיש (nl)
הינדי (hi)
העברעאיש (he)
וואלאַפּוק (vo)
וויעטנאַמעזיש (vi)
וועלשיש (cy)
זולו (zu)
זשאלא־פֿאני (dyo)
טאַגאַלאג (tl)
טאָטעריש (tt)
טאַמיל (ta)
טורקמעניש (tk)
טיבעטיש (bo)
טיגרע (tig)
טשעכיש (cs)
יאַוואַנעזיש (jv)
יאַפּאַניש (ja)
ייִדיש (yi)
יידיש־פערסיש (jpr)
כינעזיש (zh)
כמער (km)
לאַא (lo)
לאַדינא (lad)
לאזשבאָן (jbo)
לאטייניש (la)
לוקסעמבורגיש (lb)
ליוויש (liv)
ליטוויש (lt)
לעטיש (lv)
מאַאריש (mi)
מאַלאַיאַלאַם (ml)
מאַלטעזיש (mt)
מאנגאליש (mn)
מאַנקס (gv)
מאַקעדאניש (mk)
מזרח־פֿריזיש (frs)
מיזא (lus)
מיטל הויכדויטש (gmh)
מיטל ענגליש (enm)
מערב פֿלעמיש (vls)
מערב־פֿריזיש (fy)
נאַפּאליטַניש (nap)
נארדסאַמיש (se)
נארוועגיש (no)
נײַ־נארוועגיש (nn)
נידערדײַטש (nds)
נעפּאַליש (ne)
