阿布哈西亚文 (ab)
阿灿文 (cch)
阿当梅文 (ada)
阿迪何文 (ady)
阿尔巴尼亚文 (sq)
阿法文 (aa)
阿弗里希利文 (afh)
阿卡德文 (akk)
阿肯文 (ak)
阿库色文 (bss)
阿拉伯文 (ar)
阿拉贡文 (an)
阿拉米文 (arc)
阿拉帕霍文 (arp)
阿拉瓦克文 (arw)
阿留申文 (ale)
阿罗马尼亚文 (rup)
阿姆哈拉文 (am)
阿乔利文 (ach)
阿萨姆文 (as)
阿塞拜疆文 (az)
阿斯图里亚思特文 (ast)
阿苏文 (asa)
阿瓦尔文 (av)
阿瓦乔文 (awa)
阿维斯塔文 (ae)
阿伊努文 (ain)
埃菲克文 (efi)
埃克丘克文 (eka)
埃维文 (ee)
艾拉米特文 (elx)
艾马拉文 (ay)
爱尔兰文 (ga)
爱沙尼亚文 (et)
昂加文 (anp)
奥地利德文 (de_AT)
奥吉布瓦文 (oj)
奥克西唐文 (oc)
奥里亚文 (or)
奥洛莫文 (om)
奥萨格文 (osa)
奥塞梯文 (os)
奥托曼土耳其文 (ota)
澳大利亚英文 (en_AU)
巴非特文 (bfd)
巴菲亚文 (ksf)
巴勒比文 (car)
巴里文 (ban)
巴利文 (pi)
巴姆穆文 (bax)
巴萨文 (bas)
巴什客尔文 (ba)
巴斯克文 (eu)
巴西葡萄牙文 (pt_BR)
白俄罗斯文 (be)
班巴拉文 (bm)
邦阿西楠文 (pag)
邦板牙文 (pam)
保加利亚文 (bg)
北恩德贝勒文 (nd)
北弗里西亚文 (frr)
北萨米文 (se)
北桑海文 (twq)
北索托文 (nso)
贝纳文 (bez)
比尼文 (bin)
比斯拉马文 (bi)
俾路支文 (bal)
毕库尔文 (bik)
标准摩洛哥塔马塞特文 (zgh)
别姆巴文 (bem)
别札文 (bej)
冰岛文 (is)
波兰文 (pl)
波纳佩文 (pon)
波斯尼亚文 (bs)
波斯文 (fa)
博多文 (brx)
博杰普尔文 (bho)
不丹文 (dz)
布吉文 (bug)
布拉杰文 (bra)
布里多尼文 (br)
布里亚特文 (bua)
布利斯符号 (zbl)
布林文 (byn)
布鲁文 (bum)
查加文 (chg)
查莫罗文 (ch)
车臣文 (ce)
彻罗基文 (chr)
楚瓦什文 (cv)
楚吾克文 (chk)
达尔格瓦文 (dar)
达科他文 (dak)
达扎葛文 (dzg)
丹麦文 (da)
掸文 (shn)
德文 (de)
低地德文 (nds)
迪维希文 (dv)
迪尤拉文 (dyu)
蒂夫文 (tiv)
蒂姆西亚文 (tsi)
丁卡文 (din)
东弗里西亚文 (frs)
东桑海文 (ses)
都阿拉文 (dua)
多格拉文 (doi)
多格里布文 (dgr)
多种语系 (mul)
俄日亚文 (myv)
俄文 (ru)
恩布文 (ebu)
恩东加文 (ng)
恩甘澎文 (nnh)
恩艮巴 (jgo)
恩济马文 (nzi)
法罗文 (fo)
法文 (fr)
繁体中文 (zh_Hant)
梵文 (sa)
芳蒂文 (fat)
芳格文 (fan)
菲律宾文 (fil)
腓尼基文 (phn)
斐济文 (fj)
芬兰文 (fi)
丰文 (fon)
弗留利文 (fur)
佛兰芒文 (nl_BE)
夫拉文 (ff)
盖丘亚文 (qu)
甘拜文 (sba)
刚果斯瓦希里文 (swc)
刚果文 (kg)
刚卡尼文 (kok)
岗德文 (gon)
高棉文 (km)
戈马拉文 (bbj)
哥特文 (got)
格列博文 (grb)
格陵兰文 (kl)
格鲁吉亚文 (ka)
葛巴亚文 (gba)
根语言 (root)
古埃及文 (egy)
古爱尔兰文 (sga)
古法文 (fro)
古高地德文 (goh)
古吉拉特文 (gu)
古老波斯文 (peo)
古诺尔斯文 (non)
古粟特文 (sog)
古希腊文 (grc)
古西文 (guz)
古英文 (ang)
瓜拉尼文 (gn)
国际文字 (ia)
国际文字（E） (ie)
哈萨克文 (kk)
海达文 (hai)
海地文 (ht)
韩文 (ko)
豪萨文 (ha)
和田文 (kho)
荷兰文 (nl)
赫雷罗文 (hz)
赫蒙文 (hmn)
赫梯文 (hit)
胡帕文 (hup)
基隆迪文 (rn)
基切文 (quc)
吉尔伯特斯文 (gil)
吉尔吉斯文 (ky)
吉库尤文 (ki)
吉普赛文 (rom)
吉维克琴文 (gwi)
吉兹文 (gez)
加告兹文 (gag)
加利西亚文 (gl)
加拿大法文 (fr_CA)
加拿大英文 (en_CA)
加涅姆布文 (kbl)
加泰罗尼亚文 (ca)
加文 (gaa)
迦约文 (gay)
简体中文 (zh_Hans)
捷克文 (cs)
金邦杜文 (kmb)
经典尼瓦尔文 (nwc)
经典叙利亚文 (syc)
卡巴尔达文 (kbd)
卡比尔文 (kab)
卡布佛得鲁文 (kea)
卡多文 (cad)
卡尔梅克文 (xal)
卡捷文 (kaj)
卡库文 (kkj)
卡拉卡尔帕克文 (kaa)
卡拉恰伊巴尔卡尔文 (krc)
卡累利阿文 (krl)
卡伦金文 (kln)
卡姆巴文 (kam)
卡纳达文 (kn)
卡努里文 (kr)
卡琴文 (kac)
卡舒文 (csb)
卡塔布文 (kcg)
卡威文 (kaw)
卡西文 (kha)
卡尤加文 (cay)
凯尔特文 (kw)
科隆文 (ksh)
科罗文 (kfo)
科洛涅达罗文 (gor)
科米-彼尔米亚克文 (koi)
科米文 (kv)
科摩罗文 (swb)
科姆文 (bkm)
科普特文 (cop)
科萨文 (xh)
科斯拉伊文 (kos)
科西嘉文 (co)
克里克文 (mus)
克里米亚土耳其文 (crh)
克里族文 (cr)
克林贡文 (tlh)
克罗地亚文 (hr)
克佩列文 (kpe)
克什米尔文 (ks)
库尔德文 (ku)
库鲁克文 (kru)
库梅克文 (kum)
库特内文 (kut)
夸西奥文 (nmg)
宽亚玛文 (kj)
拉迪诺文 (lad)
拉丁美洲西班牙文 (es_419)
拉丁文 (la)
拉亨达文 (lah)
拉贾斯坦文 (raj)
拉科塔文 (lkt)
拉罗汤加文 (rar)
拉帕努伊文 (rap)
拉脱维亚文 (lv)
莱兹依昂文 (lez)
兰巴文 (lam)
兰博文 (rof)
朗吉文 (lag)
老挝文 (lo)
立陶宛文 (lt)
林加拉文 (ln)
淋布尔吉文 (li)
隆达文 (lun)
卢奥文 (luo)
卢干达文 (lg)
卢森堡文 (lb)
卢晒文 (lus)
卢旺达文 (rw)
卢雅文 (luy)
鲁巴加丹加文 (lu)
鲁巴鲁瓦文 (lua)
路易塞诺文 (lui)
律勒欧萨米文 (smj)
罗马尼亚文 (ro)
罗曼什文 (rm)
罗瓦文 (rwk)
逻辑文 (jbo)
洛兹文 (loz)
马坝文 (mde)
马都拉文 (mad)
马恩岛文 (gv)
马尔加什文 (mg)
马尔瓦利文 (mwr)
马耳他文 (mt)
马法文 (maf)
马加伊文 (mag)
马孔德文 (kde)
马夸文 (mgh)
马拉地文 (mr)
马拉雅拉姆文 (ml)
马来文 (ms)
马里文 (chm)
马普切文 (arn)
马其顿文 (mk)
马切姆文 (jmc)
马绍尔文 (mh)
迈蒂利文 (mai)
满文 (mnc)
曼达尔文 (mdr)
曼丁哥文 (man)
曼尼普里文 (mni)
芒戈文 (lol)
毛里求斯克里奥尔文 (mfe)
毛利文 (mi)
梅敦巴文 (byv)
梅鲁文 (mer)
梅塔 (mgo)
美式英文 (en_US)
门迪文 (men)
蒙当文 (mua)
蒙古文 (mn)
孟加拉文 (bn)
米克马克文 (mic)
米兰德斯文 (mwl)
米南卡保文 (min)
缅甸文 (my)
摩尔多瓦文 (ro_MD)
摩霍克文 (moh)
莫克沙文 (mdf)
莫西文 (mos)
墨西哥西班牙文 (es_MX)
姆耶内文 (mye)
拿波里文 (nap)
纳马文 (naq)
纳瓦霍文 (nv)
南阿尔泰文 (alt)
南恩德贝勒文 (nr)
南非荷兰文 (af)
南萨米文 (sma)
南索托文 (st)
瑙鲁文 (na)
尼昂科勒文 (nyn)
尼泊尔文 (ne)
尼瓦尔文 (new)
尼亚姆韦齐文 (nym)
尼亚斯文 (nia)
尼扬扎文 (ny)
尼约罗文 (nyo)
纽埃文 (niu)
努埃尔文 (nus)
挪威博克马尔文 (nb)
挪威尼诺斯克文 (nn)
挪威文 (no)
诺盖文 (nog)
欧洲葡萄牙文 (pt_PT)
欧洲西班牙文 (es_ES)
帕拉维文 (pal)
帕劳文 (pau)
帕皮亚门托文 (pap)
旁遮普文 (pa)
佩瓦扬文 (chp)
葡萄牙文 (pt)
普罗文斯文 (pro)
普什图文 (ps)
奇加文 (cgg)
契布卡文 (chb)
契努克文 (chn)
乔克托文 (cho)
日文 (ja)
瑞典文 (sv)
瑞士德文 (gsw)
瑞士法文 (fr_CH)
瑞士高地德文 (de_CH)
萨波蒂克文 (zap)
萨丁文 (sc)
萨霍文 (ssy)
萨玛利亚文 (sam)
萨摩亚文 (sm)
