id,value
din,丁卡文
hsb,上索布文
sli,下西利西亞文
dsb,下索布文
tyv,土凡文
tr,土耳其文
tk,土庫曼文
ty,大溪地文
lg,干達文
esu,中尤皮克文
zh,中文
frm,中古法文
enm,中古英文
gmh,中古高地德文
dum,中古荷蘭文
mga,中古愛爾蘭文
dtp,中部杜順文
da,丹麥文
myv,厄爾茲亞文
trv,太魯閣文
gom,孔卡尼文
ba,巴什客爾文
bar,巴伐利亞文
pal,巴列維文
pt_BR,巴西葡萄牙語
nb,巴克摩挪威文
pi,巴利文
bax,巴姆穆文
eu,巴斯克文
ksf,巴菲亞文
bbc,巴塔克托巴文
bfq,巴達加文
bqi,巴赫蒂亞里文
bas,巴薩文
bbj,戈馬拉文
zza,扎扎文
dje,扎爾馬文
lzh,文言文
ja,日文
jut,日德蘭文
bpy,比什奴普萊利亞文
bin,比尼文
byn,比林文
bik,比科爾文
bi,比斯拉馬文
mi,毛利文
jv,爪哇文
jam,牙買加克裏奧爾英文
eo,世界文
gl,加利西亞文
gag,加告茲文
gay,加約文
fr_CA,加拿大法文
en_CA,加拿大英文
ca,加泰羅尼亞文
car,加勒比文
gaa,加族文
se,北方薩米文
frr,北弗里西亞文
hi,北印度文
nd,北地畢列文
twq,北桑海文
nso,北索托文
kiu,北紮紮其文
cay,卡尤加文
kbd,卡巴爾達文
kab,卡比爾文
kea,卡布威爾第文
cps,卡皮茲文
cad,卡多文
kha,卡西文
kr,卡努裡文
kam,卡姆巴文
kbl,卡念布文
kaa,卡拉卡爾帕克文
krc,卡拉柴-包爾卡爾文
kaw,卡威文
kln,卡倫金文
kkj,卡庫文
frc,卡真法文
kaj,卡捷文
krl,卡累利阿文
kac,卡琴文
csb,卡舒布文
kcg,卡塔布文
xal,卡爾梅克文
nwc,古尼瓦爾文
gu,古吉拉特文
guz,古西文
grc,古希臘文
fro,古法文
peo,古波斯文
ang,古英文
egy,古埃及文
goh,古高地日耳曼文
syc,古敘利亞文
pro,古普羅旺斯文
sga,古愛爾蘭文
non,古諾爾斯文
dav,台塔文
sw,史瓦希里文
swc,史瓦希里文（剛果）
ii,四川彝文
new,尼瓦爾文
nia,尼亞斯文
ne,尼泊爾文
nzi,尼茲馬文
nyn,尼揚科萊文
nym,尼揚韋齊文
ny,尼揚賈文
nyo,尼奧囉文
zbl,布列斯符號
br,布列塔尼文
bug,布吉斯文
bua,布里阿特文
bra,布拉杰文
brh,布拉維文
bum,布魯文
gur,弗拉弗拉文
fur,弗留利文
und,未知語言
gn,瓜拉尼文
guc,瓦尤文
vai,瓦伊文
wal,瓦拉莫文
was,瓦紹文
wa,瓦隆文
war,瓦瑞文
wae,瓦瑟文
sba,甘拜文
be,白俄羅斯文
pms,皮埃蒙特文
lt,立陶宛文
ibb,伊比比奧文
ig,伊布文
io,伊多文
ilo,伊洛闊文
iba,伊班文
smn,伊納裡薩米文
is,冰島文
lez,列茲干文
hu,匈牙利文
inh,印古什文
id,印尼文
glk,吉拉基文
ki,吉庫尤文
gez,吉茲文
rom,吉普賽文
