丁卡文 (din)
上索布文 (hsb)
下西利西亞文 (sli)
下索布文 (dsb)
土凡文 (tyv)
土耳其文 (tr)
土庫曼文 (tk)
大溪地文 (ty)
干達文 (lg)
中尤皮克文 (esu)
中文 (zh)
中古法文 (frm)
中古英文 (enm)
中古高地德文 (gmh)
中古荷蘭文 (dum)
中古愛爾蘭文 (mga)
中部杜順文 (dtp)
丹麥文 (da)
厄爾茲亞文 (myv)
太魯閣文 (trv)
孔卡尼文 (gom)
巴什客爾文 (ba)
巴伐利亞文 (bar)
巴列維文 (pal)
巴西葡萄牙文 (pt_BR)
巴克摩挪威文 (nb)
巴利文 (pi)
巴姆穆文 (bax)
巴斯克文 (eu)
巴菲亞文 (ksf)
巴塔克托巴文 (bbc)
巴達加文 (bfq)
巴赫蒂亞里文 (bqi)
巴薩文 (bas)
戈馬拉文 (bbj)
扎扎文 (zza)
扎爾馬文 (dje)
文言文 (lzh)
日文 (ja)
日德蘭文 (jut)
比什奴普萊利亞文 (bpy)
比尼文 (bin)
比林文 (byn)
比科爾文 (bik)
比斯拉馬文 (bi)
毛利文 (mi)
爪哇文 (jv)
牙買加克裏奧爾英文 (jam)
世界文 (eo)
加利西亞文 (gl)
加告茲文 (gag)
加約文 (gay)
加拿大法文 (fr_CA)
加拿大英文 (en_CA)
加泰羅尼亞文 (ca)
加勒比文 (car)
加族文 (gaa)
北方薩米文 (se)
北弗里西亞文 (frr)
北印度文 (hi)
北地畢列文 (nd)
北桑海文 (twq)
北索托文 (nso)
北紮紮其文 (kiu)
卡尤加文 (cay)
卡巴爾達文 (kbd)
卡比爾文 (kab)
卡布威爾第文 (kea)
卡皮茲文 (cps)
卡多文 (cad)
卡西文 (kha)
卡努裡文 (kr)
卡姆巴文 (kam)
卡念布文 (kbl)
卡拉卡爾帕克文 (kaa)
卡拉柴-包爾卡爾文 (krc)
卡威文 (kaw)
卡倫金文 (kln)
卡庫文 (kkj)
卡真法文 (frc)
卡捷文 (kaj)
卡累利阿文 (krl)
卡琴文 (kac)
卡舒布文 (csb)
卡塔布文 (kcg)
卡爾梅克文 (xal)
古尼瓦爾文 (nwc)
古吉拉特文 (gu)
古西文 (guz)
古希臘文 (grc)
古法文 (fro)
古波斯文 (peo)
古英文 (ang)
古埃及文 (egy)
古高地日耳曼文 (goh)
古敘利亞文 (syc)
古普羅旺斯文 (pro)
古愛爾蘭文 (sga)
古諾爾斯文 (non)
