丁卡文 (din)
上索布文 (hsb)
下索布文 (dsb)
土耳其文 (tr)
土库曼文 (tk)
门迪文 (men)
马切姆文 (jmc)
马孔德文 (kde)
马加伊文 (mag)
马尔加什文 (mg)
马尔瓦利文 (mwr)
马夸文 (mgh)
马耳他文 (mt)
马坝文 (mde)
马来文 (ms)
马里文 (chm)
马其顿文 (mk)
马拉地文 (mr)
马拉雅拉姆文 (ml)
马法文 (maf)
马绍尔文 (mh)
马恩岛文 (gv)
马都拉文 (mad)
马普切文 (arn)
不丹文 (dz)
中文 (zh)
中古法文 (frm)
中古英文 (enm)
中古爱尔兰文 (mga)
中古高地德文 (gmh)
中古荷兰文 (dum)
丰文 (fon)
丹麦文 (da)
乌加里特文 (uga)
乌尔都文 (ur)
乌克兰文 (uk)
乌兹别克文 (uz)
乌德穆尔特文 (udm)
太鲁阁文 (trv)
夫拉文 (ff)
巴什客尔文 (ba)
巴西葡萄牙文 (pt_BR)
巴利文 (pi)
巴里文 (ban)
巴姆穆文 (bax)
巴非特文 (bfd)
巴勒比文 (car)
巴斯克文 (eu)
巴菲亚文 (ksf)
巴萨文 (bas)
戈马拉文 (bbj)
扎扎文 (zza)
文达文 (ve)
无语言内容 (zxx)
日文 (ja)
比尼文 (bin)
比斯拉马文 (bi)
毛利文 (mi)
毛里求斯克里奥尔文 (mfe)
爪哇文 (jv)
贝纳文 (bez)
车臣文 (ce)
世界文 (eo)
东弗里西亚文 (frs)
东桑海文 (ses)
乍得阿拉伯文 (shu)
兰巴文 (lam)
兰博文 (rof)
加文 (gaa)
加利西亚文 (gl)
加告兹文 (gag)
加拿大法文 (fr_CA)
加拿大英文 (en_CA)
加泰罗尼亚文 (ca)
加涅姆布文 (kbl)
北弗里西亚文 (frr)
北恩德贝勒文 (nd)
北桑海文 (twq)
北索托文 (nso)
北萨米文 (se)
卡尤加文 (cay)
卡巴尔达文 (kbd)
卡比尔文 (kab)
卡尔梅克文 (xal)
卡布佛得鲁文 (kea)
卡伦金文 (kln)
卡多文 (cad)
卡西文 (kha)
卡努里文 (kr)
卡库文 (kkj)
卡纳达文 (kn)
卡姆巴文 (kam)
卡拉卡尔帕克文 (kaa)
卡拉恰伊巴尔卡尔文 (krc)
卡威文 (kaw)
卡捷文 (kaj)
卡累利阿文 (krl)
卡琴文 (kac)
卡舒文 (csb)
卡塔布文 (kcg)
卢干达文 (lg)
卢旺达文 (rw)
卢晒文 (lus)
卢奥文 (luo)
卢森堡文 (lb)
卢雅文 (luy)
古吉拉特文 (gu)
古老波斯文 (peo)
古西文 (guz)
古希腊文 (grc)
古法文 (fro)
古英文 (ang)
古埃及文 (egy)
古爱尔兰文 (sga)
古诺尔斯文 (non)
古高地德文 (goh)
古粟特文 (sog)
台塔文 (dav)
司克司卡文 (bla)
司雷夫文 (den)
四川彝文 (ii)
尼瓦尔文 (new)
尼亚姆韦齐文 (nym)
尼亚斯文 (nia)
尼扬扎文 (ny)
尼约罗文 (nyo)
尼昂科勒文 (nyn)
尼泊尔文 (ne)
布吉文 (bug)
布利斯符号 (zbl)
布里亚特文 (bua)
布里多尼文 (br)
布拉杰文 (bra)
布林文 (byn)
布鲁文 (bum)
弗留利文 (fur)
未知语言 (und)
瓜拉尼文 (gn)
瓦尔瑟文 (wae)
瓦伊文 (vai)
瓦拉莫文 (wal)
瓦绍文 (was)
瓦隆文 (wa)
瓦赖文 (war)
甘拜文 (sba)
白俄罗斯文 (be)
立陶宛文 (lt)
乔克托文 (cho)
亚齐文 (ace)
亚罕文 (agq)
亚美尼亚文 (hy)
伊比比奥文 (ibb)
伊布文 (ig)
伊多文 (io)
伊纳里萨米文 (smn)
伊洛干诺文 (ilo)
伊班文 (iba)
冰岛文 (is)
刚卡尼文 (kok)
刚果文 (kg)
刚果斯瓦希里文 (swc)
匈牙利文 (hu)
印古什文 (inh)
印地文 (hi)
印度尼西亚文 (id)
吉尔吉斯文 (ky)
吉尔伯特斯文 (gil)
吉库尤文 (ki)
吉兹文 (gez)
吉维克琴文 (gwi)
吉普赛文 (rom)
因纽特文 (iu)
壮文 (za)
多种语系 (mul)
多格里布文 (dgr)
多格拉文 (doi)
夸西奥文 (nmg)
托克皮辛文 (tpi)
托克劳文 (tkl)
朱拉文 (dyo)
毕库尔文 (bik)
汤加文 (to)
汤加文（尼亚萨地区） (tog)
米兰德斯文 (mwl)
米克马克文 (mic)
米南卡保文 (min)
约鲁巴文 (yo)
老挝文 (lo)
艾马拉文 (ay)
艾拉米特文 (elx)
西弗里西亚文 (fy)
西西里文 (scn)
西非书面文字 (nqo)
西桑海文 (khq)
西班牙文 (es)
低地德文 (nds)
佛兰芒文 (nl_BE)
克什米尔文 (ks)
克里米亚土耳其文 (crh)
克里克文 (mus)
克里族文 (cr)
克佩列文 (kpe)
克林贡文 (tlh)
