id,value
ace,Achinese
ada,Adangme
ady,Adyghe
aa,Afar
afh,Afrihili
ain,Ainu
akk,Akkadian
bss,Akoose
zxx,"Akukho okuqukethwe kolimi"
akz,Alabama
ale,Aleut
arq,"Algerian Arabic"
ase,"American Sign Language"
egy,"Ancient Egyptian"
grc,"Ancient Greek"
anp,Angika
njo,"Ao Naga"
an,Aragonese
arc,Aramaic
aro,Araona
arp,Arapaho
arw,Arawak
rup,Aromanian
frp,Arpitan
asa,asa
ast,Asturian
cch,Atsam
av,Avaric
ae,Avestan
awa,Awadhi
bfq,Badaga
bfd,Bafut
bqi,Bakhtiari
ban,Balinese
bal,Baluchi
bax,Bamun
bjn,Banjar
bas,Basaa
bbc,"Batak Toba"
bar,Bavarian
bej,Beja
bew,Betawi
bho,Bhojpuri
bik,Bikol
bin,Bini
bpy,Bishnupriya
bi,Bislama
byn,Blin
zbl,Blissymbols
brh,Brahui
bra,Braj
bug,Buginese
bum,Bulu
bua,Buriat
cad,Caddo
frc,"Cajun French"
yue,Cantonese
cps,Capiznon
car,Carib
cay,Cayuga
ceb,Cebuano
dtp,"Central Dusun"
esu,"Central Yupik"
shu,"Chadian Arabic"
chg,Chagatai
ch,Chamorro
ce,Chechen
chy,Cheyenne
chb,Chibcha
qug,"Chimborazo Highland Quichua"
chn,"Chinook Jargon"
chp,Chipewyan
cho,Choctaw
cu,"Church Slavic"
chk,Chuukese
cv,Chuvash
nwc,"Classical Newari"
syc,"Classical Syriac"
ksh,Colognian
swb,Comorian
cop,Coptic
cr,Cree
mus,Creek
crh,"Crimean Turkish"
dak,Dakota
dar,Dargwa
dzg,Dazaga
del,Delaware
din,Dinka
doi,Dogri
dgr,Dogrib
dyu,Dyula
frs,"Eastern Frisian"
arz,"Egyptian Arabic"
eka,Ekajuk
elx,Elamite
egl,Emilian
myv,Erzya
es_ES,"European Spanish"
ewo,Ewondo
ext,Extremaduran
fan,Fang
fat,Fanti
hif,"Fiji Hindi"
fon,Fon
gur,Frafra
fur,Friulian
ff,Fulah
gan,"Gan Chinese"
gay,Gayo
gba,Gbaya
gez,Geez
aln,"Gheg Albanian"
bbj,Ghomala
glk,Gilaki
gil,Gilbertese
gom,"Goan Konkani"
gon,Gondi
gor,Gorontalo
got,Gothic
grb,Grebo
gwi,Gwichʼin
hai,Haida
hak,"Hakka Chinese"
hz,Herero
hil,Hiligaynon
ho,"Hiri Motu"
hit,Hittite
hmn,Hmong
hup,Hupa
en_US,"i-American English"
en_GB,"i-British English"
en_CA,"i-Canadian English"
en,i-English
lo,i-Lao
nn,"i-Norwegian Nynorsk"
gd,"i-Scottish Gaelic"
si,i-Sinhala
iba,Iban
ibb,Ibibio
io,Ido
ilo,Iloko
izh,Ingrian
inh,Ingush
ie,Interlingue
ik,Inupiaq
ab,isi-Abkhazian
ach,Isi-Acoli
af,isi-Afrikaans
agq,isi-Aghem
ak,isi-Akan
sq,isi-Albania
am,isi-Amharic
ar,isi-Arabic
ar_001,"Isi-Arabic Esijwayelekile Samanje"
hy,isi-Armenia
as,isi-Assamese
de_AT,"isi-Austrian German"
en_AU,"isi-Austrillian English"
ay,isi-Aymara
az,isi-Azerbaijani
ksf,isi-Bafia
bm,isi-Bambara
ba,isi-Bashkir
eu,isi-Basque
be,isi-Belarusian
bem,Isi-Bemba
bez,isi-Bena
bn,isi-Bengali
brx,isi-Bodo
bs,isi-Bosnian
pt_BR,"isi-Brazillian Portuguese"
br,Isi-Breton
bg,isi-Bulgari
my,isi-Burmese
fr_CA,"isi-Canadian French"
ca,isi-Catalan
tzm,"isi-Central Atlas Tamazight"
chr,Isi-Cherokee
cgg,isi-Chiga
zh,isi-Chinese
swc,"isi-Congo Swahili"
kw,isi-Cornish
co,isi-Corsican
hr,isi-Croatian
cs,isi-Czech
da,isi-Danish
dv,isi-Divehi
dua,isi-Duala
nl,isi-Dutch
dz,isi-Dzongkha
efi,isi-Efik
ebu,isi-Embu
eo,isi-Esperanto
et,isi-Estonia
pt_PT,"isi-European Portuguese"
ee,Isi-Ewe
fo,isi-Faroese
fj,isi-Fijian
fil,isi-Filipino
fi,isi-Finnish
nl_BE,isi-Flemish
fr,isi-French
gaa,Isi-Ga
gag,isi-Gagauz
gl,isi-Galicia
lg,Isi-Ganda
ka,isi-Georgian
de,isi-German
el,isi-Greek
gn,isi-Guarani
gu,isi-Gujarati
guz,isi-Gusli
ht,isi-Haitian
ha,isi-Hausa
haw,isi-Hawaiian
he,isi-Hebrew
hi,isi-Hindi
hu,isi-Hungarian
is,isi-Icelandic
ig,isi-Igbo
smn,"isi-Inari Sami"
id,isi-Indonesian
iu,isi-Inuktitut
ga,isi-Irish
it,isi-Italian
ja,isi-Japanese
jv,isi-Javanese
dyo,isi-Jola-Fonyl
kea,isi-Kabuverdianu
kab,isi-Kabyle
kl,isi-Kalaallisut
kln,isi-Kalenjin
kam,isi-Kamba
kn,isi-Kannada
ks,isi-Kashmiri
kk,isi-Kazakh
km,isi-Khmer
ki,isi-Kikuyu
rw,isi-Kinyarwanda
tlh,Isi-Klingon
koi,isi-Komi-Permyak
kg,Isi-Kongo
kok,isi-Konkani
ko,isi-Korean
khq,"isi-Koyra Chiini"
ses,"isi-Koyraboro Senni"
ku,isi-Kurdish
nmg,isi-Kwasio
ky,isi-Kyrgyz
quc,isi-Kʼicheʼ
lkt,isi-Lakota
lag,isi-Langi
la,isi-Latin
es_419,"isi-Latin American Spanish"
lv,isi-Latvian
ln,isi-Lingala
lt,isi-Lithuanian
